Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,Vel,10thVel,90thVel,MxVel,VelRange,HorzBrk,VertBrk,IndVertBrk,Spin,MxSpin,RelX,RelZ,Extension,EffectVel,HorzRelAngle,VertRelAngle,PlateVel,HorzApprAngle,VertApprAngle,PVX,PVZ
355,1082443399,C. Moak,Clint Moak,Moak,Clint,P,Marshall University,MRSH,730333696,Marshall,BBC,R,R,19,989,85.0,78.5,90.0,92.6,11.5,2.1,-33.6,6.5,2441.8,2966.4,-18.9,70.8,5.49,83.7,-1.94,-0.65,77.4,-1.56,-6.81,2.9,-13.4
356,1105525504,O. Sarna,Owen Sarna,Sarna,Owen,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,18,1066,85.0,77.1,90.9,94.1,13.7,6.8,-34.9,4.9,2298.8,2972.0,-20.1,61.4,5.74,84.1,-2.69,0.30,77.3,-1.46,-6.14,2.6,-12.0
357,1090996736,J. Guardado,Jakob Guardado,Guardado,Jakob,TWP,University of the Pacific,PAC,730386944,Pacific,BBC,L,R,17,984,85.0,75.1,90.6,94.0,15.5,1.0,-26.4,13.6,2112.5,2625.0,-8.4,72.7,6.00,84.4,-1.03,-1.77,76.7,-0.84,-6.70,1.5,-12.9
358,1303094016,D. Stanley,Drew Stanley,Stanley,Drew,P,Radford University,RAD,730267392,Radford,BBC,R,R,21,1039,85.0,77.7,89.7,92.0,12.0,7.4,-35.1,4.6,2416.0,2957.2,-26.2,58.3,5.88,84.2,-2.88,0.36,77.0,-1.55,-6.14,2.8,-12.0
359,1202694400,J. Martinez,Jack Martinez,Martinez,Jack,P,Arizona State University,ASU,5035,Arizona State,BBC,R,R,15,1423,85.0,78.8,94.3,96.9,15.5,5.2,-28.7,9.8,2170.6,2691.3,-5.6,66.4,6.53,85.3,-1.15,-0.84,77.7,-0.19,-6.23,0.3,-12.2
360,1107750912,C. Cross,Caleb Cross,Cross,Caleb,P,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,14,1279,84.9,76.6,89.8,92.3,13.2,0.5,-27.4,11.7,1942.3,2388.0,-3.3,68.2,6.11,84.6,-0.62,-0.99,77.6,-0.53,-6.11,0.9,-12.0
361,1408559031,L. Kinneen,Liam Kinneen,Kinneen,Liam,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,11,939,84.9,76.7,90.5,94.0,13.8,1.0,-33.2,6.7,2431.1,2772.2,-22.8,79.2,5.81,84.2,-2.20,-1.05,77.3,-2.02,-7.17,3.8,-13.9
362,1251441152,W. Rogers,Will Rogers,Rogers,Will,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,23,945,84.9,73.2,90.7,93.7,17.5,5.0,-28.5,11.6,2085.3,3493.1,-22.4,74.2,5.77,84.1,-2.84,-1.50,77.5,-1.95,-6.78,3.7,-13.2
363,1434544801,V. Loa,Victor Loa,Loa,Victor,P,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,L,14,994,84.9,75.8,89.0,94.0,13.2,-4.5,-24.1,15.3,2147.8,2688.6,18.7,61.0,5.71,84.5,1.93,-0.90,77.6,1.13,-5.41,-2.1,-10.6
364,1077994240,J. Katz,Josh Katz,Katz,Josh,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,13,837,84.9,78.3,90.8,92.9,12.5,4.3,-29.9,9.3,2290.5,2831.2,-31.0,64.9,6.04,84.7,-3.17,-0.65,77.3,-2.39,-6.22,4.6,-12.2
