Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,InZoneMdl%,Swing%,Miss%,Chase%,CallStrk%,SwStrk%,CompLoc%,NonCompLoc%
97,1756418855,Z. White,Zach White,White,Zach,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,13,280,998,47.0%,49.0%,43.3%,22.5%,23.9%,32.4%,9.7%,79.3%,20.7%
98,1211548416,J. Schroeder,Jacob Schroeder,Schroeder,Jacob,C,University of Illinois,ILL,730163456,Illinois,BBC,R,R,41,1575,5909,48.4%,49.0%,43.3%,21.0%,24.2%,31.0%,9.1%,78.7%,21.3%
99,1310338817,C. Peebles,Cannon Peebles,Peebles,Cannon,C,University of Tennessee,TENN,730153728,Tennessee,BBC,S,R,49,1715,6805,46.5%,49.0%,45.0%,31.5%,26.3%,33.3%,14.2%,81.1%,18.9%
100,1083731007,J. Lemm,Johnny Lemm,Lemm,Johnny,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,36,1359,5011,50.8%,49.0%,44.1%,25.0%,22.1%,31.2%,11.0%,78.0%,22.0%
101,1243869440,N. Wilson,Nolan Wilson,Wilson,Nolan,C,Marshall University,MRSH,730333696,Marshall,BBC,R,R,51,1909,6951,46.2%,49.0%,43.6%,20.2%,24.2%,32.6%,8.8%,79.2%,20.8%
102,1330949120,M. Kaufer,Max Kaufer,Kaufer,Max,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,15,373,1436,45.7%,49.0%,44.3%,24.1%,23.5%,27.9%,10.7%,79.1%,20.9%
103,1498084241,T. Payne II,Tevis Payne II,Payne II,Tevis,C,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,27,888,3188,51.1%,49.0%,47.5%,18.0%,22.5%,32.9%,8.6%,79.4%,20.6%
104,1157742080,W. Plattner,Will Plattner,Plattner,Will,C,University of Alabama,ALA,730206976,Alabama,BBC,R,R,23,822,3203,46.1%,49.0%,43.6%,25.3%,24.5%,31.7%,11.0%,79.2%,20.8%
105,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,9,372,1268,51.5%,48.9%,43.7%,15.8%,15.6%,28.3%,6.9%,78.8%,21.2%
106,1105477376,N. Gordon,Noah Gordon,Gordon,Noah,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,34,1227,4786,53.2%,48.9%,43.4%,20.7%,19.2%,32.9%,9.0%,78.4%,21.6%
107,1258112256,M. Garbowski,Matt Garbowski,Garbowski,Matt,C,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,32,1121,4314,45.8%,48.9%,44.6%,25.5%,26.1%,29.2%,11.4%,78.8%,21.2%
108,1188215296,K. Palmeira,Konnor Palmeira,Palmeira,Konnor,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,37,925,3481,52.7%,48.9%,43.4%,22.7%,20.1%,32.6%,9.9%,78.3%,21.7%
109,1200350720,N. Greise,Noah Greise,Greise,Noah,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,16,504,1956,51.3%,48.9%,43.3%,21.8%,22.7%,32.3%,9.4%,77.5%,22.5%
110,1192951040,R. Acosta,Riley Acosta,Acosta,Riley,C,UC Davis,UCD,730153984,UC Davis,BBC,R,R,36,1340,5058,46.5%,48.9%,45.0%,20.3%,26.7%,32.1%,9.2%,79.9%,20.1%
111,1310670336,L. Trippel,Lance Trippel,Trippel,Lance,C,University of South Florida,USF,2292,South Florida,BBC,R,R,51,1957,7206,47.9%,48.9%,46.1%,21.4%,24.5%,31.7%,9.9%,79.2%,20.8%
112,1780241245,G. Juarez,Gabe Juarez,Juarez,Gabe,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,10,281,1057,45.6%,48.8%,43.6%,27.1%,23.6%,34.4%,11.8%,79.8%,20.2%
113,1318575104,S. Pisacreta,Sebastian Pisacreta,Pisacreta,Sebastian,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,27,1073,4260,46.2%,48.8%,41.9%,24.0%,21.5%,32.6%,10.0%,78.6%,21.4%
114,1192517376,M. Miesse,Maddox Miesse,Miesse,Maddox,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,32,1011,3758,46.3%,48.8%,44.9%,27.0%,25.6%,34.1%,12.1%,80.3%,19.7%
115,1287363072,R. Moore,Reese Moore,Moore,Reese,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,12,401,1525,46.7%,48.8%,40.8%,27.3%,23.7%,31.9%,11.1%,80.4%,19.6%
116,1116675328,B. Sorensen,Bailyn Sorensen,Sorensen,Bailyn,C,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,20,608,2226,48.0%,48.8%,45.8%,24.9%,23.7%,29.9%,11.4%,79.5%,20.5%
117,1168879616,J. DeMucci,Joey DeMucci,DeMucci,Joey,C,Penn State University,PSU,5326,Penn State,BBC,R,R,19,372,1477,46.4%,48.7%,41.3%,27.3%,21.3%,30.5%,11.3%,79.2%,20.8%
118,1297349376,L. Sauve,Logan Sauve,Sauve,Logan,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,49,1873,7245,46.0%,48.7%,43.9%,24.9%,26.2%,31.8%,10.9%,78.4%,21.6%
119,1153707776,C. Rife,Charlie Rife,Rife,Charlie,C,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,38,1301,4589,47.3%,48.7%,41.8%,15.2%,21.5%,26.2%,6.4%,78.1%,21.9%
120,1162009088,B. Neal,Brady Neal,Neal,Brady,C,University of Alabama,ALA,730206976,Alabama,BBC,L,R,39,1454,5688,45.6%,48.7%,45.6%,27.0%,27.6%,31.8%,12.3%,80.1%,19.9%
121,1301451776,E. Sullivan,Evin Sullivan,Sullivan,Evin,C,Binghamton University,BING,730155776,Binghamton,BBC,R,R,29,1148,4270,49.4%,48.7%,43.7%,21.3%,21.8%,29.8%,9.3%,77.3%,22.7%
122,1099208448,L. McAllister,Levi McAllister,McAllister,Levi,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,44,1625,5794,50.5%,48.7%,43.1%,18.0%,19.4%,29.5%,7.8%,76.6%,23.4%
123,1307928832,D. McCann,David McCann,McCann,David,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,16,569,2159,45.6%,48.7%,44.3%,29.7%,25.9%,31.8%,13.2%,80.9%,19.1%
124,1083912192,E. Gonzalez,Emiliano Gonzalez,Gonzalez,Emiliano,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,45,1718,6463,47.9%,48.7%,45.5%,23.4%,24.4%,31.3%,10.6%,79.6%,20.4%
125,1324687360,M. Mallas,Michael Mallas,Mallas,Michael,C,Towson University,TOWS,730318336,Towson,BBC,R,R,11,313,1104,43.4%,48.7%,41.6%,19.1%,25.8%,30.7%,7.9%,79.2%,20.8%
126,1310898688,T. Leroy,Tyler LeRoy,Leroy,Tyler,C,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,48,1665,6097,46.3%,48.6%,44.5%,18.9%,24.0%,30.3%,8.4%,79.8%,20.2%
127,1698176328,B. Grizzaffi,Bryce Grizzaffi,Grizzaffi,Bryce,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,38,1113,4116,46.7%,48.6%,46.2%,26.7%,26.8%,31.1%,12.3%,78.2%,21.8%
128,1208590592,M. Moise,Mac Moise,Moise,Mac,C,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,56,2198,8624,46.4%,48.6%,43.2%,24.6%,22.8%,31.4%,10.7%,77.8%,22.2%
129,1167350272,A. Berghult,Adam Berghult,Berghult,Adam,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,22,773,2969,45.5%,48.6%,41.3%,27.6%,23.6%,31.8%,11.4%,80.0%,20.0%
