Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PB,WP,PBWP,xPBWP,PBWPAA,PBWP+,PBWPRAA,PBWPWAR
243,1296585216,G. Athanasiadis,George Athanasiadis,Athanasiadis,George,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,19,2271,4,8,12,2.11,-2.89,42.3%,-0.73,-0.07
244,1874971185,E. Wainwright,Eric Wainwright,Wainwright,Eric,C,University of Maine,ME,730275840,Maine,BBC,R,R,11,1230,0,8,8,3.10,-2.90,51.7%,-0.74,-0.07
245,1478596887,B. Daulton,Brayden Daulton,Daulton,Brayden,C,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,6,553,6,11,17,1.08,-2.92,26.9%,-0.74,-0.07
246,1309501696,K. Morse,Krayton Morse,Morse,Krayton,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,44,5888,7,23,30,9.99,-3.01,76.8%,-0.77,-0.08
247,1098478592,J. Williams,J.P. Williams,Williams,J.P.,C,James Madison University,JMU,730340096,James Madison,BBC,R,R,20,1578,2,8,10,6.97,-3.03,69.7%,-0.77,-0.08
248,1145593856,A. Munguia,Austin Munguia,Munguia,Austin,C,Texas State University,TXST,5420,Texas State,BBC,R,R,22,3102,6,10,16,12.95,-3.05,80.9%,-0.78,-0.08
249,1300425984,T. Sheridan,Tommy Sheridan,Sheridan,Tommy,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,10,911,1,16,17,0.92,-3.08,22.9%,-0.78,-0.08
250,1024090398,T. Wells,Trey Wells,Wells,Trey,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,17,2339,7,7,14,10.89,-3.11,77.8%,-0.79,-0.08
251,1159606016,J. Neff,Jason Neff,Neff,Jason,C,Villanova University,VILL,730278400,Villanova,BBC,R,R,44,6349,7,25,32,28.86,-3.14,90.2%,-0.80,-0.08
252,1243724032,R. Lee,Ryan Lee,Lee,Ryan,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,11,1671,5,9,14,2.85,-3.15,47.5%,-0.80,-0.08
253,1309684736,B. Burke,Brendan Burke,Burke,Brendan,C,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,33,3751,8,51,59,5.85,-3.15,65.0%,-0.80,-0.08
254,1232548330,Z. Buchan,Zander Buchan,Buchan,Zander,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,S,R,15,1614,0,12,12,6.81,-3.19,68.1%,-0.81,-0.08
255,1304695552,C. Morrison,Cam Morrison,Morrison,Cam,C,Stonehill College,SC,730238464,Stonehill,BBC,R,R,16,1853,2,15,17,4.79,-3.21,59.8%,-0.82,-0.08
256,1166430850,G. Ashe,Grayson Ashe,Ashe,Grayson,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,53,7505,5,29,34,27.77,-3.23,89.6%,-0.82,-0.08
257,1105510656,A. Lamb,Andrew Lamb,Lamb,Andrew,C,University of Southern California,USC,5047,USC,BBC,L,R,16,1437,1,7,8,4.75,-3.25,59.3%,-0.83,-0.08
258,1150232064,R. Ayers,Robbie Ayers,Ayers,Robbie,C,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,45,6819,1,28,29,22.75,-3.25,87.5%,-0.83,-0.08
259,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,37,5531,3,27,30,24.74,-3.26,88.3%,-0.83,-0.08
260,1035363112,S. Fontenot,Seth Fontenot,Fontenot,Seth,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,18,1717,3,10,13,6.71,-3.29,67.1%,-0.84,-0.08
261,1600351085,R. Jones,Ryan Jones,Jones,Ryan,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,10,936,2,10,12,2.68,-3.32,44.6%,-0.85,-0.08
262,1297507072,F. Micallef,Frank Micallef,Micallef,Frank,C,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,13,1795,2,10,12,4.67,-3.33,58.4%,-0.85,-0.08
263,1067010784,K. Hartmann,Kyle Hartmann,Hartmann,Kyle,C,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,13,1239,1,8,9,4.65,-3.35,58.1%,-0.85,-0.09
264,1213485312,F. Ferrentino,Frankie Ferrentino,Ferrentino,Frankie,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,33,3886,4,28,32,5.62,-3.38,62.5%,-0.86,-0.09
