Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
277,1255708160,J. Morrison,Jacob Morrison,Morrison,Jacob,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,19,425,1618,51.9%,0.1%,15.0%,10.6%,15.8%,6.7%,0.0%,0.0%,0.0%,51.9%,33.1%,26.4%
278,1198583040,C. Powers,Callen Powers,Powers,Callen,P,University of Massachusetts,MASS,5451,UMass,BBC,R,R,14,338,1245,51.9%,0.0%,0.2%,4.2%,28.2%,15.5%,0.0%,0.0%,54.5%,51.9%,48.0%,32.5%
279,1255285248,J. Phillips,Jacob Phillips,Phillips,Jacob,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,L,L,18,268,984,51.8%,1.0%,0.7%,9.3%,16.8%,19.5%,0.8%,0.0%,0.0%,52.8%,46.4%,26.1%
280,1257329152,N. Chapman,Noah Chapman,Chapman,Noah,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,L,21,292,1116,51.8%,0.4%,0.0%,33.9%,0.3%,13.6%,0.0%,0.0%,1.4%,52.2%,47.8%,34.2%
281,1231526144,C. Burfield,Casey Burfield,Burfield,Casey,P,University of Nevada,NEV,4784,Nevada,BBC,R,R,14,316,1118,51.8%,0.0%,0.0%,38.0%,0.0%,10.2%,0.0%,0.0%,1.0%,51.8%,48.2%,38.0%
282,1310946560,C. Benson,Chandler Benson,Benson,Chandler,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,20,276,953,51.7%,6.4%,0.0%,13.3%,0.6%,28.0%,0.0%,0.0%,9.8%,58.1%,41.9%,13.8%
283,1111554816,Z. Royse,Zach Royse,Royse,Zach,P,UTSA,UTSA,730373120,UTSA,BBC,R,R,19,418,1531,51.7%,0.5%,1.0%,43.1%,1.4%,0.9%,1.2%,0.0%,0.4%,52.3%,46.7%,44.5%
284,1142482688,K. Grundy,Kade Grundy,Grundy,Kade,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,15,326,1182,51.7%,3.6%,3.3%,22.2%,6.4%,12.9%,0.0%,0.0%,0.1%,55.3%,41.4%,28.5%
285,1110073856,S. Garner,Seth Garner,Garner,Seth,P,University of Memphis,MEM,730172160,Memphis,BBC,R,R,14,329,1214,51.7%,0.0%,0.2%,17.0%,2.0%,29.2%,0.0%,0.0%,1.0%,51.7%,48.2%,19.0%
286,1238136064,K. Barr,Kurt Barr,Barr,Kurt,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,16,323,1181,51.7%,2.6%,6.0%,10.6%,18.0%,8.0%,0.0%,0.0%,0.0%,54.3%,39.7%,31.7%
287,1261138697,G. Sentell,Gavin Sentell,Sentell,Gavin,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,R,14,246,915,51.6%,0.4%,0.0%,29.9%,0.4%,15.2%,0.0%,2.4%,50.3%,52.1%,47.9%,32.7%
288,1150347776,C. Allen,Colby Allen,Allen,Colby,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,29,276,1009,51.6%,1.3%,1.5%,43.5%,0.6%,1.4%,0.1%,0.0%,0.1%,52.9%,45.6%,44.1%
289,1116316672,K. Lesler,Kyle Lesler,Lesler,Kyle,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,14,261,961,51.6%,0.0%,0.0%,23.7%,12.4%,12.4%,0.0%,0.0%,80.6%,51.6%,48.4%,36.0%
290,1217549824,R. Reyes,Randy Reyes,Reyes,Randy,P,Grambling State University,GRAM,5378,Grambling State,BBC,L,L,14,289,872,51.6%,3.4%,0.3%,26.4%,10.0%,8.3%,0.0%,0.0%,60.0%,55.0%,44.7%,36.4%
291,1320362240,J. Kim,Justin Kim,Kim,Justin,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,228,865,51.5%,0.0%,0.2%,19.2%,26.7%,2.3%,0.0%,0.0%,0.0%,51.5%,48.3%,45.9%
292,1160666624,M. Patton,Myles Patton,Patton,Myles,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,15,332,1260,51.4%,7.8%,4.5%,21.5%,0.1%,14.7%,0.0%,0.0%,0.0%,59.2%,36.3%,21.6%
293,1296842752,G. Naess,Griffin Naess,Naess,Griffin,P,Cal Poly,CP,5487,Cal Poly,BBC,R,R,16,400,1485,51.4%,0.1%,3.5%,2.9%,13.6%,28.5%,0.0%,0.0%,0.1%,51.5%,45.0%,16.5%
294,1162130176,T. Hess,Tate Hess,Hess,Tate,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,20,283,1029,51.4%,1.3%,4.0%,21.6%,8.2%,13.6%,0.0%,0.0%,1.1%,52.7%,43.3%,29.8%
295,1102217472,H. Phelps,Holden Phelps,Phelps,Holden,P,Siena College,SIE,730382592,Siena,BBC,R,R,16,313,1100,51.3%,0.0%,18.1%,0.9%,8.0%,16.8%,4.9%,0.0%,79.5%,51.3%,30.5%,8.8%
296,1094321664,J. Edwards,Jagger Edwards,Edwards,Jagger,P,Columbia University,CLMB,730319104,Columbia,BBC,L,L,14,271,986,51.3%,0.0%,4.5%,11.6%,21.6%,11.0%,0.0%,0.0%,0.2%,51.3%,44.2%,33.2%
