Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/BF,CompLoc%,NonCompLoc%
203,1195501312,C. Diaz,Chris Diaz,Diaz,Chris,P,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,13,319,1170,48.2%,29.4%,70.6%,65.7%,38.1%,32.4%,51.1%,26.3%,33.8%,14.2%,3.67,80.1%,19.9%
204,1244431523,T. Kapa,Tyler Kapa,Kapa,Tyler,P,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,17,323,1321,45.4%,26.8%,73.2%,63.0%,31.8%,41.3%,51.1%,22.6%,32.1%,12.2%,4.09,80.9%,19.1%
205,1739007204,B. Weber,Ben Weber,Weber,Ben,P,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,17,347,1321,46.3%,20.8%,79.2%,62.3%,37.9%,41.3%,51.1%,22.4%,29.3%,9.6%,3.81,82.1%,17.9%
206,1713770973,B. Stone,Brandon Stone,Stone,Brandon,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,15,285,941,48.9%,18.9%,81.1%,66.6%,46.5%,34.6%,51.1%,30.1%,34.7%,9.2%,3.30,85.3%,14.7%
207,1187053824,C. Gaston,Carter Gaston,Gaston,Carter,P,University of Portland,PORT,730360320,Portland,BBC,R,R,14,312,1137,43.8%,23.9%,76.1%,60.8%,43.6%,32.5%,51.0%,20.1%,30.3%,10.5%,3.64,77.8%,22.2%
208,1145349376,C. Poliey,Clayton Poliey,Poliey,Clayton,P,Rider University,RID,730174976,Rider,BBC,R,R,14,278,872,43.9%,16.4%,83.6%,60.1%,51.4%,32.1%,51.0%,18.2%,27.3%,7.2%,3.14,73.8%,26.2%
209,1239369472,K. Reed,Kevin Reed,Reed,Kevin,P,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,14,338,1221,47.0%,21.3%,78.7%,65.1%,41.6%,37.1%,51.0%,27.3%,34.2%,10.0%,3.61,82.2%,17.8%
210,1195551232,C. Myles,Conor Myles,Myles,Conor,P,UTSA,UTSA,730373120,UTSA,BBC,L,L,17,336,1189,50.3%,23.9%,76.1%,64.7%,41.0%,35.1%,51.0%,28.3%,28.9%,12.0%,3.54,82.3%,17.7%
211,1149743416,M. Goodpaster,Marcus Goodpaster,Goodpaster,Marcus,P,Butler University,BUT,730283520,Butler,BBC,R,R,14,357,1222,49.3%,14.4%,85.6%,65.0%,47.1%,38.5%,51.0%,25.6%,30.3%,7.1%,3.42,81.3%,18.7%
212,1473506994,G. Kirn,Griffin Kirn,Kirn,Griffin,P,West Virginia University,WVU,5327,West Virginia,BBC,L,L,18,420,1546,49.8%,27.0%,73.0%,67.0%,35.5%,37.5%,50.9%,30.9%,34.3%,13.5%,3.68,81.8%,18.2%
213,1290508544,J. Bennett,Jack Bennett,Bennett,Jack,P,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,14,275,986,45.1%,23.1%,76.9%,65.3%,45.2%,31.7%,50.8%,26.0%,36.8%,10.4%,3.59,85.2%,14.8%
214,1162558464,W. Scott,Win Scott,Scott,Win,P,San Jose State University,SJSU,730206720,San Jose State,BBC,L,L,14,328,1113,44.9%,22.8%,77.2%,63.1%,47.2%,30.0%,50.8%,22.6%,32.2%,10.2%,3.39,79.1%,20.9%
215,1306838784,S. Seid,Spencer Seid,Seid,Spencer,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,16,243,980,44.7%,26.0%,74.0%,65.2%,33.3%,40.6%,50.7%,23.7%,36.5%,11.6%,4.03,82.8%,17.2%
216,1694755002,S. Sarre,Serigne Sarre,Sarre,Serigne,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,L,14,319,1153,41.8%,25.9%,74.1%,63.9%,41.3%,32.8%,50.7%,24.0%,36.2%,10.8%,3.61,78.5%,21.5%
217,1207768064,B. Mikos,Brandon Mikos,Mikos,Brandon,P,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,14,271,1023,40.8%,15.6%,84.4%,62.0%,47.2%,37.2%,50.7%,16.3%,35.9%,6.4%,3.77,78.2%,21.8%
218,1337608237,M. OBrien,Matthew OBrien,OBrien,Matthew,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,20,292,1080,42.8%,21.2%,78.8%,62.8%,45.7%,33.1%,50.6%,22.3%,31.7%,9.1%,3.70,76.8%,23.2%
219,1098310656,J. Bean,Jacob Bean,Bean,Jacob,P,Kent State University,KENT,730315008,Kent State,BBC,R,R,15,328,1179,42.7%,23.9%,76.1%,62.5%,43.9%,32.2%,50.6%,23.5%,34.6%,10.2%,3.59,80.4%,19.6%
220,1297342720,R. Prager,Ryan Prager,Prager,Ryan,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,15,350,1339,49.8%,23.8%,76.2%,68.9%,37.6%,38.5%,50.6%,30.2%,37.9%,11.9%,3.83,85.2%,14.8%
221,1263499264,B. Green,Bryan Green,Green,Bryan,P,UC Davis,UCD,730153984,UC Davis,BBC,L,L,15,341,1311,47.7%,16.0%,84.0%,65.5%,39.5%,44.6%,50.6%,26.7%,33.9%,7.6%,3.84,81.3%,18.7%
222,1574122232,A. Ehmke,Aric Ehmke,Ehmke,Aric,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,15,285,1036,45.6%,16.1%,83.9%,60.5%,44.7%,39.2%,50.6%,18.4%,27.5%,7.3%,3.64,74.5%,25.5%
223,1837146158,J. Litman,James Litman,Litman,James,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,15,258,980,45.4%,22.0%,78.0%,63.0%,41.6%,36.4%,50.6%,23.6%,32.1%,10.0%,3.80,80.1%,19.9%
224,1462207411,A. Johnson,Andrew Johnson,Johnson,Andrew,P,University of Southern California,USC,5047,USC,BBC,S,R,22,296,1049,46.6%,19.2%,80.8%,65.7%,45.0%,35.8%,50.5%,25.2%,35.8%,9.0%,3.54,81.8%,18.2%
225,1235307520,E. Foster,Elijah Foster,Foster,Elijah,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,340,1292,40.9%,27.5%,72.5%,57.7%,37.7%,34.8%,50.5%,16.3%,28.1%,11.2%,3.80,73.8%,26.2%
226,1196196955,D. Morrill,Dylan Morrill,Morrill,Dylan,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,17,250,942,46.3%,23.6%,76.4%,62.4%,38.8%,37.6%,50.5%,21.3%,30.0%,10.9%,3.77,81.2%,18.8%
227,1092635904,C. Cosper,Colton Cosper,Cosper,Colton,P,Mercer University,MER,730240512,Mercer,BBC,L,L,16,362,1435,47.3%,17.7%,82.3%,67.4%,38.9%,43.4%,50.5%,26.0%,38.1%,8.4%,3.96,82.4%,17.6%
228,1536897735,B. Treichel,Bryson Treichel,Treichel,Bryson,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,15,288,1018,44.3%,27.7%,72.3%,63.2%,40.4%,31.9%,50.5%,23.5%,33.5%,12.3%,3.53,81.9%,18.1%
229,1142967552,J. DeCastro,Justin DeCastro,DeCastro,Justin,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,15,405,1266,51.1%,16.7%,83.3%,68.2%,44.7%,38.6%,50.5%,28.9%,34.3%,8.5%,3.13,81.8%,18.2%
230,1016358398,B. Bouchard,Brady Bouchard,Bouchard,Brady,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,18,288,1024,47.9%,21.2%,78.8%,65.5%,42.7%,36.1%,50.4%,27.9%,33.9%,10.2%,3.56,80.9%,19.1%
231,1220541184,H. Cain,Harry Cain,Cain,Harry,P,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,19,277,1075,46.0%,20.9%,79.1%,64.1%,36.4%,42.7%,50.3%,23.3%,33.6%,9.6%,3.88,83.1%,16.9%
232,1308181507,B. Miller,Brady Miller,Miller,Brady,P,Boston College,BC,227,Boston College,BBC,R,L,16,265,955,46.7%,20.6%,79.4%,62.8%,42.6%,36.8%,50.3%,24.8%,30.3%,9.6%,3.60,80.3%,19.7%
233,1769907041,B. Loeger,Bryce Loeger,Loeger,Bryce,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,12,229,844,43.6%,20.1%,79.9%,62.1%,46.2%,33.7%,50.3%,24.1%,32.8%,8.8%,3.69,79.8%,20.2%
234,1296180224,L. Schmidt,Logan Schmidt,Schmidt,Logan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,19,298,1135,47.7%,17.7%,82.3%,65.3%,38.4%,43.8%,50.3%,26.9%,33.7%,8.5%,3.81,83.7%,16.3%
235,1312690944,R. Eikhoff,Riley Eikhoff,Eikhoff,Riley,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,17,370,1228,50.7%,21.5%,78.5%,70.7%,44.9%,33.5%,50.3%,33.8%,40.5%,10.9%,3.32,85.7%,14.3%
236,1255332608,G. Ahern,Garrett Ahern,Ahern,Garrett,P,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,15,360,1340,49.3%,22.5%,77.5%,64.9%,36.0%,41.5%,50.3%,26.5%,30.8%,11.1%,3.72,82.3%,17.7%
237,1950260205,M. Diforte,Michael Diforte,Diforte,Michael,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,289,876,39.2%,10.2%,89.8%,57.7%,58.0%,31.8%,50.2%,15.7%,28.4%,4.0%,3.03,75.6%,24.4%
238,1311551232,C. OHara,Connor OHara,OHara,Connor,P,George Mason University,GMU,730265088,George Mason,BBC,R,R,17,374,1377,48.2%,26.2%,73.8%,65.6%,38.4%,35.4%,50.2%,27.2%,33.0%,12.6%,3.68,81.4%,18.6%
239,1111554816,Z. Royse,Zach Royse,Royse,Zach,P,UTSA,UTSA,730373120,UTSA,BBC,R,R,19,418,1531,49.3%,25.4%,74.6%,64.7%,39.2%,35.4%,50.1%,27.2%,30.3%,12.5%,3.66,81.5%,18.5%
240,1277191168,M. Dalquist,Matthew Dalquist,Dalquist,Matthew,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,S,R,14,347,1263,48.9%,22.2%,77.8%,66.5%,42.3%,35.5%,50.1%,27.3%,34.4%,10.8%,3.64,78.5%,21.5%
241,1184457216,S. Dutton,Samuel Dutton,Dutton,Samuel,P,Auburn University,AUB,5466,Auburn,BBC,L,R,16,354,1373,45.7%,26.9%,73.1%,65.7%,37.3%,35.8%,50.1%,26.1%,36.8%,12.3%,3.88,84.9%,15.1%
242,1092684544,M. Heer,Mitchell Heer,Heer,Mitchell,P,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,12,274,959,48.1%,17.4%,82.6%,64.2%,46.6%,36.0%,50.1%,24.5%,31.1%,8.3%,3.50,81.6%,18.4%
243,1643596490,N. Mertens,Nathan Mertens,Mertens,Nathan,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,15,315,1085,52.6%,20.7%,79.3%,69.6%,41.9%,37.5%,50.1%,30.9%,35.7%,10.9%,3.44,82.9%,17.1%
244,1185610753,D. Fritton,Dom Fritton,Fritton,Dom,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,17,389,1589,44.5%,25.6%,74.4%,62.6%,33.5%,40.9%,50.1%,24.9%,32.7%,11.4%,4.08,84.2%,15.8%
245,1481247285,R. Borberg,Ryan Borberg,Borberg,Ryan,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,16,342,1234,46.9%,24.5%,75.5%,64.7%,40.4%,35.1%,50.0%,25.0%,33.6%,11.5%,3.61,82.5%,17.5%
246,1198512384,J. Wells,Jackson Wells,Wells,Jackson,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,17,390,1546,43.7%,28.1%,71.9%,61.9%,36.7%,35.1%,50.0%,22.2%,31.4%,12.3%,3.96,76.8%,23.2%
247,1318761728,G. Yawn,Garrett Yawn,Yawn,Garrett,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,16,459,1738,43.2%,25.9%,74.1%,65.2%,40.0%,34.1%,50.0%,24.9%,33.3%,11.2%,3.79,80.4%,19.6%
248,1130372096,C. Harris,Connor Harris,Harris,Connor,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,15,327,1161,47.9%,19.6%,80.4%,67.8%,42.8%,37.6%,50.0%,27.5%,38.2%,9.4%,3.55,82.8%,17.2%
248,1342168472,T. Williams,Tyrell Williams,Williams,Tyrell,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,16,249,948,42.5%,18.1%,81.9%,62.8%,45.4%,36.5%,50.0%,19.9%,35.2%,7.7%,3.81,79.6%,20.4%
250,1611658868,M. Rabayda,Mike Rabayda,Rabayda,Mike,P,Fordham University,FOR,730324992,Fordham,BBC,R,R,15,382,1382,45.2%,21.2%,78.8%,64.8%,42.9%,35.9%,50.0%,25.0%,35.8%,9.6%,3.62,80.5%,19.5%
251,1208166656,L. Harrison,Luke Harrison,Harrison,Luke,P,University of Texas,TEX,245,Texas,BBC,L,L,15,315,1151,43.2%,22.7%,77.3%,63.3%,39.6%,37.6%,50.0%,20.4%,35.5%,9.8%,3.65,81.1%,18.9%
252,1604541126,T. Hillen,Trent Hillen,Hillen,Trent,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,349,1239,45.2%,27.0%,73.0%,63.0%,44.5%,28.6%,50.0%,24.6%,29.5%,12.2%,3.55,77.9%,22.1%
253,1238212096,J. Tollett,JR Tollett,Tollett,JR,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,17,328,1103,51.0%,20.8%,79.2%,68.3%,43.4%,35.8%,50.0%,33.7%,35.4%,10.6%,3.36,82.2%,17.8%
254,1207489536,C. Monke,Carter Monke,Monke,Carter,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,17,271,864,48.4%,17.0%,83.0%,66.2%,50.7%,32.3%,49.9%,25.5%,34.2%,8.2%,3.19,84.3%,15.7%
255,1357310320,J. Marciano,Jake Marciano,Marciano,Jake,P,Virginia Tech,VT,2293,Virginia Tech,BBC,L,L,15,278,1085,47.6%,24.8%,75.2%,66.3%,34.8%,40.4%,49.9%,31.2%,35.6%,11.8%,3.90,81.8%,18.2%
256,1281671425,R. Bertram,Reid Bertram,Bertram,Reid,P,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,L,L,17,275,994,45.0%,18.6%,81.4%,61.9%,45.6%,35.8%,49.9%,24.7%,30.7%,8.4%,3.61,79.4%,20.6%
257,1340724736,R. Rivera,Reagan Rivera,Rivera,Reagan,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,15,369,1388,41.4%,25.1%,74.9%,62.7%,38.3%,36.6%,49.9%,18.9%,35.8%,10.4%,3.76,79.8%,20.2%
258,1568921580,B. Cassedy,Brandon Cassedy,Cassedy,Brandon,P,George Mason University,GMU,730265088,George Mason,BBC,R,R,16,359,1318,43.4%,21.2%,78.8%,63.4%,42.3%,36.5%,49.9%,24.3%,35.0%,9.2%,3.67,82.0%,18.0%
259,1254299136,J. Flora,Jackson Flora,Flora,Jackson,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,13,309,1204,47.4%,31.0%,69.0%,64.9%,34.3%,34.7%,49.9%,27.1%,33.2%,14.7%,3.90,78.5%,21.5%
260,1311043840,P. Consigli,Peyton Consigli,Consigli,Peyton,P,Canisius College,CAN,730218752,Canisius,BBC,L,R,13,290,1014,41.2%,24.9%,75.1%,60.1%,41.6%,33.5%,49.9%,17.2%,29.7%,10.3%,3.50,73.9%,26.1%
261,1273112064,D. Beckner,Drew Beckner,Beckner,Drew,P,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,15,372,1471,42.5%,27.4%,72.6%,61.9%,38.2%,34.4%,49.9%,21.4%,31.1%,11.6%,3.95,79.3%,20.7%
262,1317943808,R. Ramos,Rigo Ramos,Ramos,Rigo,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,L,15,288,1108,42.2%,22.0%,78.0%,60.5%,38.2%,39.7%,49.8%,20.1%,31.6%,9.3%,3.85,78.0%,22.0%
263,1260237537,J. Ohman,Jack Ohman,Ohman,Jack,P,Yale University,YALE,730334464,Yale,BBC,L,R,12,288,1139,48.1%,30.3%,69.7%,63.3%,31.9%,37.8%,49.8%,29.5%,29.2%,14.6%,3.95,79.6%,20.4%
264,1341380352,R. Martinez,Ryan Martinez,Martinez,Ryan,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,14,375,1297,47.5%,20.0%,80.0%,64.9%,47.9%,32.1%,49.8%,24.6%,33.2%,9.5%,3.46,78.9%,21.1%
265,1192860928,J. Phipps,Jackson Phipps,Phipps,Jackson,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,L,15,326,1257,41.0%,21.6%,78.4%,61.8%,36.5%,41.9%,49.8%,23.9%,35.3%,8.8%,3.86,81.6%,18.4%
266,1738764358,L. Mack,Landon Mack,Mack,Landon,P,Rutgers University,RUTG,730229248,Rutgers,BBC,S,R,15,340,1223,48.0%,21.3%,78.7%,65.2%,41.2%,37.5%,49.8%,26.1%,33.0%,10.2%,3.60,82.7%,17.3%
267,1317475840,C. Wade,Crawford Wade,Wade,Crawford,P,Northwestern University,NW,730247680,Northwestern,BBC,L,L,18,320,1186,43.0%,22.0%,78.0%,62.9%,42.2%,35.9%,49.7%,24.6%,34.9%,9.4%,3.71,83.3%,16.7%
268,1326983680,K. Echeman,Kaden Echeman,Echeman,Kaden,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,12,244,1034,41.6%,31.2%,68.8%,60.5%,28.4%,40.5%,49.7%,21.3%,32.3%,13.0%,4.24,77.4%,22.6%
269,1162317568,K. Johnson,Keegan Johnson,Johnson,Keegan,P,Ball State University,BALL,730195456,Ball State,BBC,L,L,14,317,1289,39.4%,25.8%,74.2%,59.0%,37.2%,37.0%,49.7%,19.2%,32.1%,10.2%,4.07,77.9%,22.1%
270,1436932267,C. White,Carter White,White,Carter,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,L,19,249,861,46.5%,18.3%,81.8%,61.0%,42.5%,39.3%,49.7%,22.6%,26.1%,8.5%,3.46,77.1%,22.9%
271,1314894592,C. Fink,Carter Fink,Fink,Carter,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,16,335,1243,43.4%,19.3%,80.7%,65.2%,45.4%,35.4%,49.6%,22.5%,38.5%,8.4%,3.71,82.6%,17.4%
272,1200305920,R. Peterson,Ryan Peterson,Peterson,Ryan,P,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,14,351,1298,42.8%,24.0%,76.0%,61.8%,40.9%,35.1%,49.6%,22.0%,33.3%,10.2%,3.70,79.9%,20.1%
