Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/BF,CompLoc%,NonCompLoc%
667,1162504960,D. Case,David Case,Case,David,P,University of Memphis,MEM,730172160,Memphis,BBC,L,L,14,295,1135,42.3%,27.1%,72.9%,59.6%,40.2%,32.7%,41.9%,24.8%,30.1%,11.5%,3.85,76.3%,23.7%
668,1236290816,A. Haugh,Aidan Haugh,Haugh,Aidan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,17,333,1354,43.4%,28.6%,71.4%,61.2%,35.9%,35.4%,41.9%,28.1%,31.4%,12.4%,4.07,76.2%,23.8%
669,1330730752,D. Vigue,Dylan Vigue,Vigue,Dylan,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,16,269,1028,41.9%,25.8%,74.2%,58.9%,38.3%,36.0%,41.9%,25.6%,29.3%,10.8%,3.82,76.3%,23.7%
670,1196798720,C. Keshock,Cameron Keshock,Keshock,Cameron,P,Samford University,SAM,730386432,Samford,BBC,R,R,15,366,1325,46.8%,27.6%,72.4%,64.2%,38.7%,33.7%,41.8%,33.4%,32.6%,12.9%,3.62,78.5%,21.5%
671,1216810752,J. Harris,Jaden Harris,Harris,Jaden,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,17,301,1128,41.8%,21.0%,79.0%,57.8%,45.4%,33.5%,41.7%,23.0%,27.5%,8.8%,3.75,74.6%,25.4%
672,1230322309,D. Wright,Davis Wright,Wright,Davis,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,15,383,1500,44.9%,24.4%,75.6%,63.4%,38.8%,36.8%,41.7%,30.7%,33.6%,10.9%,3.92,77.3%,22.7%
673,1521776654,G. Kuzniewski,Gavin Kuzniewski,Kuzniewski,Gavin,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,18,266,1027,40.0%,19.2%,80.8%,58.6%,43.6%,37.2%,41.6%,21.4%,30.9%,7.7%,3.86,77.3%,22.7%
674,1897229556,G. Thompson,Gavin Thompson,Thompson,Gavin,P,Bradley University,BRAD,730253312,Bradley,BBC,R,R,18,281,965,45.6%,21.1%,78.9%,60.5%,46.4%,32.5%,41.4%,27.0%,27.1%,9.6%,3.43,75.9%,24.1%
675,1142994176,L. Peterson,Liam Peterson,Peterson,Liam,P,University of Florida,FLA,730168320,Florida,BBC,R,R,16,305,1262,43.4%,32.7%,67.3%,61.8%,31.8%,35.6%,41.3%,26.4%,32.5%,14.2%,4.14,77.1%,22.9%
676,1204042240,H. Elliott,Hunter Elliott,Elliott,Hunter,P,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,17,361,1474,42.3%,33.0%,67.0%,60.7%,32.7%,34.3%,41.3%,26.3%,31.9%,14.0%,4.08,77.8%,22.2%
677,1310349568,H. Bodendorf,Harrison Bodendorf,Bodendorf,Harrison,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,L,17,377,1520,45.2%,34.6%,65.4%,62.2%,34.6%,30.7%,41.3%,32.1%,31.1%,15.7%,4.03,74.8%,25.2%
678,1026778788,A. Gonzalez,Andres Gonzalez,Gonzalez,Andres,P,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,19,302,1150,41.9%,22.2%,77.8%,59.1%,42.9%,34.9%,41.1%,24.3%,29.5%,9.3%,3.81,67.1%,32.9%
679,1093144320,S. Cash,Steven Cash,Cash,Steven,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,L,16,366,1352,46.2%,29.1%,70.9%,63.0%,42.4%,28.5%,41.1%,30.4%,31.1%,13.5%,3.69,75.4%,24.6%
680,1227145728,B. Gomez,Brandon Gomez,Gomez,Brandon,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,L,15,322,1288,42.0%,23.1%,76.9%,60.8%,37.9%,39.0%,41.0%,25.7%,32.4%,9.7%,4.00,75.8%,24.2%
