Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
435,1107635456,D. Haab,Daniel Haab,Haab,Daniel,RF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,11,9,0,80.5,1.85,0.77,1.08,0.59,1.7
435,1165892864,C. Titus,Coleson Titus,Titus,Coleson,3B,Army West Point,ARMY,4744,Army,BBC,R,R,11,5,2,79.0,2.21,0.90,1.27,1.56,-1.0
435,1261687040,T. Zwirecki,Thomas Zwirecki,Zwirecki,Thomas,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,11,4,0,75.0,2.06,0.85,1.20,0.07,3.8
435,1204041472,A. Yu,Andrew Yu,Yu,Andrew,C,Duke University,DUKE,730336256,Duke,BBC,R,R,11,9,2,75.8,1.91,0.72,1.16,2.74,0.5
435,1197062912,J. Fitzgibbons,Jake Fitzgibbons,Fitzgibbons,Jake,C,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,L,R,11,7,2,74.0,2.07,0.81,1.20,2.32,2.2
435,1100780800,J. Kuczik,JP Kuczik,Kuczik,JP,C,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,11,3,2,72.1,1.96,0.79,1.18,5.37,4.4
435,1307928832,D. McCann,David McCann,McCann,David,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,11,5,4,79.6,1.96,0.71,1.27,6.60,0.4
435,1273292544,A. Sundean,Andrew Sundean,Sundean,Andrew,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,11,7,2,77.6,2.08,0.81,1.25,1.30,1.8
435,1334298368,T. Burkhalter,Trenton Burkhalter,Burkhalter,Trenton,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,11,7,3,74.5,2.06,0.75,1.31,2.69,4.1
435,1278224128,T. Lethert,Teige Lethert,Lethert,Teige,C,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,R,11,6,0,75.6,2.00,0.80,1.20,1.81,3.0
435,1235376384,N. Manley,Nate Manley,Manley,Nate,C,Wright State University,WRST,5390,Wright State,BBC,R,R,11,9,2,81.2,1.84,0.73,1.10,2.42,4.2
435,1257439488,L. DiPaolo,Luca DiPaolo,DiPaolo,Luca,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,11,7,1,78.0,1.98,0.79,1.09,5.27,5.0
435,1162576640,C. Dillon,Cole Dillon,Dillon,Cole,C,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,11,7,2,74.5,1.92,0.76,1.20,3.32,1.6
435,1105477376,N. Gordon,Noah Gordon,Gordon,Noah,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,11,4,2,79.5,2.02,0.75,1.26,2.27,-2.8
435,1143069440,M. Strand,Matthew Strand,Strand,Matthew,C,Samford University,SAM,730386432,Samford,BBC,R,R,11,9,2,76.7,1.96,0.82,1.14,2.58,2.2
435,1566704340,A. Duda,Aidan Duda,Duda,Aidan,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,11,10,0,78.9,1.98,0.80,1.17,2.83,5.0
435,1810334512,B. Mitchell,Braize Mitchell,Mitchell,Braize,C,Iona College,IONA,730242048,Iona,BBC,R,R,11,7,1,78.2,1.97,0.84,1.13,1.85,1.3
435,1698306746,A. Garcia,Ayden Garcia,Garcia,Ayden,C,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,R,11,7,3,77.6,1.93,0.75,1.21,3.80,2.7
435,1513501382,C. Norton,Cade Norton,Norton,Cade,C,Mercer University,MER,730240512,Mercer,BBC,R,R,11,9,0,79.2,1.87,0.79,1.08,1.81,0.8
435,1943433924,A. French,Anderson French,French,Anderson,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,11,6,2,78.3,1.99,0.73,1.27,4.38,4.6
435,1267661765,B. Carrothers,Brian Carrothers,Carrothers,Brian,C,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,11,6,2,74.2,2.10,0.94,1.17,2.26,1.8
435,1178255014,C. Mowry,Collin Mowry,Mowry,Collin,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,11,6,1,77.3,1.94,0.89,1.05,2.04,2.8
457,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,10,7,2,80.8,1.89,0.70,1.20,1.35,-0.5
457,1228209408,C. Brown,Colin Brown,Brown,Colin,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,10,5,4,74.7,1.96,0.85,1.25,3.78,2.2
457,1198516992,B. Shevey,Boone Shevey,Shevey,Boone,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,S,R,10,4,3,81.4,1.88,0.76,1.13,4.08,1.2
457,1092700416,L. Godsey,Landon Godsey,Godsey,Landon,1B,Belmont University,BEL,730190336,Belmont,BBC,R,R,10,6,3,74.7,2.06,0.77,1.30,3.31,2.5
457,1281184000,W. Perez,Waldie Perez,Perez,Waldie,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,10,8,1,76.5,1.93,0.81,1.16,2.89,2.0
457,1226688768,W. Scafidi,Witt Scafidi,Scafidi,Witt,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,10,6,2,78.2,2.20,0.97,1.18,3.20,0.2
457,1166939392,R. Ciulla,Robert Ciulla,Ciulla,Robert,C,Yale University,YALE,730334464,Yale,BBC,R,R,10,3,5,75.3,2.11,0.79,1.30,2.62,6.5
457,1310534912,M. Suppa,Matthew Suppa,Suppa,Matthew,C,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,10,5,2,75.0,1.96,0.72,1.25,3.38,3.2
457,1184798208,J. Gaudreau,Jacob Gaudreau,Gaudreau,Jacob,C,Bryant University,BRY,730266880,Bryant,BBC,L,R,10,7,2,78.5,2.05,0.89,1.16,1.37,3.1
457,1200350720,N. Greise,Noah Greise,Greise,Noah,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,10,8,1,77.7,1.93,0.71,1.20,1.99,1.5
457,1310313729,J. Asencio,Jayden Asencio,Asencio,Jayden,C,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,10,6,0,71.6,1.79,0.68,1.19,2.30,2.2
457,1202877952,B. Freiter,Bennett Freiter,Freiter,Bennett,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,10,8,1,78.7,2.06,0.88,1.18,2.45,0.9
457,1310859520,J. Valdez,Josue Valdez,Valdez,Josue,C,Villanova University,VILL,730278400,Villanova,BBC,R,R,10,6,3,75.1,2.20,0.90,1.29,3.52,1.1
457,1238050560,D. Brown,Dillon Brown,Brown,Dillon,C,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,10,5,2,72.5,2.20,0.91,1.30,3.18,2.1
457,1268059418,N. Goodwin,Nic Goodwin,Goodwin,Nic,C,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,10,4,3,75.6,2.08,0.79,1.28,1.32,-0.2
457,1579529771,E. Morales,Efrain Morales,Morales,Efrain,C,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,10,9,1,76.5,2.03,0.88,1.13,1.65,3.2
457,1512159905,C. Horneman,Colin Horneman,Horneman,Colin,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,10,8,0,74.3,1.85,0.74,1.11,1.98,3.3
457,1201754681,M. Mainord,Matthew Mainord,Mainord,Matthew,C,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,10,8,0,76.2,2.17,0.88,1.27,1.30,1.3
457,1112215423,J. Radosevich,Jake Radosevich,Radosevich,Jake,C,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,10,2,4,77.4,2.03,0.80,1.16,3.50,6.0
457,1362804194,C. Marisca,Charlie Marisca,Marisca,Charlie,C,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,L,R,10,7,2,76.4,2.10,0.78,1.27,2.50,-0.3
457,1601928520,J. Golden,Jackson Golden,Golden,Jackson,C,Marshall University,MRSH,730333696,Marshall,BBC,R,R,10,7,2,74.8,2.06,0.82,1.24,1.65,-1.4
457,1666779509,M. Houston,Matt Houston,Houston,Matt,C,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,10,8,0,78.0,1.99,0.76,1.22,1.02,4.8
457,1256953344,N. Rivera Flores,Nelson Rivera Flores,Rivera Flores,Nelson,C,Florida International University,FIU,4468,Florida International,BBC,R,R,10,2,5,77.3,2.10,0.81,1.19,5.00,6.5
457,1343189705,E. Miller,Ethan Miller,Miller,Ethan,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,10,8,1,74.6,2.06,0.88,1.13,2.83,4.3
457,1347089114,E. Dean,Easton Dean,Dean,Easton,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,10,7,2,76.8,1.90,0.71,1.20,2.27,-5.7
457,1615057676,J. Wrubleski,Jake Wrubleski,Wrubleski,Jake,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,10,7,3,78.2,2.13,0.86,1.22,4.41,2.9
483,1260855296,G. Bozzo,Gregory Bozzo,Bozzo,Gregory,C,Northeastern University,NE,343,Northeastern,BBC,R,R,9,6,1,79.0,2.09,0.82,1.28,2.29,2.7
483,1196813569,J. Killelea,Jack Killelea,Killelea,Jack,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,9,2,3,78.2,2.08,0.83,1.30,2.27,-1.2
483,1283337728,C. Shipley,Casey Shipley,Shipley,Casey,C,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,9,4,3,75.4,1.93,0.82,1.15,2.31,1.3
483,1084703232,S. Hunt,Sam Hunt,Hunt,Sam,C,University of Minnesota,MINN,4864,Minnesota,BBC,S,R,9,3,1,76.6,2.02,0.82,1.28,1.42,2.0
483,1116675328,B. Sorensen,Bailyn Sorensen,Sorensen,Bailyn,C,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,9,6,2,81.6,2.09,0.90,1.17,3.25,4.3
483,1197623808,C. Smith,Christian Smith,Smith,Christian,C,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,9,4,2,76.8,2.18,0.89,1.17,4.03,3.2
483,1336108544,J. Slater,Jack Slater,Slater,Jack,C,Old Dominion University,ODU,3090,Old Dominion,BBC,L,R,9,6,1,77.7,2.19,0.94,1.10,2.86,0.2
483,1310484992,C. McKenzie,Cooper McKenzie,McKenzie,Cooper,C,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,9,5,3,71.4,2.23,0.85,1.39,2.16,0.7
483,1320282112,W. Joyce,Whitt Joyce,Joyce,Whitt,C,UTSA,UTSA,730373120,UTSA,BBC,R,R,9,5,3,77.0,2.07,0.95,1.09,3.80,2.9
483,1100940032,C. Chavez,Carson Chavez,Chavez,Carson,C,Fordham University,FOR,730324992,Fordham,BBC,R,R,9,3,3,72.8,2.21,0.80,1.40,2.79,6.4
483,1162501632,L. Vaughan,Logan Vaughan,Vaughan,Logan,C,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,S,R,9,6,1,75.7,1.85,0.70,1.15,1.70,4.4
483,1162109440,G. Pancione,Garrett Pancione,Pancione,Garrett,C,George Mason University,GMU,730265088,George Mason,BBC,R,R,9,4,3,74.0,1.86,0.73,1.19,1.48,6.3
483,1780241245,G. Juarez,Gabe Juarez,Juarez,Gabe,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,9,4,3,73.5,2.00,0.82,1.15,3.47,2.5
483,1455290898,J. Roossien,Jace Roossien,Roossien,Jace,C,Boston College,BC,227,Boston College,BBC,S,R,9,3,2,79.2,2.13,0.91,1.12,1.68,3.7
483,1389402065,G. Bullock,Garrison Bullock,Bullock,Garrison,C,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,9,3,0,79.2,2.03,0.81,1.23,0.90,2.6
483,1289058129,J. Liera,Jesus Liera,Liera,Jesus,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,9,4,2,75.9,1.88,0.88,1.08,3.49,1.9
483,1044224575,D. Leikus,Danny Leikus,Leikus,Danny,C,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,9,4,0,71.3,1.98,0.80,1.26,1.35,0.5
483,1756418855,Z. White,Zach White,White,Zach,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,9,6,1,76.9,2.07,0.82,1.20,3.11,1.9
483,1387215374,W. Robbins,Will Robbins,Robbins,Will,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,9,6,1,76.1,1.93,0.81,1.08,2.75,3.6
483,1600351085,R. Jones,Ryan Jones,Jones,Ryan,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,9,4,2,77.0,2.05,0.79,1.21,2.27,3.1
503,1134142464,J. Nielsen,Jack Nielsen,Nielsen,Jack,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,8,6,1,72.3,2.03,0.84,1.18,3.37,1.0
503,1084406528,T. Curry,Thomas Curry,Curry,Thomas,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,8,5,1,81.0,1.99,0.75,1.22,3.37,1.9
503,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,8,4,4,82.8,1.78,0.75,1.00,2.82,1.0
503,1300163072,N. DeLisi,Nick DeLisi,DeLisi,Nick,C,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,8,3,1,75.0,1.93,0.70,1.23,-0.19,4.1
503,1336547840,M. Zelenka,Martin Zelenka,Zelenka,Martin,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,8,5,2,76.7,2.16,0.85,1.30,0.83,2.3
503,1202717696,D. LaPointe,Dylan LaPointe,LaPointe,Dylan,C,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,8,5,0,81.3,2.01,0.80,1.22,0.63,-2.1
503,1273293312,B. Poppell,Broedy Poppell,Poppell,Broedy,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,S,R,8,6,2,78.2,1.58,0.68,0.90,4.41,3.9
503,1146160128,J. Ruiz,Justin Ruiz,Ruiz,Justin,C,High Point University,HP,730321152,High Point,BBC,R,R,8,7,0,83.5,2.01,0.83,1.17,2.49,1.0
503,1310895105,V. Coughlin,Van Coughlin,Coughlin,Van,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,8,6,0,76.4,2.05,0.72,1.34,3.36,0.3
503,1317378560,J. Green,Jason Green,Green,Jason,C,Niagara University,NIAG,730156544,Niagara,BBC,L,R,8,4,2,77.9,2.04,0.86,1.15,1.55,6.0
503,1134316032,J. Lind,Jackson Lind,Lind,Jackson,C,Seattle University,SEA,4504,Seattle,BBC,L,R,8,5,2,76.8,2.30,1.04,1.24,2.46,3.2
503,1142127872,J. Yovino,Joseph Yovino,Yovino,Joseph,C,Elon University,ELON,730252544,Elon,BBC,R,R,8,5,2,83.6,1.96,0.86,1.09,4.35,3.8
503,1330743296,A. Nevils,Alex Nevils,Nevils,Alex,C,Indiana State University,INST,730350080,Indiana State,BBC,R,R,8,8,0,76.9,1.61,0.71,0.91,2.58,1.8
503,1271046400,J. Gibson,Jayden Gibson,Gibson,Jayden,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,8,7,0,73.5,2.01,0.89,1.15,0.74,1.8
503,1992334055,T. Castonguay,Tony Castonguay,Castonguay,Tony,C,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,8,6,1,74.5,1.90,0.80,1.08,1.50,3.1
503,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,8,1,2,79.7,1.98,0.72,1.27,0.34,-6.7
503,1476164141,T. Smith,Tyler Smith,Smith,Tyler,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,8,4,1,76.1,2.16,0.83,1.24,1.98,3.0
503,1172798629,E. Rodriguez,Elijah Rodriguez,Rodriguez,Elijah,C,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,8,7,1,74.1,2.11,0.86,1.25,2.42,3.8
503,1035363112,S. Fontenot,Seth Fontenot,Fontenot,Seth,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,8,5,1,76.4,2.01,0.80,1.20,2.69,4.0
503,1601342214,R. Wegrzyn,Robert Wegrzyn,Wegrzyn,Robert,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,8,3,0,76.1,2.14,0.80,1.18,0.19,1.9
503,1736480121,W. Johannes,Will Johannes,Johannes,Will,C,University of Illinois,ILL,730163456,Illinois,BBC,R,R,8,3,2,81.6,1.87,0.79,1.09,2.95,1.8
503,1664447366,F. Gonzalez,Felix Gonzalez,Gonzalez,Felix,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,8,5,0,77.6,1.84,0.81,1.01,3.29,2.8
503,1294153041,X. Rivera,Xavier Rivera,Rivera,Xavier,C,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,8,4,2,73.0,2.04,0.77,1.29,3.60,4.8
526,1336567552,C. Smithwick,Campbell Smithwick,Smithwick,Campbell,C,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,7,5,1,76.6,1.82,0.74,1.18,1.63,1.3
526,1153311232,D. Wyatt,Danny Wyatt,Wyatt,Danny,3B,UMBC,UMBC,730210304,UMBC,BBC,R,R,7,4,1,79.6,1.92,0.77,1.15,2.21,3.1
526,1135899136,Z. Munton,Zach Munton,Munton,Zach,C,Butler University,BUT,730283520,Butler,BBC,L,R,7,4,3,77.3,1.97,0.74,1.23,2.75,-0.1
526,1257344000,K. Carston,Koen Carston,Carston,Koen,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,7,5,1,74.7,1.97,0.83,1.12,4.12,1.8
526,1110083328,B. Ries,Benji Ries,Ries,Benji,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,7,5,2,68.9,2.02,0.74,1.27,2.43,2.4
526,1123967744,L. Rios,Lorenzo Rios,Rios,Lorenzo,C,Rice University,RICE,2352,Rice,BBC,R,R,7,7,0,78.2,1.79,0.76,1.03,1.62,3.3
526,1097725952,M. McCommons,Mac McCommons,McCommons,Mac,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,7,6,0,78.3,2.13,0.84,1.22,0.36,4.2
526,1302783489,J. Perez,Jaime Perez,Perez,Jaime,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,7,5,2,78.0,1.83,0.74,1.08,2.80,4.9
526,1100670720,H. Smith,Hank Smith,Smith,Hank,C,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,L,7,7,0,78.2,2.01,0.73,1.28,0.37,3.4
526,1207758080,G. Alveti,Gavin Alveti,Alveti,Gavin,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,7,4,0,78.8,2.13,0.92,1.16,0.29,2.7
526,1302874624,J. Ryan,Jack Ryan,Ryan,Jack,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,7,5,2,74.1,2.06,0.85,1.22,3.21,4.5
526,1085399552,K. Pollack,Kyle Pollack,Pollack,Kyle,C,Marist College,MRST,730374656,Marist,BBC,R,R,7,4,3,81.7,2.02,0.79,1.23,2.99,2.1
526,1121807616,C. Blanchard,Colin Blanchard,Blanchard,Colin,C,University of Washington,WASH,3110,Washington,BBC,L,R,7,3,2,75.5,2.20,0.83,1.34,3.54,0.4
526,1141017344,A. Rivera,Angel Rivera,Rivera,Angel,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,7,4,1,81.2,1.94,0.94,0.97,3.17,2.9
526,1100576256,A. Hanlon,Andrew Hanlon,Hanlon,Andrew,C,Brown University,BRWN,730236160,Brown,BBC,R,R,7,4,1,71.3,1.94,0.70,1.24,-0.34,2.9
526,1188215296,K. Palmeira,Konnor Palmeira,Palmeira,Konnor,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,7,2,3,71.2,2.38,0.92,1.32,5.11,-14.8
526,1956052875,C. Herd,Caleb Herd,Herd,Caleb,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,7,3,1,76.8,1.95,0.67,1.24,0.39,-1.1
526,1188071936,E. Culp,Easton Culp,Culp,Easton,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,7,5,0,74.2,2.10,0.83,1.26,0.89,2.0
526,1896732106,J. McGee,James McGee,McGee,James,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,7,6,0,76.8,1.98,0.77,1.16,1.32,6.9
526,1451114555,E. Taveras,Evan Taveras,Taveras,Evan,C,University of Miami,MIA,236,Miami,BBC,R,R,7,3,1,76.8,2.22,0.91,1.11,4.55,1.7
526,1179475200,C. Kermode,Case Kermode,Kermode,Case,C,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,7,2,0,77.2,2.11,0.85,1.28,1.74,1.3
526,1955934336,C. Smith,Conner Smith,Smith,Conner,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,7,6,0,74.1,1.81,0.70,1.13,2.15,5.1
526,1083731007,J. Lemm,Johnny Lemm,Lemm,Johnny,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,7,3,2,81.5,2.01,0.85,1.14,3.46,3.8
526,1000616073,J. Barnhardt,Joseph Barnhardt,Barnhardt,Joseph,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,7,5,1,76.2,1.85,0.74,1.11,3.86,3.3
526,1342169528,A. Westbrook,Anthony Westbrook,Westbrook,Anthony,C,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,R,7,4,0,78.3,2.10,0.81,1.17,0.85,2.9
526,1759752870,T. Martinez,Trevian Martinez,Martinez,Trevian,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,7,4,1,76.9,1.99,0.71,1.28,1.95,0.8
526,1342168149,L. Banister,Luke Banister,Banister,Luke,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,7,6,1,76.6,1.79,0.71,1.17,2.56,4.6
553,1330949120,M. Kaufer,Max Kaufer,Kaufer,Max,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,6,3,1,81.2,2.05,0.80,1.22,1.42,4.7
553,1279131904,M. Kalk,Max Kalk,Kalk,Max,C,Ball State University,BALL,730195456,Ball State,BBC,L,R,6,2,3,78.6,2.30,1.01,1.27,2.82,5.0
553,1142668800,I. Escobar,Irvin Escobar,Escobar,Irvin,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,6,5,0,72.6,2.12,0.83,1.19,1.82,0.5
553,1198452224,N. Pratt,Nicholas Pratt,Pratt,Nicholas,C,UMBC,UMBC,730210304,UMBC,BBC,R,R,6,4,2,76.9,2.13,0.83,1.30,1.28,0.4
553,1258593024,C. Tallakson,Connor Tallakson,Tallakson,Connor,C,UNLV,UNLV,730161664,UNLV,BBC,R,R,6,2,3,75.0,1.96,0.71,1.25,3.22,-2.3
553,1289243392,H. Christiansen,Hayden Christiansen,Christiansen,Hayden,C,Xavier University,XAV,5464,Xavier,BBC,R,R,6,2,0,75.8,-,0.66,1.32,3.15,3.6
553,1310836224,H. Garner,Hogan Garner,Garner,Hogan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,6,3,0,78.3,1.98,0.72,1.27,0.67,-0.7
553,1304695552,C. Morrison,Cam Morrison,Morrison,Cam,C,Stonehill College,SC,730238464,Stonehill,BBC,R,R,6,3,0,74.6,1.61,0.77,0.86,1.58,4.5
553,1195546880,C. Diggins,Chase Diggins,Diggins,Chase,2B,University of Kansas,KU,730360064,Kansas,BBC,R,R,6,3,3,74.6,2.03,0.77,1.21,2.00,6.6
553,1306752000,C. Phillips,Cayden Phillips,Phillips,Cayden,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,6,3,1,81.6,1.88,0.76,1.13,2.77,3.5
553,1228393728,M. Aranda,Marcus Aranda,Aranda,Marcus,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,6,1,0,77.1,1.90,0.65,1.29,3.02,-1.0
553,1085384448,K. Neri,Kyle Neri,Neri,Kyle,LF,Rider University,RID,730174976,Rider,BBC,R,R,6,2,1,74.7,2.24,0.83,1.20,0.37,-0.0
553,1132574976,T. McElwee,Thomas McElwee,McElwee,Thomas,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,6,4,0,78.3,2.37,0.96,1.29,0.54,1.2
553,1263483392,T. Cotten,Tyler Cotten,Cotten,Tyler,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,6,3,2,78.1,2.01,0.88,1.18,4.87,4.6
553,1235518208,C. McGinnis,Coleman McGinnis,McGinnis,Coleman,C,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,6,2,3,77.5,1.93,0.90,1.02,4.78,5.1
553,1168879616,J. DeMucci,Joey DeMucci,DeMucci,Joey,C,Penn State University,PSU,5326,Penn State,BBC,R,R,6,6,0,81.3,1.99,0.77,1.22,1.73,4.1
553,1131572736,C. Sheehan,Cole Sheehan,Sheehan,Cole,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,S,R,6,3,0,79.1,2.49,1.04,1.28,0.15,-1.4
553,1197247744,N. Libed,Nico Libed,Libed,Nico,LF,University of San Diego,USD,5320,San Diego,BBC,R,R,6,4,0,78.0,2.16,0.83,1.27,-0.21,5.3
553,1341307648,N. Solorzano,Nick Solorzano,Solorzano,Nick,C,Stony Brook University,STON,730249984,Stony Brook,BBC,S,R,6,2,3,77.1,1.98,0.74,1.23,3.29,-0.1
553,1213077248,T. Stack,Tyler Stack,Stack,Tyler,C,Xavier University,XAV,5464,Xavier,BBC,R,R,6,4,1,75.7,2.13,0.86,1.24,2.27,-1.7
553,1135883264,S. Gell,Scott Gell,Gell,Scott,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,6,4,2,77.7,1.82,0.75,1.08,3.97,-0.4
553,1375742682,Z. Becker,Zane Becker,Becker,Zane,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,6,4,1,77.6,2.10,0.91,1.18,2.75,1.7
553,1245095267,S. Bond,Sam Bond,Bond,Sam,C,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,6,2,1,73.1,2.21,0.83,1.36,-0.15,0.7
553,1799127669,K. Kennedy,Karson Kennedy,Kennedy,Karson,C,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,6,5,0,77.4,1.93,0.88,1.04,2.87,1.6
553,1743237802,C. Bowling,Chet Bowling,Bowling,Chet,C,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,6,1,4,75.8,1.95,0.74,1.23,2.60,5.8
553,1342170808,G. Bane,Gray Bane,Bane,Gray,C,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,6,5,1,77.4,2.08,0.76,1.30,1.21,0.3
553,1874971185,E. Wainwright,Eric Wainwright,Wainwright,Eric,C,University of Maine,ME,730275840,Maine,BBC,R,R,6,4,2,77.8,2.07,0.84,1.15,4.91,2.4
553,1342169117,Z. Crandall,Zach Crandall,Crandall,Zach,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,6,5,0,73.3,1.93,0.86,1.10,4.11,0.9
