Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
96,1207804160,S. McGahan,Shea McGahan,McGahan,Shea,C,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,37,24,12,77.8,1.86,0.79,1.06,2.74,2.0
96,1342167803,T. Tyson,Tagger Tyson,Tyson,Tagger,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,37,23,7,75.7,2.02,0.88,1.09,2.30,0.2
106,1162575872,C. Castle,Cortlan Castle,Castle,Cortlan,C,Baylor University,BAY,3033,Baylor,BBC,R,R,36,29,6,77.0,1.97,0.81,1.15,3.32,3.0
106,1262664192,K. Milewski,Kevin Milewsky,Milewski,Kevin,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,36,26,7,78.8,1.91,0.74,1.16,1.83,3.3
106,1324040960,C. ONeal,Connor ONeal,ONeal,Connor,C,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,36,26,4,77.7,1.79,0.73,1.08,1.84,3.3
106,1287364352,W. Neels,Weber Neels,Neels,Weber,C,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,36,18,5,79.0,1.98,0.86,1.06,1.78,4.1
106,1243322112,B. Madliak,Bear Madliak,Madliak,Bear,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,36,23,2,77.6,2.06,0.80,1.25,1.83,1.5
106,1197923072,L. Mock,Logan Mock,Mock,Logan,C,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,36,22,8,71.9,2.10,0.79,1.30,1.75,2.2
106,1018032643,A. Wright,Aydin Wright,Wright,Aydin,C,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,36,26,2,74.4,2.03,0.76,1.27,1.59,4.0
106,1342166625,B. Briggs,Brody Briggs,Briggs,Brody,C,Arizona State University,ASU,5035,Arizona State,BBC,L,R,36,24,11,80.1,2.08,0.87,1.21,3.07,1.1
114,1310653952,J. Wagoner,Jake Wagoner,Wagoner,Jake,C,Seattle University,SEA,4504,Seattle,BBC,R,R,35,24,5,76.1,1.94,0.83,1.11,2.32,2.8
114,1207773440,G. Jay,Grant Jay,Jay,Grant,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,35,22,6,78.7,2.07,0.85,1.19,2.90,4.3
114,1162524416,A. Schuldt,Andrew Schuldt,Schuldt,Andrew,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,35,19,7,73.6,1.94,0.76,1.19,2.93,3.9
114,1100324865,A. Horvath,Andrew Horvath,Horvath,Andrew,C,University of Akron,AKR,540536064,Akron,BBC,R,R,35,21,5,72.6,1.99,0.81,1.16,2.22,2.1
114,1332973312,A. Agresti,Adam Agresti,Agresti,Adam,C,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,35,27,4,76.4,2.13,0.90,1.25,1.78,2.8
114,1850271363,L. Cockrill,LT Cockrill,Cockrill,LT,C,University of Delaware,DEL,730203136,Delaware,BBC,R,R,35,26,5,77.9,1.96,0.85,1.09,3.15,3.0
114,1289668671,L. Hernandez,Luis Hernandez,Hernandez,Luis,C,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,35,27,4,79.3,2.08,0.97,1.12,3.97,1.7
114,1605735467,T. Spainhoward,Trevor Spainhoward,Spainhoward,Trevor,C,California Baptist University,CBU,5091,California Baptist,BBC,R,R,35,21,7,78.7,1.91,0.75,1.15,3.01,3.6
122,1118859776,M. Spear,Matt Spear,Spear,Matt,C,University of Michigan,MICH,2290,Michigan,BBC,L,R,34,23,6,78.8,2.04,0.84,1.16,2.74,2.7
122,1084685312,J. Melendez,Jayden Melendez,Melendez,Jayden,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,34,17,3,76.4,2.02,0.83,1.19,1.99,2.7
122,1143009280,M. Winslow,Macon Winslow,Winslow,Macon,C,Duke University,DUKE,730336256,Duke,BBC,R,R,34,19,7,75.4,2.01,0.77,1.19,3.11,2.3
122,1311965184,B. Roney,Brendan Roney,Roney,Brendan,C,Florida International University,FIU,4468,Florida International,BBC,R,R,34,25,3,74.8,2.01,0.72,1.25,1.82,2.1
122,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,34,24,5,82.5,1.88,0.87,1.02,2.82,2.4
122,1180853248,J. Powell,Joe Powell,Powell,Joe,C,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,34,23,1,79.8,2.04,0.85,1.18,1.24,1.8
122,1297349376,L. Sauve,Logan Sauve,Sauve,Logan,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,34,18,11,75.7,2.06,0.84,1.21,3.13,1.9
