Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,AVG,xAVG,xAVGDf,xOBP,SLG,xSLG,xSLGDf,ISO,xISO,xISODf,wOBA,xWOBA,xWOBADf
420,1195551232,C. Myles,Conor Myles,Myles,Conor,P,UTSA,UTSA,730373120,UTSA,BBC,L,L,17,336,302,.288,.281,.007,.344,.414,.431,-.017,.126,.149,-.023,.337,.330,.006
421,1279310848,L. Stump,Landon Stump,Stump,Landon,P,UCLA,UCLA,5048,UCLA,BBC,R,R,18,344,290,.255,.282,-.026,.387,.410,.456,-.046,.155,.174,-.019,.344,.362,-.018
422,1304813312,A. Rudd,Andrew Rudd,Rudd,Andrew,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,23,278,260,.273,.282,-.009,.315,.423,.447,-.024,.150,.166,-.016,.314,.317,-.004
423,1275960320,F. OBrien,Finbar O'Brien,OBrien,Finbar,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,16,331,279,.269,.282,-.013,.368,.444,.403,.042,.176,.121,.055,.350,.335,.015
424,1218298624,H. Pidek,Hunter Pidek,Pidek,Hunter,P,Oakland University,OAK,5386,Oakland,BBC,R,R,15,362,311,.260,.282,-.021,.370,.450,.500,-.049,.190,.218,-.028,.349,.366,-.017
425,1092635904,C. Cosper,Colton Cosper,Cosper,Colton,P,Mercer University,MER,730240512,Mercer,BBC,L,L,16,362,336,.262,.282,-.020,.317,.378,.401,-.024,.116,.120,-.004,.296,.307,-.010
426,1196329728,A. Perez,Adan Perez,Perez,Adan,P,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,14,332,270,.315,.282,.033,.386,.448,.440,.008,.133,.158,-.025,.380,.355,.025
427,1152901632,C. Keel,Christian Keel,Keel,Christian,P,Brown University,BRWN,730236160,Brown,BBC,R,R,14,266,217,.332,.282,.050,.380,.576,.467,.110,.244,.185,.060,.423,.361,.062
428,1227026689,E. Calder,Ethan Calder,Calder,Ethan,P,Baylor University,BAY,3033,Baylor,BBC,L,L,15,315,284,.264,.282,-.018,.327,.451,.505,-.055,.187,.223,-.037,.326,.345,-.019
429,1099789056,H. Holcombe,Huxley Holcombe,Holcombe,Huxley,P,Cornell University,COR,730298624,Cornell,BBC,L,L,11,274,224,.290,.282,.008,.386,.438,.436,.001,.147,.155,-.007,.368,.358,.009
430,1099147776,R. Riojas,Ruger Riojas,Riojas,Ruger,P,University of Texas,TEX,245,Texas,BBC,R,R,18,300,265,.257,.282,-.025,.359,.434,.477,-.043,.177,.195,-.017,.339,.355,-.016
431,1330098688,M. Negrete,Mikiah Negrete,Negrete,Mikiah,P,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,L,15,366,320,.294,.282,.012,.346,.475,.456,.019,.181,.173,.008,.358,.337,.021
432,1132735744,C. Ingram,Chase Ingram,Ingram,Chase,P,UAB,UAB,730345984,UAB,BBC,R,R,15,266,242,.314,.282,.032,.337,.537,.468,.069,.223,.186,.037,.387,.339,.048
433,1153411840,J. Radel,Jack Radel,Radel,Jack,P,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,13,289,257,.218,.282,-.064,.343,.393,.466,-.073,.175,.184,-.009,.296,.342,-.046
434,1143044608,J. Burcham,Jake Burcham,Burcham,Jake,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,321,280,.325,.282,.043,.358,.471,.409,.062,.146,.127,.020,.379,.331,.047
435,1918576916,H. Bailey,Hayden Bailey,Bailey,Hayden,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,14,266,229,.319,.283,.036,.366,.524,.481,.043,.205,.198,.007,.397,.357,.040
436,1100119040,P. Gubler,Payton Gubler,Gubler,Payton,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,12,264,212,.259,.283,-.024,.420,.406,.440,-.034,.146,.157,-.011,.365,.378,-.013
437,1166183424,M. Morrissey,M.T. Morrissey,Morrissey,M.T.,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,15,370,324,.256,.283,-.027,.356,.389,.467,-.078,.133,.184,-.051,.319,.347,-.028
438,1201255936,T. Conklin,Tyler Conklin,Conklin,Tyler,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,11,268,246,.232,.283,-.051,.332,.354,.472,-.118,.122,.189,-.067,.281,.339,-.057
439,1238131200,J. Gatti,J.J. Gatti,Gatti,J.J.,P,University of Dayton,DAY,730194688,Dayton,BBC,R,R,16,306,250,.272,.283,-.011,.398,.420,.433,-.013,.148,.150,-.002,.360,.360,-.000
440,1142086912,M. Gienger,Murphy Gienger,Gienger,Murphy,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,14,376,325,.311,.283,.027,.353,.505,.477,.028,.194,.193,.001,.378,.350,.029
441,1283339776,E. Gibbons,Evan Gibbons,Gibbons,Evan,P,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,15,380,340,.268,.284,-.016,.346,.412,.442,-.030,.144,.158,-.014,.327,.337,-.010
442,1769907041,B. Loeger,Bryce Loeger,Loeger,Bryce,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,12,229,194,.299,.284,.015,.376,.454,.437,.017,.155,.153,.002,.370,.348,.022
443,1279144448,J. Francis,Jake Francis,Francis,Jake,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,18,293,261,.322,.284,.038,.351,.556,.476,.080,.234,.192,.042,.404,.349,.055
444,1317943808,R. Ramos,Rigo Ramos,Ramos,Rigo,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,L,15,288,240,.271,.284,-.013,.395,.463,.508,-.046,.192,.224,-.033,.372,.385,-.013
445,1162060288,T. Hansen,Trevor Hansen,Hansen,Trevor,P,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,16,402,356,.244,.284,-.040,.351,.368,.421,-.053,.124,.137,-.013,.303,.332,-.028
446,1225968640,B. Moore,Ben Moore,Moore,Ben,P,Old Dominion University,ODU,3090,Old Dominion,BBC,L,L,16,309,253,.292,.284,.008,.385,.419,.428,-.009,.126,.144,-.018,.361,.352,.009
447,1281584640,D. Gonzalez,Daniel Gonzalez,Gonzalez,Daniel,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,13,241,205,.220,.284,-.065,.380,.390,.506,-.116,.171,.222,-.051,.317,.374,-.057
448,1302032384,J. Weaver,Jacob Weaver,Weaver,Jacob,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,15,312,268,.261,.284,-.023,.372,.384,.420,-.036,.123,.136,-.013,.329,.343,-.014
449,1162026752,Z. Adams,Zane Adams,Adams,Zane,P,University of Alabama,ALA,730206976,Alabama,BBC,L,L,15,293,265,.287,.284,.002,.347,.472,.460,.012,.185,.176,.009,.356,.342,.014
450,1571813435,C. Templeton,Cody Templeton,Templeton,Cody,P,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,L,13,385,357,.289,.284,.004,.319,.364,.347,.017,.076,.062,.013,.304,.288,.015
451,1313524992,E. Marmie,Ethan Marmie,Marmie,Ethan,P,Cal Poly,CP,5487,Cal Poly,BBC,R,R,16,319,266,.278,.284,-.006,.389,.383,.433,-.050,.105,.149,-.044,.350,.360,-.010
452,1134423040,T. Helmick,Tristan Helmick,Helmick,Tristan,P,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,12,240,199,.307,.284,.022,.385,.442,.398,.044,.136,.113,.022,.373,.343,.030
453,1090996736,J. Guardado,Jakob Guardado,Guardado,Jakob,TWP,University of the Pacific,PAC,730386944,Pacific,BBC,L,R,17,266,230,.287,.285,.002,.362,.539,.470,.069,.252,.185,.067,.386,.352,.034
454,1179985408,R. Walton,Ryker Walton,Walton,Ryker,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,15,283,234,.295,.285,.010,.394,.500,.442,.058,.205,.157,.048,.393,.366,.027
455,1128523264,C. Wylde,Connor Wylde,Wylde,Connor,P,New Mexico State University,NMSU,730302720,New Mexico State,BBC,L,L,16,292,253,.304,.285,.019,.364,.506,.474,.032,.202,.189,.013,.381,.354,.027
