Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,AVG,xAVG,xAVGDf,xOBP,SLG,xSLG,xSLGDf,ISO,xISO,xISODf,wOBA,xWOBA,xWOBADf
1,1058739885,L. Pearson,Lane Pearson,Pearson,Lane,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,360,318,.255,.153,.101,.237,.371,.266,.105,.116,.112,.004,.312,.219,.093
2,1342170423,N. Varnier,Nathaniel Varnier,Varnier,Nathaniel,P,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,13,323,253,.273,.155,.118,.321,.423,.233,.190,.150,.078,.072,.375,.270,.105
3,1084516352,C. Kelly,Carson Kelly,Kelly,Carson,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,L,26,310,243,.280,.160,.120,.313,.395,.188,.207,.115,.029,.087,.363,.248,.116
4,1281129472,C. Martindale,Cam Martindale,Martindale,Cam,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,15,255,216,.333,.167,.166,.281,.468,.270,.197,.134,.103,.031,.392,.253,.139
5,1085416704,L. Doyle,Liam Doyle,Doyle,Liam,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,L,19,385,342,.184,.169,.016,.259,.307,.291,.016,.123,.122,.001,.261,.242,.018
6,1340724736,R. Rivera,Reagan Rivera,Rivera,Reagan,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,15,369,311,.235,.181,.054,.296,.331,.255,.076,.096,.074,.022,.307,.255,.052
7,1094204160,A. Jean,Antoine Jean,Jean,Antoine,P,University of Houston,HOU,3030,Houston,BBC,R,L,21,266,239,.167,.183,-.015,.254,.243,.285,-.042,.075,.102,-.027,.222,.237,-.016
8,1188014592,T. Pauley,Truman Pauley,Pauley,Truman,P,Harvard University,HARV,5450,Harvard,BBC,R,R,14,315,246,.171,.183,-.013,.349,.297,.308,-.011,.126,.124,.002,.300,.304,-.004
9,1254299136,J. Flora,Jackson Flora,Flora,Jackson,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,13,309,277,.209,.192,.018,.259,.329,.309,.020,.119,.117,.002,.268,.247,.020
10,1428410894,S. Dudley,Seth Dudley,Dudley,Seth,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,317,277,.274,.193,.081,.270,.408,.399,.009,.134,.206,-.072,.329,.283,.047
11,1342169627,R. Piech,Ryan Piech,Piech,Ryan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,14,270,209,.182,.194,-.012,.358,.301,.336,-.035,.120,.142,-.023,.306,.314,-.008
12,1180787200,A. Roblez,Albert Roblez,Roblez,Albert,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,19,243,202,.168,.197,-.028,.321,.297,.349,-.052,.129,.153,-.024,.272,.295,-.024
13,1239087872,T. Bremner,Tyler Bremner,Bremner,Tyler,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,14,310,279,.219,.198,.021,.263,.323,.304,.018,.104,.106,-.003,.269,.247,.022
14,1142669377,J. Murray,Jake Murray,Murray,Jake,P,Campbell University,CAMP,730187776,Campbell,BBC,L,L,15,284,228,.219,.200,.019,.342,.377,.351,.026,.158,.150,.008,.332,.312,.021
15,1907374041,J. Nichols,James Nichols,Nichols,James,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,13,283,243,.280,.201,.079,.308,.498,.402,.096,.218,.201,.017,.378,.303,.075
16,1162317568,K. Johnson,Keegan Johnson,Johnson,Keegan,P,Ball State University,BALL,730195456,Ball State,BBC,L,L,14,317,261,.226,.203,.023,.336,.406,.263,.143,.180,.060,.120,.340,.282,.059
17,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,200,183,.197,.203,-.006,.262,.344,.360,-.016,.148,.157,-.009,.263,.264,-.001
18,1204042240,H. Elliott,Hunter Elliott,Elliott,Hunter,P,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,17,361,299,.197,.203,-.006,.326,.291,.304,-.013,.094,.101,-.007,.286,.286,-.001
19,1279379456,I. Magdaleno,Isaiah Magdaleno,Magdaleno,Isaiah,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,24,242,224,.205,.204,.002,.249,.335,.337,-.002,.129,.133,-.004,.252,.242,.010
20,1264174592,E. Elliott,Eric Elliott,Elliott,Eric,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,18,322,260,.204,.205,-.001,.347,.254,.361,-.107,.050,.156,-.106,.289,.315,-.026
21,1342168677,C. Scolari,Cal Scolari,Scolari,Cal,P,University of San Diego,USD,5320,San Diego,BBC,R,R,15,306,251,.215,.206,.010,.340,.299,.311,-.012,.084,.106,-.022,.303,.297,.006
22,1100603904,T. Beard,Trey Beard,Beard,Trey,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,L,16,350,307,.199,.206,-.007,.285,.293,.311,-.018,.094,.105,-.011,.259,.262,-.003
23,1162233600,C. Obermueller,Cade Obermueller,Obermueller,Cade,P,University of Iowa,IOWA,1232,Iowa,BBC,L,L,15,356,299,.207,.206,.001,.315,.314,.296,.018,.107,.090,.017,.290,.277,.012
24,1110844672,M. Bucknam,Micah Bucknam,Bucknam,Micah,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,13,272,230,.235,.207,.028,.313,.365,.311,.054,.130,.104,.027,.316,.280,.036
25,1436932267,C. White,Carter White,White,Carter,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,L,19,249,205,.205,.207,-.002,.317,.298,.242,.056,.093,.035,.058,.283,.264,.019
26,1204946432,P. Forbes,Patrick Forbes,Forbes,Patrick,P,University of Louisville,LOU,5467,Louisville,BBC,R,R,15,319,270,.219,.207,.011,.317,.344,.346,-.001,.126,.139,-.013,.304,.294,.010
27,1260237537,J. Ohman,Jack Ohman,Ohman,Jack,P,Yale University,YALE,730334464,Yale,BBC,L,R,12,288,258,.174,.208,-.033,.280,.256,.328,-.072,.081,.120,-.038,.233,.264,-.031
28,1192860928,J. Phipps,Jackson Phipps,Phipps,Jackson,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,L,15,326,266,.177,.208,-.031,.341,.241,.284,-.044,.064,.076,-.012,.268,.290,-.022
29,1281260544,P. Havard,Peyton Havard,Havard,Peyton,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,22,261,240,.217,.208,.008,.257,.313,.271,.041,.096,.063,.033,.255,.232,.023
30,1128102459,D. Whitney,Dax Whitney,Whitney,Dax,P,Oregon State University,ORST,3111,Oregon State,BBC,R,R,17,330,282,.216,.209,.008,.322,.326,.350,-.023,.110,.141,-.031,.300,.298,.002
31,1311169792,D. Hickson,Davion Hickson,Hickson,Davion,P,Rice University,RICE,2352,Rice,BBC,R,R,13,325,268,.220,.211,.009,.334,.332,.306,.026,.112,.094,.017,.310,.292,.017
32,1236991744,K. Anderson,Kade Anderson,Anderson,Kade,P,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,19,481,432,.211,.211,-.001,.276,.356,.353,.004,.146,.141,.005,.278,.271,.008
33,1911067757,J. Savinon,Jordan Savinon,Savinon,Jordan,P,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,L,L,18,278,228,.237,.211,.025,.333,.390,.396,-.006,.154,.185,-.031,.332,.317,.015
34,1236990464,D. Reid,Dominick Reid,Reid,Dominick,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,15,362,323,.220,.212,.008,.290,.359,.333,.026,.139,.121,.018,.292,.273,.019
35,1152945664,A. Eyanson,Anthony Eyanson,Eyanson,Anthony,P,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,20,448,403,.218,.212,.006,.284,.320,.326,-.006,.102,.114,-.012,.273,.266,.008
36,1246857984,B. Jacobs,Ben Jacobs,Jacobs,Ben,P,Arizona State University,ASU,5035,Arizona State,BBC,L,L,16,368,308,.231,.213,.017,.328,.393,.366,.026,.162,.153,.009,.327,.306,.021
37,1099378432,B. Gillespie,Blake Gillespie,Gillespie,Blake,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,S,R,15,385,358,.193,.214,-.021,.261,.313,.350,-.037,.120,.136,-.016,.244,.261,-.017
38,1116320256,A. Sachais,Alec Sachais,Sachais,Alec,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,21,232,198,.237,.215,.023,.292,.394,.387,.007,.157,.173,-.016,.304,.284,.020
39,1275958784,E. Hoffberg,Erik Hoffberg,Hoffberg,Erik,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,23,242,196,.230,.216,.014,.348,.423,.375,.048,.194,.160,.034,.343,.315,.028
40,1204043008,P. Kohn,Pico Kohn,Kohn,Pico,P,Mississippi State University,MSST,5080,Mississippi State,BBC,L,L,15,350,304,.227,.217,.010,.302,.441,.387,.054,.214,.170,.044,.325,.296,.029
41,1239129600,D. Thompson,Danny Thompson,Thompson,Danny,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,23,264,231,.234,.217,.017,.306,.329,.315,.014,.095,.098,-.003,.294,.276,.018
42,1139726080,C. Book,Colton Book,Book,Colton,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,L,14,349,318,.208,.217,-.010,.281,.374,.434,-.060,.167,.217,-.050,.284,.304,-.021
43,1623538787,C. Burke,Clayton Burke,Burke,Clayton,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,17,311,263,.259,.218,.041,.323,.452,.364,.088,.194,.146,.047,.355,.301,.054
44,1156597504,B. Stuprich,Brennan Stuprich,Stuprich,Brennan,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,14,367,324,.210,.218,-.008,.290,.336,.350,-.014,.127,.132,-.006,.275,.276,-.001
45,1176066304,J. Middleton,JB Middleton,Middleton,JB,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,16,415,374,.174,.220,-.046,.287,.278,.338,-.059,.104,.118,-.014,.237,.272,-.034
46,1909941695,O. Pudvar,Oliver Pudvar,Pudvar,Oliver,P,University of Connecticut,CONN,5486,Connecticut,BBC,L,L,14,302,259,.236,.220,.016,.321,.363,.344,.019,.127,.124,.004,.314,.295,.018
47,1564722927,A. Sparks,Alec Sparks,Sparks,Alec,P,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,12,305,269,.219,.220,-.001,.299,.320,.324,-.004,.100,.103,-.003,.279,.275,.004
48,1153707520,M. McEwen,Max McEwen,McEwen,Max,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,13,268,224,.223,.220,.003,.338,.317,.319,-.002,.094,.099,-.005,.303,.296,.007
49,1064527734,B. Grasser,Brad Grasser,Grasser,Brad,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,267,219,.260,.220,.040,.353,.425,.379,.045,.164,.159,.005,.361,.322,.038
50,1929502555,A. King,Aidan King,King,Aidan,P,University of Florida,FLA,730168320,Florida,BBC,L,R,17,304,272,.213,.220,-.007,.289,.283,.348,-.065,.070,.127,-.057,.254,.272,-.018
51,1101382656,J. Miller,Jay Miller,Miller,Jay,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,11,256,223,.247,.221,.025,.301,.430,.408,.023,.184,.187,-.003,.329,.303,.027
52,1296189440,T. Hartley,Tyler Hartley,Hartley,Tyler,P,Marist College,MRST,730374656,Marist,BBC,R,R,14,287,237,.274,.221,.053,.344,.418,.406,.011,.143,.185,-.041,.359,.327,.032
53,1326983680,K. Echeman,Kaden Echeman,Echeman,Kaden,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,12,244,206,.218,.222,-.003,.335,.403,.439,-.036,.184,.218,-.033,.327,.333,-.006
54,1279324160,J. Ellwanger,James Ellwanger,Ellwanger,James,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,16,288,231,.247,.222,.024,.363,.312,.313,-.001,.065,.091,-.026,.325,.310,.015
55,1335271936,E. Norby,Ethan Norby,Norby,Ethan,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,L,18,368,339,.215,.222,-.007,.280,.366,.358,.008,.150,.136,.015,.281,.274,.007
56,1802268698,E. Sanchez,Edwin Sanchez,Sanchez,Edwin,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,17,355,313,.249,.222,.027,.301,.310,.330,-.020,.061,.107,-.047,.289,.277,.011
57,1204808114,R. Lynch,Ryan Lynch,Lynch,Ryan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,27,265,228,.193,.223,-.030,.322,.268,.323,-.056,.075,.101,-.026,.264,.289,-.025
58,1490865642,K. Dove,Kamar Dove,Dove,Kamar,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,16,272,215,.298,.223,.075,.365,.437,.294,.143,.140,.072,.068,.385,.304,.081
59,1258983680,M. Bayles,Max Bayles,Bayles,Max,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,15,299,259,.232,.223,.009,.321,.347,.323,.025,.116,.100,.016,.306,.289,.017
60,1144599808,J. Goble,Jake Goble,Goble,Jake,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,14,229,201,.254,.223,.031,.282,.363,.286,.077,.109,.063,.047,.295,.249,.047
61,1309474816,C. Leys,Caleb Leys,Leys,Caleb,P,University of Maine,ME,730275840,Maine,BBC,R,L,14,279,244,.230,.223,.006,.300,.270,.338,-.068,.041,.115,-.074,.265,.276,-.012
62,1002961029,R. Ritter,Riane Ritter,Ritter,Riane,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,284,245,.241,.224,.017,.320,.327,.283,.043,.086,.059,.026,.301,.275,.027
63,1192664576,R. DeSanto,Ryan DeSanto,DeSanto,Ryan,P,Penn State University,PSU,5326,Penn State,BBC,L,L,15,313,258,.202,.224,-.022,.345,.345,.381,-.036,.143,.157,-.014,.306,.320,-.014
64,1226682112,Z. Taylor,Zane Taylor,Taylor,Zane,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,365,342,.181,.224,-.043,.260,.275,.360,-.085,.094,.136,-.042,.219,.262,-.043
65,1287322880,R. Fox,Rory Fox,Fox,Rory,P,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,14,280,235,.187,.225,-.038,.335,.277,.322,-.045,.089,.097,-.008,.271,.296,-.025
66,1310892288,J. Woolfolk,Jay Woolfolk,Woolfolk,Jay,P,University of Virginia,UVA,5415,Virginia,BBC,R,R,13,279,243,.259,.226,.034,.298,.379,.378,.000,.119,.152,-.033,.311,.288,.023
67,1199765504,C. Christenson,Charlie Christenson,Christenson,Charlie,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,16,371,326,.310,.226,.084,.308,.454,.359,.095,.144,.133,.011,.368,.290,.078
68,1318951936,B. Cleaver,Ben Cleaver,Cleaver,Ben,P,University of Kentucky,UK,5362,Kentucky,BBC,L,L,15,337,292,.185,.227,-.042,.317,.253,.356,-.102,.068,.129,-.061,.247,.293,-.046
69,1155642112,N. Deschryver,Nate Deschryver,Deschryver,Nathan,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,16,282,214,.187,.227,-.040,.394,.322,.446,-.124,.136,.219,-.084,.321,.365,-.044
70,1266982912,C. Lane,Carson Lane,Lane,Carson,P,UNLV,UNLV,730161664,UNLV,BBC,R,R,15,347,297,.239,.227,.012,.323,.357,.380,-.023,.118,.153,-.035,.310,.305,.005
71,1489292894,V. Borghese,Vincent Borghese,Borghese,Vincent,P,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,15,395,356,.270,.227,.042,.287,.399,.415,-.016,.129,.188,-.058,.317,.297,.020
72,1196851200,Z. Root,Zach Root,Root,Zach,P,University of Arkansas,ARK,3375,Arkansas,BBC,L,L,19,420,373,.220,.228,-.008,.309,.335,.351,-.016,.115,.123,-.008,.286,.290,-.004
73,1092369664,A. Morin,Alistair Morin,Morin,Alistair,P,Siena College,SIE,730382592,Siena,BBC,R,R,15,383,310,.242,.228,.013,.354,.335,.334,.002,.094,.105,-.012,.322,.308,.014
74,1312932352,C. New,Cody New,New,Cody,P,California Baptist University,CBU,5091,California Baptist,BBC,L,L,16,346,300,.217,.229,-.012,.322,.323,.359,-.035,.107,.130,-.023,.288,.299,-.010
75,1238202112,K. Witherspoon,Kyson Witherspoon,Witherspoon,Kyson,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,16,390,351,.208,.229,-.021,.292,.342,.362,-.020,.134,.133,.001,.272,.282,-.010
76,1100716032,C. Marshburn,Connor Marshburn,Marshburn,Connor,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,322,270,.196,.229,-.033,.344,.256,.312,-.057,.059,.083,-.024,.272,.299,-.027
77,1297538560,S. Lopez,Sergio Lopez,Lopez,Sergio,P,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,15,223,192,.219,.230,-.011,.313,.359,.335,.025,.141,.105,.035,.294,.283,.010
78,1132957952,C. Olivier,Chris Olivier,Olivier,Chris,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,294,258,.236,.230,.007,.315,.345,.323,.022,.109,.093,.016,.299,.285,.015
79,1093159424,B. Curley,Brian Curley,Curley,Brian,P,University of Georgia,UGA,226,Georgia,BBC,R,R,17,271,235,.179,.230,-.051,.328,.319,.399,-.080,.140,.169,-.029,.274,.313,-.039
80,1085390592,D. Brown,Dylan Brown,Brown,Dylan,P,Old Dominion University,ODU,3090,Old Dominion,BBC,R,L,15,358,314,.242,.230,.012,.313,.369,.370,-.001,.127,.140,-.013,.310,.299,.011
81,1105311232,B. Bendik,Brady Bendik,Bendik,Brady,P,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,13,318,274,.226,.230,-.004,.310,.314,.348,-.034,.088,.117,-.030,.280,.287,-.007
82,1760692530,A. Kribbs,Andrew Kribbs,Kribbs,Andrew,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,16,285,242,.260,.231,.029,.338,.355,.324,.031,.095,.093,.002,.327,.299,.028
83,1162245632,J. Arnold,Jamie Arnold,Arnold,Jamie,P,Florida State University,FSU,101,Florida State,BBC,L,L,15,351,303,.208,.231,-.023,.322,.340,.369,-.029,.132,.138,-.006,.289,.303,-.014
84,1483661805,J. Bazala,Jacob Bazala,Bazala,Jacob,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,20,351,308,.263,.231,.032,.305,.396,.293,.103,.133,.062,.071,.321,.266,.055
85,1310416128,L. Finley,Leighton Finley,Finley,Leighton,P,University of Georgia,UGA,226,Georgia,BBC,R,R,16,302,259,.216,.231,-.015,.327,.405,.381,.024,.189,.150,.039,.318,.308,.010
86,1404806932,E. Young,Ethan Young,Young,Ethan,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,23,303,255,.224,.231,-.008,.322,.365,.367,-.002,.141,.136,.005,.302,.299,.002
87,1162110976,C. Mayfield,Carson Mayfield,Mayfield,Carson,P,Cornell University,COR,730298624,Cornell,BBC,R,R,11,265,215,.191,.231,-.041,.356,.326,.363,-.038,.135,.132,.003,.298,.321,-.023
88,1885727262,M. Vallone,Michael Vallone,Vallone,Michael,P,Purdue University,PUR,730353152,Purdue,BBC,L,L,21,254,219,.224,.232,-.008,.323,.333,.354,-.021,.110,.123,-.013,.293,.297,-.004
89,1228796416,N. McCay,Nic McCay,McCay,Nic,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,15,316,261,.203,.232,-.029,.351,.375,.393,-.017,.172,.161,.011,.314,.324,-.010
90,1238148096,C. Flukey,Cameron Flukey,Flukey,Cameron,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,18,414,373,.209,.232,-.023,.296,.324,.363,-.039,.115,.132,-.016,.267,.283,-.016
91,1195612672,B. Pruett,Brad Pruett,Pruett,Brad,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,28,285,241,.224,.232,-.008,.338,.311,.345,-.034,.087,.113,-.026,.295,.304,-.009
92,1709079320,E. Kleinschmit,Ethan Kleinschmit,Kleinschmit,Ethan,P,Oregon State University,ORST,3111,Oregon State,BBC,L,L,17,376,325,.194,.232,-.038,.323,.332,.397,-.065,.138,.165,-.027,.280,.310,-.030
93,1739007204,B. Weber,Ben Weber,Weber,Ben,P,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,17,347,293,.232,.232,-.000,.336,.341,.335,.006,.109,.103,.006,.307,.300,.008
94,1279325440,G. Gaeckle,Gabe Gaeckle,Gaeckle,Gabe,P,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,19,308,268,.235,.232,.003,.322,.362,.366,-.004,.127,.134,-.007,.306,.300,.006
95,1326021632,Z. Garcia,Zach Garcia,Garcia,Zach,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,14,391,350,.257,.233,.024,.288,.380,.323,.057,.123,.090,.032,.304,.265,.039
96,1097588224,J. Dzierwa,Joseph Dzierwa,Dzierwa,Joseph,P,Michigan State University,MSU,1551,Michigan State,BBC,L,L,15,372,339,.201,.233,-.032,.288,.286,.359,-.073,.086,.126,-.041,.244,.277,-.033
97,1319265024,E. Bates,Ethan Bates,Bates,Ethan,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,L,20,249,225,.302,.233,.069,.301,.502,.359,.143,.200,.126,.074,.375,.281,.094
98,1286103552,C. Williams,Cody Williams,Williams,Cody,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,30,284,243,.251,.233,.018,.326,.379,.317,.062,.128,.084,.044,.319,.284,.035
99,1169302528,G. Grinsell,Grayson Grinsell,Grinsell,Grayson,P,University of Oregon,ORE,4807,Oregon,BBC,L,L,16,393,352,.205,.233,-.029,.301,.341,.385,-.044,.136,.151,-.015,.273,.293,-.019
100,1158279680,B. Frederick,Brady Frederick,Frederick,Brady,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,24,305,273,.183,.233,-.050,.302,.326,.376,-.050,.143,.142,.001,.259,.291,-.032
101,1203581952,C. Gilley,Cole Gilley,Gilley,Cole,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,18,289,261,.211,.234,-.023,.299,.333,.382,-.048,.123,.148,-.025,.272,.293,-.021
102,1185097984,C. Braun,Corey Braun,Braun,Corey,P,University of South Florida,USF,2292,South Florida,BBC,L,L,16,402,362,.229,.234,-.005,.289,.354,.342,.012,.124,.108,.017,.280,.271,.009
103,1150276096,C. Richter,Chase Richter,Richter,Chase,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,L,L,28,228,197,.198,.234,-.036,.329,.305,.361,-.056,.107,.127,-.020,.273,.301,-.028
104,1110024960,C. Bowker,Cody Bowker,Bowker,Cody,P,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,16,313,275,.222,.234,-.012,.325,.429,.444,-.015,.207,.209,-.002,.326,.327,-.002
105,1146369280,Z. Longshore,Zach Longshore,Longshore,Zach,P,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,17,303,257,.292,.234,.057,.332,.405,.321,.084,.113,.087,.026,.350,.293,.057
106,1950260205,M. Diforte,Michael Diforte,Diforte,Michael,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,289,233,.283,.235,.048,.375,.481,.310,.171,.197,.075,.123,.394,.317,.078
107,1102896128,J. Gonzalez,Jonathan Gonzalez,Gonzalez,Jonathan,P,Stetson University,STET,730261504,Stetson,BBC,L,L,15,373,339,.204,.235,-.031,.291,.251,.331,-.080,.047,.096,-.049,.234,.272,-.037
108,1153452544,J. Logar,Jackson Logar,Logar,Jackson,P,James Madison University,JMU,730340096,James Madison,BBC,R,R,15,336,254,.197,.235,-.038,.397,.280,.339,-.060,.083,.104,-.021,.311,.337,-.027
109,1311844864,C. Edmondson,Clay Edmondson,Edmondson,Clay,P,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,13,348,294,.218,.236,-.019,.340,.299,.318,-.018,.082,.081,.000,.288,.297,-.010
110,1181533440,J. Lamkin,Justin Lamkin,Lamkin,Justin,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,L,15,350,315,.235,.237,-.002,.297,.375,.390,-.015,.140,.153,-.013,.294,.293,.001
111,1157400064,D. Mathiesen,Dylan Mathiesen,Mathiesen,Dylan,P,Liberty University,LIB,730156288,Liberty,BBC,R,R,17,295,253,.245,.237,.008,.337,.395,.404,-.009,.150,.167,-.017,.329,.321,.007
112,1257398016,R. Bilka,Ryan Bilka,Bilka,Ryan,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,18,243,223,.193,.237,-.044,.294,.260,.317,-.057,.067,.079,-.012,.232,.267,-.035
113,1255285248,J. Phillips,Jacob Phillips,Phillips,Jacob,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,L,L,18,268,224,.232,.238,-.006,.343,.379,.407,-.027,.147,.169,-.022,.320,.323,-.003
114,1132673280,G. Adler,Grant Adler,Adler,Grant,P,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,15,364,317,.274,.238,.036,.328,.451,.412,.040,.177,.173,.003,.355,.319,.036
115,1150347776,C. Allen,Colby Allen,Allen,Colby,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,29,276,248,.214,.238,-.025,.297,.351,.392,-.041,.137,.154,-.017,.274,.292,-.018
116,1106733824,C. Roberts,Cole Roberts,Roberts,Cole,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,13,297,261,.234,.238,-.005,.313,.421,.448,-.026,.188,.210,-.022,.319,.321,-.002
117,1172966144,P. Hampton,Parker Hampton,Hampton,Parker,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,283,232,.332,.239,.093,.353,.444,.356,.088,.112,.118,-.006,.387,.313,.074
118,1190323968,B. Blair,Ben Blair,Blair,Ben,P,Liberty University,LIB,730156288,Liberty,BBC,R,R,15,364,323,.235,.239,-.004,.314,.350,.368,-.018,.115,.129,-.015,.295,.297,-.002
119,1643908365,A. Phillips,Amp Phillips,Phillips,Amp,P,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,20,340,297,.212,.239,-.027,.323,.357,.393,-.036,.145,.154,-.009,.292,.309,-.016
120,1196854016,A. Knaak,Aidan Knaak,Knaak,Aidan,P,Clemson University,CLEM,730358784,Clemson,BBC,R,R,16,383,332,.214,.240,-.026,.316,.337,.405,-.068,.123,.165,-.042,.281,.307,-.026
121,1142126848,R. Ojeda,Ricky Ojeda,Ojeda,Ricky,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,29,279,233,.210,.240,-.030,.349,.343,.413,-.069,.133,.172,-.039,.303,.330,-.028
122,1580729364,T. Valincius,Tomas Valincius,Valincius,Tomas,P,University of Virginia,UVA,5415,Virginia,BBC,L,L,13,275,250,.256,.241,.015,.301,.376,.343,.033,.120,.102,.018,.305,.280,.026
123,1271444225,R. Hunsaker,Riely Hunsaker,Hunsaker,Riely,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,320,293,.246,.241,.004,.293,.352,.362,-.010,.106,.121,-.015,.287,.282,.005
124,1311044608,M. Riggins,Miller Riggins,Riggins,Miller,P,Samford University,SAM,730386432,Samford,BBC,L,L,15,354,295,.214,.241,-.028,.356,.393,.396,-.003,.180,.154,.025,.322,.328,-.006
