Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
301,1332852737,D. Revis,Dustin Revis,Revis,Dustin,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,15,354,1296,49.2%,34.9%,27.8%,37.4%,48.0%,52.0%,26.1%,22.8%,51.2%,37.0%,63.0%
302,1227026689,E. Calder,Ethan Calder,Calder,Ethan,P,Baylor University,BAY,3033,Baylor,BBC,L,L,15,315,1178,49.1%,25.8%,29.2%,45.0%,39.1%,60.9%,23.2%,22.7%,54.2%,33.3%,66.7%
303,1257398016,R. Bilka,Ryan Bilka,Bilka,Ryan,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,18,243,801,49.1%,20.4%,27.5%,52.0%,32.4%,67.6%,26.0%,26.2%,47.8%,38.7%,61.3%
304,1156597504,B. Stuprich,Brennan Stuprich,Stuprich,Brennan,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,14,367,1355,49.1%,35.7%,27.7%,36.6%,49.5%,50.5%,19.5%,25.5%,55.0%,30.6%,69.4%
305,1154111488,C. Peguero,Chris Peguero,Peguero,Chris,P,University of Dayton,DAY,730194688,Dayton,BBC,R,R,15,390,1382,49.1%,33.8%,28.8%,37.4%,48.8%,51.2%,25.0%,23.2%,51.8%,35.5%,64.5%
306,1275226481,J. Bauer,Jackson Bauer,Bauer,Jackson,P,Hofstra University,HOF,730245120,Hofstra,BBC,L,L,17,339,1277,49.1%,38.7%,28.3%,32.9%,53.2%,46.8%,29.2%,25.7%,45.1%,42.4%,57.6%
307,1153411840,J. Radel,Jack Radel,Radel,Jack,P,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,13,289,1090,49.1%,37.9%,27.2%,34.9%,51.2%,48.8%,24.7%,26.4%,48.9%,37.3%,62.7%
308,1911168487,W. Paxton,Will Paxton,Paxton,Will,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,281,883,49.1%,27.0%,28.9%,44.1%,40.8%,59.2%,26.5%,22.7%,50.9%,37.2%,62.8%
309,1084209920,R. Reed,Ryan Reed,Reed,Ryan,P,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,L,14,327,1255,49.1%,36.2%,33.4%,30.4%,52.4%,47.6%,23.5%,21.9%,54.6%,33.7%,66.3%
310,1136957440,W. Perkins,Wilson Perkins,Perkins,Wilson,P,Davidson College,DAV,730363136,Davidson,BBC,R,R,15,385,1370,49.1%,28.8%,31.4%,39.8%,44.3%,55.7%,28.7%,24.7%,46.6%,40.4%,59.6%
311,1929502555,A. King,Aidan King,King,Aidan,P,University of Florida,FLA,730168320,Florida,BBC,L,R,17,304,1188,49.0%,22.2%,28.7%,49.1%,36.5%,63.5%,26.7%,25.4%,47.8%,37.2%,62.8%
312,1885727262,M. Vallone,Michael Vallone,Vallone,Michael,P,Purdue University,PUR,730353152,Purdue,BBC,L,L,21,254,927,49.0%,31.6%,33.6%,34.8%,46.6%,53.4%,24.8%,25.0%,50.2%,35.6%,64.4%
313,1239155712,D. Schueler,Dillon Schueler,Schueler,Dillon,P,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,15,382,1446,49.0%,26.2%,30.0%,43.8%,41.2%,58.8%,25.9%,27.3%,46.8%,38.2%,61.8%
314,1330098688,M. Negrete,Mikiah Negrete,Negrete,Mikiah,P,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,L,15,366,1330,49.0%,28.5%,28.0%,43.5%,41.5%,58.5%,23.2%,24.3%,52.5%,33.9%,66.1%
315,1310907904,M. Quevedo,Michael Quevedo,Quevedo,Michael,P,Kansas State University,KSU,730270464,Kansas State,BBC,L,L,15,301,1176,49.0%,35.3%,27.5%,37.1%,49.1%,50.9%,27.2%,26.8%,46.0%,39.2%,60.8%
316,1207806720,L. Fladda,Luc Fladda,Fladda,Luc,P,Tulane University,TULN,730354176,Tulane,BBC,L,L,15,346,1214,49.0%,21.2%,35.5%,43.3%,38.2%,61.8%,21.5%,22.2%,56.3%,31.8%,68.2%
317,1018912519,K. Ishikawa,Kenny Ishikawa,Ishikawa,Kenny,TWP,Seattle University,SEA,4504,Seattle,BBC,L,L,19,303,1104,49.0%,32.1%,25.4%,42.5%,44.9%,55.1%,25.3%,28.9%,45.8%,38.1%,61.9%
318,1195482112,M. Jones,Merit Jones,Jones,Merit,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,15,371,1349,48.9%,28.9%,26.8%,44.4%,41.0%,59.0%,29.2%,28.0%,42.8%,43.8%,56.2%
319,1246582016,D. Voegele,Dominic Voegele,Voegele,Dominic,P,University of Kansas,KU,730360064,Kansas,BBC,R,R,16,418,1583,48.9%,32.3%,27.5%,40.1%,46.9%,53.1%,23.8%,23.7%,52.6%,35.3%,64.7%
320,1257443072,B. Renfrow,Brett Renfrow,Renfrow,Brett,P,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,15,332,1265,48.9%,33.0%,26.2%,40.8%,44.7%,55.3%,26.5%,25.1%,48.4%,37.8%,62.2%
