Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,IP,BF,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
286,1310907904,M. Quevedo,Michael Quevedo,Quevedo,Michael,P,Kansas State University,KSU,730270464,Kansas State,BBC,L,L,15,63.2,301,1176,3.11,101.8%,0.39,-0.31,13,8
287,1383375719,B. Shea,Bryson Shea,Shea,Bryson,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,17,54.1,237,853,3.09,108.9%,0.38,0.54,1,1
288,1190356736,T. Horn,Ty Horn,Horn,Ty,P,University of Nebraska,NEB,4865,Nebraska,BBC,L,R,18,85.2,370,1465,3.08,101.3%,0.30,0.17,19,16
289,1181533440,J. Lamkin,Justin Lamkin,Lamkin,Justin,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,L,15,84.1,350,1346,3.01,101.4%,0.36,0.47,13,12
290,1434544801,V. Loa,Victor Loa,Loa,Victor,P,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,L,14,56.0,248,994,2.99,114.2%,0.38,0.33,2,2
291,1660995022,N. Schutte,Nic Schutte,Schutte,Nic,P,Murray State University,MURR,730188032,Murray State,BBC,R,R,18,96.0,435,1671,2.99,102.3%,0.33,-0.03,8,5
292,1281884928,B. Gaskey,Blake Gaskey,Gaskey,Blake,P,Ohio University,OHIO,730298368,Ohio,BBC,L,R,14,72.2,348,1195,2.92,104.6%,0.36,0.56,4,2
293,1207928320,J. DeCaro,Jason DeCaro,DeCaro,Jason,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,16,83.1,356,1379,2.85,101.4%,0.36,1.25,13,9
294,1311176448,J. Ruzicka,Joe Ruzicka,Ruzicka,Joe,P,Belmont University,BEL,730190336,Belmont,BBC,R,R,15,81.0,345,1375,2.76,101.6%,0.36,-0.47,16,7
295,1432381131,B. Lobell,Blake Lobell,Lobell,Blake,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,13,64.2,284,999,2.74,102.2%,0.30,-0.56,13,13
296,1142086912,M. Gienger,Murphy Gienger,Gienger,Murphy,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,14,79.1,376,1298,2.68,104.0%,0.34,0.10,10,4
297,1911067757,J. Savinon,Jordan Savinon,Savinon,Jordan,P,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,L,L,18,60.2,278,936,2.65,110.9%,0.34,0.67,6,3
298,1231134895,B. Roberson,Brooks Roberson,Roberson,Brooks,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,16,71.2,317,1165,2.57,101.4%,0.36,-0.01,13,11
299,1262862080,C. Morgan,Chase Morgan,Morgan,Chase,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,13,61.1,270,1066,2.57,101.6%,0.33,0.57,8,11
300,1307648256,J. Cebert,Jack Cebert,Cebert,Jack,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,19,60.0,268,1037,2.55,101.7%,0.35,0.39,10,5
301,1132957952,C. Olivier,Chris Olivier,Olivier,Chris,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,66.1,294,1046,2.53,101.8%,0.35,0.37,10,6
302,1158279680,B. Frederick,Brady Frederick,Frederick,Brady,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,24,77.2,305,1147,2.53,101.4%,0.32,0.20,11,10
303,1120472520,J. Romero,Jorge Romero,Romero,Jorge,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,19,54.0,243,718,2.48,107.2%,0.29,0.00,4,0
304,1202694400,J. Martinez,Jack Martinez,Martinez,Jack,P,Arizona State University,ASU,5035,Arizona State,BBC,R,R,15,77.1,341,1423,2.47,101.0%,0.33,-0.20,17,8
305,1003021622,H. Hayashi,Heitaro Hayashi,Hayashi,Heitaro,P,Wagner College,WAG,730192640,Wagner,BBC,L,L,16,56.0,242,736,2.46,125.8%,0.29,0.39,3,1
306,1139728640,B. Holland,Brendan Holland,Holland,Brendan,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,L,14,72.1,331,1219,2.44,104.3%,0.31,0.20,4,2
307,1162067200,E. Sargent,Eddie Sargent,Sargent,Eddie,P,UMBC,UMBC,730210304,UMBC,BBC,L,L,13,56.1,257,852,2.42,102.7%,0.31,1.06,12,5
308,1286570752,J. Kartsonas,Jack Kartsonas,Kartsonas,Jack,P,West Virginia University,WVU,5327,West Virginia,BBC,R,R,20,66.1,285,1126,2.42,101.3%,0.33,1.98,12,15
309,1371725069,M. Tripure,Max Tripure,Tripure,Max,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,14,72.1,332,1118,2.38,104.7%,0.30,0.05,5,3
310,1162317568,K. Johnson,Keegan Johnson,Johnson,Keegan,P,Ball State University,BALL,730195456,Ball State,BBC,L,L,14,70.2,317,1289,2.29,102.4%,0.29,0.36,5,3
311,1084516352,C. Kelly,Carson Kelly,Kelly,Carson,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,L,26,66.1,310,802,2.29,108.0%,0.29,0.51,3,0
312,1062087691,W. Walton,Wade Walton,Walton,Wade,P,High Point University,HP,730321152,High Point,BBC,R,R,15,83.1,365,1426,2.26,100.9%,0.33,0.23,15,11
313,1334328832,J. Hartlaub,Jacob Hartlaub,Hartlaub,Jacob,P,Ball State University,BALL,730195456,Ball State,BBC,R,R,15,81.1,358,1347,2.25,102.5%,0.34,0.69,5,4
314,1207489536,C. Monke,Carter Monke,Monke,Carter,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,17,58.2,271,864,2.24,101.6%,0.26,1.05,13,9
315,1802268698,E. Sanchez,Edwin Sanchez,Sanchez,Edwin,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,17,82.2,355,1359,2.24,112.6%,0.28,0.42,2,1
316,1238148096,C. Flukey,Cameron Flukey,Flukey,Cameron,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,18,101.2,414,1520,2.22,100.7%,0.28,0.04,15,13
317,1521413935,C. Linn,Conner Linn,Linn,Conner,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,15,61.1,301,1073,2.22,104.6%,0.28,0.44,5,1
318,1196833025,R. O'Connor,Robbie O'Connor,O'Connor,Robbie,P,University of Massachusetts,MASS,5451,UMass,BBC,R,R,14,67.2,338,1204,2.21,102.7%,0.26,0.09,5,4
319,1100119040,P. Gubler,Payton Gubler,Gubler,Payton,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,12,55.2,264,963,2.19,101.8%,0.32,-0.26,16,6
320,1208166656,L. Harrison,Luke Harrison,Harrison,Luke,P,University of Texas,TEX,245,Texas,BBC,L,L,15,70.2,315,1151,2.17,100.9%,0.28,-0.32,14,14
321,1273200896,M. Simpson,Max Simpson,Simpson,Max,P,Towson University,TOWS,730318336,Towson,BBC,R,R,17,67.0,305,1080,2.12,101.5%,0.30,0.06,11,8
322,1263800064,J. Volmerding,Josh Volmerding,Volmerding,Josh,P,Cal Poly,CP,5487,Cal Poly,BBC,L,L,17,83.2,393,1481,2.11,100.9%,0.26,0.25,7,9
323,1795608420,T. Carey,Tate Carey,Carey,Tate,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,18,57.0,241,898,2.09,101.5%,0.25,0.75,13,6
324,1334326016,W. Retz,Walker Retz,Retz,Walker,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,69.1,307,1160,2.03,104.2%,0.23,0.08,6,8
325,1505725733,R. Gaber,Reese Gaber,Gaber,Reese,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,14,53.2,256,978,2.02,102.3%,0.26,0.49,9,7
326,1244431523,T. Kapa,Tyler Kapa,Kapa,Tyler,P,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,17,66.0,323,1321,2.02,101.6%,0.23,-0.59,7,8
327,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,14,54.2,322,839,2.01,120.1%,0.25,0.27,2,0
328,1338119552,D. Thomas,Daniel Thomas,Thomas,Daniel,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,16,61.1,300,967,2.00,105.4%,0.26,-0.19,4,4
329,1094165504,A. Pingeton,Anthony Pingeton,Pingeton,Anthony,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,15,70.0,311,1208,1.94,101.8%,0.20,0.63,6,3
330,1281129472,C. Martindale,Cam Martindale,Martindale,Cam,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,15,51.0,255,761,1.93,116.0%,0.22,0.17,0,0
331,1207792896,W. Ross,Will Ross,Ross,Will,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,15,66.1,292,999,1.89,106.7%,0.23,0.30,2,0
332,1185097984,C. Braun,Corey Braun,Braun,Corey,P,University of South Florida,USF,2292,South Florida,BBC,L,L,16,97.0,402,1505,1.89,100.9%,0.24,0.53,13,16
333,1056444835,M. Smith,Mason Smith,Smith,Mason,P,Campbell University,CAMP,730187776,Campbell,BBC,R,R,14,61.0,286,1050,1.88,101.4%,0.19,0.49,5,5
334,1342170423,N. Varnier,Nathaniel Varnier,Varnier,Nathaniel,P,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,13,65.0,323,878,1.86,108.4%,0.24,-0.05,2,3
335,1162573312,A. Payamps,Andrelys Payamps,Payamps,Andrelys,P,Iona College,IONA,730242048,Iona,BBC,R,R,12,63.1,275,1012,1.85,122.7%,0.23,0.12,1,0
336,1100142592,E. Blakeney,Ethan Blakeney,Blakeney,Ethan,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,49.0,258,677,1.82,113.8%,0.21,0.12,1,0
337,1340724736,R. Rivera,Reagan Rivera,Rivera,Reagan,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,15,80.2,369,1388,1.81,104.2%,0.22,-0.38,3,1
338,1100603904,T. Beard,Trey Beard,Beard,Trey,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,L,16,86.0,350,1429,1.81,101.8%,0.24,1.62,7,4
339,1107750912,C. Cross,Caleb Cross,Cross,Caleb,P,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,14,77.1,347,1279,1.80,100.8%,0.16,0.67,21,25
340,1210149120,S. Pinson,Smith Pinson,Pinson,Smith,P,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,22,64.0,276,1074,1.79,101.0%,0.28,-0.15,10,11
341,1769907041,B. Loeger,Bryce Loeger,Loeger,Bryce,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,12,47.2,229,844,1.67,101.7%,0.17,-0.74,7,5
342,1296173568,J. Kelley,Jack Kelley,Kelley,Jack,P,University of Akron,AKR,540536064,Akron,BBC,R,R,12,55.2,248,926,1.61,101.7%,0.18,0.45,6,6
343,1002961029,R. Ritter,Riane Ritter,Ritter,Riane,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,64.0,284,1102,1.56,102.2%,0.20,-0.20,6,8
344,1279505152,A. Petraitis,AJ Petraitis,Petraitis,AJ,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,14,74.0,347,1060,1.55,104.9%,0.21,0.74,6,3
345,1220061620,C. Hendry,Clay Hendry,Hendry,Clay,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,18,59.2,254,959,1.52,103.0%,0.20,-0.29,4,4
346,1336116224,J. Cunningham,Josh Cunningham,Cunningham,Josh,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,16,68.1,293,998,1.50,101.4%,0.18,0.12,9,7
347,1100074752,D. James,David James,James,David,P,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,13,50.0,245,891,1.49,102.8%,0.17,0.13,4,2
348,1251300352,I. Takemoto,Itsuki Takemoto,Takemoto,Itsuki,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,15,67.1,315,1099,1.47,103.9%,0.19,-0.14,4,3
349,1692575936,L. Glidewell,Lyndon Glidewell,Glidewell,Lyndon,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,14,77.2,338,1237,1.45,100.9%,0.21,-0.39,16,10
350,1804936858,M. Blasche,Mason Blasche,Blasche,Mason,P,Samford University,SAM,730386432,Samford,BBC,R,R,16,72.1,300,1099,1.41,101.0%,0.17,0.64,6,4
351,1180787200,A. Roblez,Albert Roblez,Roblez,Albert,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,19,58.1,243,980,1.34,101.4%,0.20,-0.66,11,6
352,1310612992,B. Little,Branton Little,Little,Branton,P,Wofford College,WOF,730176512,Wofford,BBC,R,R,16,67.1,322,1109,1.33,100.8%,0.17,-0.35,11,6
353,1184457216,S. Dutton,Samuel Dutton,Dutton,Samuel,P,Auburn University,AUB,5466,Auburn,BBC,L,R,16,85.2,354,1373,1.28,100.5%,0.17,0.81,17,16
354,1286103552,C. Williams,Cody Williams,Williams,Cody,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,30,63.1,284,740,1.28,105.6%,0.15,0.28,0,0
355,1330492928,R. Long,Richard Long,Long,Richard,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,15,93.2,375,1346,1.25,101.8%,0.14,-0.12,4,4
356,1299957248,J. Ackerman,Jess Ackerman,Ackerman,Jess,P,Mercer University,MER,730240512,Mercer,BBC,L,L,18,70.1,315,1270,1.21,100.6%,0.16,-0.02,13,8
357,1115370173,H. Bell,Hunter Bell,Bell,Hunter,P,Stonehill College,SC,730238464,Stonehill,BBC,L,L,13,56.2,270,860,1.21,115.6%,0.15,0.35,1,0
358,1286473472,H. Alexander,Hunter Alexander,Alexander,Hunter,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,20,65.2,314,1233,1.13,103.1%,0.15,-0.02,3,2
359,1449071722,C. Walls,Cooper Walls,Walls,Cooper,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,15,60.1,267,943,1.13,102.2%,0.13,0.63,4,4
360,1207768064,B. Mikos,Brandon Mikos,Mikos,Brandon,P,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,14,58.0,271,1023,1.11,101.2%,0.17,0.72,13,8
361,1276142592,B. Alekson,Ben Alekson,Alekson,Ben,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,16,94.1,393,1390,1.10,101.6%,0.11,0.66,9,4
362,1186273280,L. Bravo,Leonardo Bravo,Bravo,Leonardo,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,24,71.2,326,1014,1.09,118.4%,0.13,0.18,0,0
363,1310946560,C. Benson,Chandler Benson,Benson,Chandler,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,20,63.1,276,953,1.03,100.9%,0.12,-0.29,6,2
364,1319265024,E. Bates,Ethan Bates,Bates,Ethan,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,L,20,54.2,249,588,0.98,106.5%,0.12,0.10,0,0
365,1196801792,G. Hugus,Griffin Hugus,Hugus,Griffin,P,University of Miami,MIA,236,Miami,BBC,L,R,17,93.0,400,1552,0.97,100.4%,0.11,-0.23,12,10
366,1790363222,D. Story,Dylan Story,Story,Dylan,P,High Point University,HP,730321152,High Point,BBC,R,R,15,75.2,366,1403,0.92,100.5%,0.11,-2.03,15,10
367,1092369664,A. Morin,Alistair Morin,Morin,Alistair,P,Siena College,SIE,730382592,Siena,BBC,R,R,15,83.0,383,1341,0.86,102.1%,0.12,0.63,2,3
368,1182295552,J. Faulkner,Jacob Faulkner,Faulkner,Jacob,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,67.1,301,990,0.78,100.5%,0.05,1.06,21,17
369,1114455808,J. Toporek,Jake Toporek,Toporek,Jake,P,Wagner College,WAG,730192640,Wagner,BBC,S,L,15,87.2,359,1063,0.64,105.1%,0.08,0.09,1,2
370,1144599808,J. Goble,Jake Goble,Goble,Jake,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,14,53.2,229,826,0.62,101.5%,0.08,-0.03,2,0
371,1187057664,T. Scavone,Tommy Scavone,Scavone,Tommy,P,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,12,57.0,251,955,0.61,100.4%,0.05,-0.96,12,8
372,1303346688,A. Solis,Anthony Solis,Solis,Anthony,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,15,66.0,297,1038,0.58,100.8%,0.08,-0.80,9,11
373,1481247285,R. Borberg,Ryan Borberg,Borberg,Ryan,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,16,80.0,342,1234,0.58,100.3%,0.11,-0.73,9,12
374,1228796416,N. McCay,Nic McCay,McCay,Nic,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,15,72.0,316,1237,0.56,100.3%,0.09,-0.67,5,8
375,1428256371,D. Fischer,Dillon Fischer,Fischer,Dillon,P,Fort Wayne,PFW,730231552,Fort Wayne,BBC,R,R,17,85.0,397,1549,0.53,100.8%,0.07,-1.06,10,10
376,1310134016,N. Luckett,Nick Luckett,Luckett,Nick,P,Southern University,SOU,4767,Southern,BBC,R,R,15,92.2,425,1340,0.51,105.4%,0.06,0.01,0,0
377,1172425216,O. Kelly,Owen Kelly,Kelly,Owen,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,15,80.0,356,1233,0.51,100.4%,0.14,-0.89,6,4
378,1286256640,G. Rumary,Garvey Rumary,Rumary,Garvey,P,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,16,60.2,304,1191,0.51,100.3%,0.06,0.36,12,9
379,1202396160,M. Gosztola,Miles Gosztola,Gosztola,Miles,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,L,16,77.1,368,1360,0.51,100.3%,0.07,0.32,17,12
380,1536897735,B. Treichel,Bryson Treichel,Treichel,Bryson,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,15,61.2,288,1018,0.48,101.7%,0.05,0.10,2,1
381,1334314752,A. Brouwer,Adam Brouwer,Brouwer,Adam,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,13,68.1,310,1111,0.42,100.3%,0.01,0.99,13,10
382,1217850368,W. Jones,Will Jones,Jones,Will,P,Northeastern University,NE,343,Northeastern,BBC,L,L,15,72.0,290,1142,0.39,100.3%,0.04,-0.47,7,7
383,1248451072,W. Taylor,William Taylor,Taylor,William,P,Marist College,MRST,730374656,Marist,BBC,R,L,15,77.2,329,1172,0.36,101.1%,0.05,0.31,3,3
384,1296189440,T. Hartley,Tyler Hartley,Hartley,Tyler,P,Marist College,MRST,730374656,Marist,BBC,R,R,14,60.1,287,1070,0.33,100.7%,0.04,-0.11,0,5
385,1191087360,M. Alduino,Matt Alduino,Alduino,Matt,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,L,20,58.2,284,1004,0.32,100.9%,0.05,-0.10,5,5
386,1897229556,G. Thompson,Gavin Thompson,Thompson,Gavin,P,Bradley University,BRAD,730253312,Bradley,BBC,R,R,18,56.0,281,965,0.32,100.3%,0.03,0.22,13,13
387,1263546112,K. Braziel,Kewan Braziel,Braziel,Kewan,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,18,64.0,306,852,0.30,100.6%,0.05,0.20,2,1
388,1428410894,S. Dudley,Seth Dudley,Dudley,Seth,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,71.2,317,1152,0.28,102.4%,0.04,0.13,3,2
389,1276589824,M. Adams,Matthew Adams,Adams,Matthew,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,18,79.1,341,1297,0.26,100.1%,0.01,0.76,7,8
390,1483661805,J. Bazala,Jacob Bazala,Bazala,Jacob,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,20,81.1,351,1185,0.22,100.7%,0.02,-0.06,1,2
391,1150347776,C. Allen,Colby Allen,Allen,Colby,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,29,67.0,276,1009,0.21,100.1%,0.09,-0.20,8,7
392,1195514368,J. Cline,Jack Cline,Cline,Jack,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,17,83.2,372,1368,0.20,100.3%,-0.00,0.64,7,3
393,1294886144,J. Ritz,Justin Ritz,Ritz,Justin,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,27,57.0,244,836,0.17,100.6%,0.05,0.10,1,2
394,1175789044,B. Romero,Braeden Romero,Romero,Braeden,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,51.0,228,767,0.16,100.3%,0.02,-0.54,4,4
395,1172966144,P. Hampton,Parker Hampton,Hampton,Parker,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,54.1,283,700,0.11,101.0%,0.03,-0.00,0,2
396,1984231284,A. Kelly,Aiden Kelly,Kelly,Aiden,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,14,70.2,346,1255,0.06,100.2%,-0.01,0.25,3,1
397,1226973184,N. Vidmar,Nathan Vidmar,Vidmar,Nathan,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,12,57.2,323,901,0.00,-,-0.00,-0.00,0,0
397,1330578944,E. Del Valle,Eddie Del Valle,Del Valle,Eddie,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,L,12,52.2,289,1014,0.00,-,-0.00,-0.00,0,0
397,1162029824,J. Snipes,James Snipes,Snipes,James,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,15,41.0,216,461,0.00,-,-0.00,-0.00,0,0
397,1299763712,B. Eftink,Brayden Eftink,Eftink,Brayden,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,L,R,12,45.2,230,533,0.00,-,-0.00,-0.00,0,0
397,1128813223,L. Darnell,Logan Darnell,Darnell,Logan,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,17,57.1,276,601,0.00,-,-0.00,-0.00,0,0
402,1489292894,V. Borghese,Vincent Borghese,Borghese,Vincent,P,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,15,89.2,395,1154,-0.03,99.7%,-0.01,-0.02,1,0
403,1296180224,L. Schmidt,Logan Schmidt,Schmidt,Logan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,19,67.2,298,1135,-0.10,99.9%,-0.02,-2.91,13,15
404,1162110976,C. Mayfield,Carson Mayfield,Mayfield,Carson,P,Cornell University,COR,730298624,Cornell,BBC,R,R,11,61.1,265,1032,-0.11,99.9%,0.01,-0.53,8,8
405,1085401856,C. Byers,Carson Byers,Byers,Carson,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,23,76.0,320,1167,-0.14,99.9%,-0.00,0.72,11,9
406,1907374041,J. Nichols,James Nichols,Nichols,James,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,13,59.0,283,792,-0.15,99.3%,-0.04,-0.74,3,3
407,1311844864,C. Edmondson,Clay Edmondson,Edmondson,Clay,P,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,13,81.2,348,1357,-0.18,99.8%,0.02,-1.11,9,7
408,1738764358,L. Mack,Landon Mack,Mack,Landon,P,Rutgers University,RUTG,730229248,Rutgers,BBC,S,R,15,80.1,340,1223,-0.23,99.9%,-0.05,0.90,10,9
409,1692745387,N. Harris,Nate Harris,Harris,Nate,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,13,59.1,261,971,-0.24,99.8%,-0.02,-0.58,8,8
410,1297348096,K. McCoy,Kyle McCoy,McCoy,Kyle,P,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,L,14,84.0,366,1316,-0.32,99.8%,-0.03,-0.98,14,10
411,1238278144,R. Bassinger,Reese Bassinger,Bassinger,Reese,P,West Virginia University,WVU,5327,West Virginia,BBC,R,R,30,61.2,269,985,-0.33,99.8%,0.00,-0.25,8,12
412,1490865642,K. Dove,Kamar Dove,Dove,Kamar,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,16,53.1,272,778,-0.39,94.8%,-0.04,-0.12,1,0
413,1815927257,L. Corcoran,Luke Corcoran,Corcoran,Luke,P,Coppin State University,COPP,730194176,Coppin State,BBC,L,L,15,52.1,277,853,-0.39,98.5%,-0.05,0.17,3,2
414,1196854016,A. Knaak,Aidan Knaak,Knaak,Aidan,P,Clemson University,CLEM,730358784,Clemson,BBC,R,R,16,90.1,383,1492,-0.45,99.8%,0.00,-1.10,16,13
415,1277834240,K. Opanel,Kevin Opanel,Opanel,Kevin,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,14,59.1,267,904,-0.49,99.6%,-0.05,0.04,9,5
416,1136957440,W. Perkins,Wilson Perkins,Perkins,Wilson,P,Davidson College,DAV,730363136,Davidson,BBC,R,R,15,83.0,385,1370,-0.49,99.8%,-0.05,-0.59,17,23
417,1119214592,J. Elizondo,Jackson Elizondo,Elizondo,Jackson,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,L,10,53.0,250,916,-0.50,98.5%,-0.06,-0.20,1,1
418,1683462800,C. McClendon,Calvin McClendon,McClendon,Calvin,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,16,72.1,332,985,-0.52,98.5%,-0.06,0.06,1,2
419,1146369280,Z. Longshore,Zach Longshore,Longshore,Zach,P,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,17,65.0,303,1088,-0.53,99.6%,-0.06,-0.39,11,10
420,1328140800,L. Knight,Logan Knight,Knight,Logan,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,15,83.1,370,1339,-0.54,99.4%,-0.05,-0.89,8,8
421,1505049816,J. Sitton,Jacob Sitton,Sitton,Jacob,P,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,15,77.0,359,1282,-0.63,97.9%,-0.05,-0.12,3,3
422,1064527734,B. Grasser,Brad Grasser,Grasser,Brad,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,54.2,267,861,-0.66,98.4%,-0.08,-0.50,5,3
423,1239591168,T. Kapraun,Tyler Kapraun,Kapraun,Tyler,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,L,15,80.0,350,1123,-0.69,99.2%,-0.08,0.32,8,8
424,1126303232,T. Evans,Tate Evans,Evans,Tate,P,Yale University,YALE,730334464,Yale,BBC,R,R,22,48.0,210,829,-0.72,99.3%,-0.12,0.06,7,11
425,1084690944,Z. Wager,Zach Wager,Wager,Zach,P,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,L,17,63.2,299,995,-0.77,94.4%,-0.10,-0.00,0,0
426,1125104128,G. Garcia Jr.,Guillermo Garcia Jr.,Garcia Jr.,Guillermo,P,Longwood University,LONG,730219264,Longwood,BBC,R,R,13,71.1,333,1281,-0.78,99.6%,-0.10,1.08,5,14
427,1226691328,J. Halford,Jacob Halford,Halford,Jacob,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,23,54.0,258,917,-0.80,99.0%,-0.08,-0.32,7,7
428,1230206464,J. Rizzo,John Rizzo,Rizzo,John,P,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,13,57.2,261,897,-0.86,98.5%,-0.14,-0.09,3,0
