Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,G,GS,W,L,QS,SV,IP,H,ER,R,ER/G,R/G,BB,K,HR,ERA,FIP,WHIP,K/9,BB/9,K/BB,HR/9,IP/G
2862,1310847488,E. Appelwick,Evan Appelwick,Appelwick,Evan,1B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1336609280,T. Schuyler,TJ Schuyler,Schuyler,TJ,C,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1108465664,A. Massie,Aaron Massie,Massie,Aaron,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,571,22,0,4,1,0,4,32.0,28,26,27,1.18,1.23,21,27,3,7.31,5.24,1.53,7.59,5.91,1.29,0.84,1.1
2862,1296188416,J. Zuger,Jordan Zuger,Zuger,Jordan,P,Belmont University,BEL,730190336,Belmont,BBC,R,R,104,3,0,1,0,0,0,4.2,4,2,4,0.67,1.33,4,4,1,3.86,7.46,1.71,7.71,7.71,1.00,1.93,1.2
2862,1167172608,T. Townsend,Tommy Townsend,Townsend,Tommy,LF,Butler University,BUT,730283520,Butler,BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1167202048,D. Ayers,David Ayers,Ayers,David,CF,Butler University,BUT,730283520,Butler,BBC,L,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1202716160,A. Hatcher,Aidan Hatcher,Hatcher,Aidan,P,Butler University,BUT,730283520,Butler,BBC,R,R,341,14,0,0,1,0,0,15.2,31,31,31,2.21,2.21,13,4,7,17.81,12.11,2.81,2.30,7.47,0.31,4.02,1.0
2862,1284014592,C. Finnigan,Christian Finnigan,Finnigan,Christian,P,Butler University,BUT,730283520,Butler,BBC,R,R,252,11,0,1,0,0,0,9.2,20,21,23,1.91,2.09,16,6,6,19.55,17.14,3.72,5.59,14.90,0.38,5.59,1.0
2862,1331602944,G. Pancratz,Gabriel Pancratz,Pancratz,Gabriel,P,Butler University,BUT,730283520,Butler,BBC,R,R,143,8,0,1,1,0,0,5.2,8,13,15,1.63,1.88,10,7,0,20.65,8.65,3.18,11.12,15.88,0.70,0.00,0.2
2862,1162316032,M. DiMartini,Michael DiMartini,DiMartini,Michael,CF,University of Dayton,DAY,730194688,Dayton,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1196808193,J. Lordi,James Lordi,Lordi,James,P,University of Central Florida,UCF,730256640,Central Florida,BBC,L,L,67,4,0,0,0,0,0,3.0,3,1,1,0.25,0.25,1,3,0,3.00,4.18,1.33,9.00,3.00,3.00,0.00,0.2
