Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,1B%,x1B%,2B%,x2B%,3B%,x3B%,HR%,xHR%,XBH%,xXBH%
,1660736217,T. Kim,Theo Kim,Kim,Theo,2B,UC Irvine,UCI,3031,UC Irvine,BBC,S,R,0,0,-,-,-,-,-,-,-,-,-,-
,1810679902,S. Miller,Shane Miller,Miller,Shane,2B,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1881775536,R. Castro,Ryan Castro,Castro,Ryan,SS,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1083994185,J. Witmener,Jack Witmener,Witmener,Jack,LF,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1202289847,T. Presnell,Tyler Presnell,Presnell,Tyler,2B,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1992502916,A. Dominguez,Adrian Dominguez,Dominguez,Adrian,1B,University of New Orleans,UNO,5380,New Orleans,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1067010784,K. Hartmann,Kyle Hartmann,Hartmann,Kyle,C,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1337386372,J. Swaney,Jack Swaney,Swaney,Jack,1B,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,L,0,0,-,-,-,-,-,-,-,-,-,-
,1342168182,M. Melancon,Matt Melancon,Melancon,Matt,RF,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1726700911,J. House,Jalen House,House,Jalen,CF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,L,0,0,-,-,-,-,-,-,-,-,-,-
,1835124967,C. Jenkins,Carter Jenkins,Jenkins,Carter,3B,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1916665703,N. Sandee,Nolan Sandee,Sandee,Nolan,SS,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1151026784,A. Mendes,Alex Mendes,Mendes,Alex,RF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1171089134,J. Israel,Jayden Israel,Israel,Jayden,SS,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342170651,B. Rudisill,Bryce Rudisill,Rudisill,Bryce,1B,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
