Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,SB2,CS2,CSBA2Throws,CSBA2ThrowsOnTrgt,CSBA2ThrowsOffTrgt,CSBA2ThrowSpd,PopTimeSBA2,CSBA2ExchTime,CSBA2TimeToBase,CSBA2ThrowHeight,CSBA2ThrowDownLineDist
128,1207762688,G. Smiley,Graham Smiley,Smiley,Graham,C,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,10,4,11,6,3,81.6,1.86,0.72,1.18,2.59,4.5
128,1198516992,B. Shevey,Boone Shevey,Shevey,Boone,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,S,R,10,6,6,3,0,82.4,2.00,0.76,1.24,1.43,-0.1
128,1116118528,M. Gonzalez,Matt Gonzalez,Gonzalez,Matt,C,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,10,2,3,2,0,77.5,2.10,0.99,1.09,3.45,1.6
128,1092700416,L. Godsey,Landon Godsey,Godsey,Landon,1B,Belmont University,BEL,730190336,Belmont,BBC,R,R,10,4,6,4,1,75.2,2.10,0.76,1.34,1.53,0.1
128,1131301120,H. Duffield,Hayden Duffield,Duffield,Hayden,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,10,1,7,5,1,74.5,2.09,0.82,1.30,2.73,0.3
128,1183060992,C. Knight,Christian Knight,Knight,Christian,C,Wagner College,WAG,730192640,Wagner,BBC,S,R,10,2,1,0,0,79.4,-,0.77,-,-,-
128,1150232320,H. Driggs,Hayden Driggs,Driggs,Hayden,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,10,1,9,5,0,75.0,2.16,0.82,1.35,1.66,2.4
128,1297496320,L. Lavin,Luke Lavin,Lavin,Luke,C,Stanford University,STAN,730251264,Stanford,BBC,L,R,10,0,7,1,4,79.8,2.13,0.83,1.28,2.25,8.5
128,1331048448,G. Johnson,Gunnar Johnson,Johnson,Gunnar,C,Boston College,BC,227,Boston College,BBC,R,R,10,2,5,0,2,78.2,2.07,0.72,1.34,3.75,9.7
128,1514774576,B. Sullivan,Billy Sullivan,Sullivan,Billy,C,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,10,6,4,3,1,81.8,1.91,0.69,1.22,3.93,2.1
128,1035363112,S. Fontenot,Seth Fontenot,Fontenot,Seth,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,10,4,6,4,1,76.9,2.11,0.81,1.27,2.75,3.8
128,1736480121,W. Johannes,Will Johannes,Johannes,Will,C,University of Illinois,ILL,730163456,Illinois,BBC,R,R,10,1,6,1,2,81.9,1.91,0.80,1.11,5.23,1.2
