Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,SBOpp,SBA,SB,CS,SB%,SB2Opp,SBA2,SB2,CS2,SB2%,SB3Opp,SBA3,SB3,CS3,SB3%,SBAH,SBH,CSH
22,1100719616,D. Bucciero,Daniel Bucciero,Bucciero,Daniel,3B,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,96,40,35,5,87.5%,58,25,23,2,92.0%,38,11,8,3,72.7%,0,0,0
22,1094749952,T. Keels,Tre Keels,Keels,Tre,CF,Longwood University,LONG,730219264,Longwood,BBC,R,R,51,73,36,35,1,97.2%,50,18,17,1,94.4%,23,15,15,0,100.0%,1,1,0
22,1218556160,J. Radcliffe,Jacoby Radcliffe,Radcliffe,Jacoby,CF,Southern University,SOU,4767,Southern,BBC,L,R,45,67,38,35,3,92.1%,46,21,18,3,85.7%,21,7,7,0,100.0%,3,3,0
25,1245930752,A. Alicea,Alex Alicea,Alicea,Alex,SS,University of Louisville,LOU,5467,Louisville,BBC,S,R,61,139,40,34,6,85.0%,82,29,24,5,82.8%,57,8,7,1,87.5%,0,0,0
25,1279706880,T. Shaneyfelt,Tyler Shaneyfelt,Shaneyfelt,Tyler,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,55,146,35,34,1,97.1%,97,27,27,0,100.0%,49,5,5,0,100.0%,2,1,1
25,1173758464,T. Rutledge,Trey Rutledge,Rutledge,Trey,CF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,41,114,37,34,3,91.9%,61,24,23,1,95.8%,53,11,9,2,81.8%,1,1,0
28,1162352384,C. Barr,Chris Barr,Barr,Chris,LF,Army West Point,ARMY,4744,Army,BBC,S,R,50,89,35,33,2,94.3%,58,29,27,2,93.1%,31,3,3,0,100.0%,0,0,0
28,1303483649,C. Egrie,CJ Egrie,Egrie,CJ,RF,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,55,134,42,33,9,78.6%,87,25,18,7,72.0%,47,12,11,1,91.7%,2,1,1
28,1529112206,J. Legrande,Jon Legrande,Legrande,Jon,LF,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,52,97,40,33,7,82.5%,69,33,26,7,78.8%,28,6,6,0,100.0%,0,0,0
31,1184595712,J. Tharnish,Jayce Tharnish,Tharnish,Jayce,CF,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,46,105,33,32,1,97.0%,65,25,24,1,96.0%,40,4,4,0,100.0%,1,1,0
31,1311156224,I. Barkett,Isaiah Barkett,Barkett,Isaiah,3B,Stetson University,STET,730261504,Stetson,BBC,R,R,54,145,37,32,5,86.5%,100,30,26,4,86.7%,45,4,3,1,75.0%,1,1,0
31,1296546560,D. Palmer,Dylan Palmer,Palmer,Dylan,3B,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,53,140,36,32,4,88.9%,77,24,21,3,87.5%,63,4,3,1,75.0%,1,1,0
34,1260772353,Z. Rose,Zion Rose,Rose,Zion,LF,University of Louisville,LOU,5467,Louisville,BBC,R,R,66,103,34,31,3,91.2%,66,25,23,2,92.0%,37,4,3,1,75.0%,0,0,0
34,1132722944,T. Rumsey,Ty Rumsey,Rumsey,Ty,CF,University of Evansville,EVAN,730327808,Evansville,BBC,L,R,54,118,35,31,4,88.6%,72,27,24,3,88.9%,46,7,6,1,85.7%,0,0,0
34,1243623168,A. Ungar,Alex Ungar,Ungar,Alex,RF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,48,103,34,31,3,91.2%,57,23,22,1,95.7%,46,7,5,2,71.4%,1,1,0
34,1190789888,J. Pipercic,Jacob Pipercic,Pipercic,Jacob,RF,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,49,97,33,31,2,93.9%,56,19,18,1,94.7%,41,10,9,1,90.0%,1,1,0
34,1582802158,T. Broussard,Tre Broussard,Broussard,Tre,CF,University of Houston,HOU,3030,Houston,BBC,L,L,54,95,35,31,4,88.6%,57,26,22,4,84.6%,38,5,5,0,100.0%,0,0,0
34,1314586953,S. McCulloch,Sean McCulloch,McCulloch,Sean,LF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,55,158,40,31,9,77.5%,99,27,22,5,81.5%,59,9,5,4,55.6%,0,0,0
40,1287367168,R. Weingartner,Ryan Weingartner,Weingartner,Ryan,SS,Penn State University,PSU,5326,Penn State,BBC,R,R,56,135,33,30,3,90.9%,75,25,22,3,88.0%,60,4,4,0,100.0%,0,0,0
40,1099412224,T. Recchio,Tanner Recchio,Recchio,Tanner,2B,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,48,115,33,30,3,90.9%,68,24,21,3,87.5%,47,3,3,0,100.0%,0,0,0
40,1161481670,T. Kirk,Taylor Kirk,Kirk,Taylor,2B,Fordham University,FOR,730324992,Fordham,BBC,R,R,57,135,34,30,4,88.2%,89,25,21,4,84.0%,46,7,7,0,100.0%,0,0,0
43,1279296512,C. Maldonado,Cam Maldonado,Maldonado,Cam,CF,Northeastern University,NE,343,Northeastern,BBC,R,R,60,151,33,29,4,87.9%,87,22,19,3,86.4%,64,5,4,1,80.0%,0,0,0
43,1093947904,B. Schaaf,Blake Schaaf,Schaaf,Blake,SS,Georgetown University,GTWN,2330,Georgetown,BBC,L,R,55,106,33,29,4,87.9%,67,27,23,4,85.2%,39,5,5,0,100.0%,1,1,0
43,1278171392,J. Purify,Jarren Purify,Purify,Jarren,2B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,57,103,33,29,4,87.9%,58,23,20,3,87.0%,45,2,2,0,100.0%,1,0,1
43,1119412224,K. White,KJ White,White,KJ,2B,Southern University,SOU,4767,Southern,BBC,S,R,44,112,31,29,2,93.5%,72,24,23,1,95.8%,40,4,3,1,75.0%,0,0,0
43,1303532033,J. Ragsdale,Josiah Ragsdale,Ragsdale,Josiah,CF,Boston College,BC,227,Boston College,BBC,L,L,56,128,34,29,5,85.3%,85,20,16,4,80.0%,43,11,10,1,90.9%,0,0,0
43,1627915882,B. Regala,Braden Regala,Regala,Braden,CF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,L,54,114,33,29,4,87.9%,73,32,28,4,87.5%,41,0,0,0,-,0,0,0
43,1410657329,K. Thompson,Kyeler Thompson,Thompson,Kyeler,CF,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,49,88,30,29,1,96.7%,54,19,19,0,100.0%,34,5,4,1,80.0%,1,1,0
50,1332977664,C. Musacchia,Carmelo Musacchia,Musacchia,Carmelo,2B,Northeastern University,NE,343,Northeastern,BBC,R,R,55,88,33,28,5,84.8%,50,18,13,5,72.2%,38,8,8,0,100.0%,1,1,0
50,1264006400,L. Nowak,Luke Nowak,Nowak,Luke,LF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,L,L,53,129,30,28,2,93.3%,84,20,18,2,90.0%,45,9,9,0,100.0%,0,0,0
50,1127172864,S. Alexander,Sebastian Alexander,Alexander,Sebastian,LF,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,60,89,34,28,6,82.4%,49,22,20,2,90.9%,40,8,4,4,50.0%,1,1,0
50,1162522624,J. Lauinger,John Lauinger,Lauinger,John,LF,Oakland University,OAK,5386,Oakland,BBC,R,R,59,134,33,28,5,84.8%,87,19,15,4,78.9%,47,10,10,0,100.0%,2,1,1
50,1207467008,B. Stanley,Brett Stanley,Stanley,Brett,LF,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,53,116,30,28,2,93.3%,64,27,25,2,92.6%,52,0,0,0,-,1,1,0
