Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,HLeft%,HCtr%,HRight%,HPull%,HOppFld%,HFarLft%,HLftCtr%,HDeadCtr%,HRtCtr%,HFarRt%
1535,1238257920,T. Bethel,Tate Bethel,Bethel,Tate,3B,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,52,187,32.0%,36.7%,31.3%,32.0%,31.3%,15.3%,23.3%,22.7%,24.0%,14.7%
1535,1297553152,W. Furniss,Will Furniss,Furniss,Will,1B,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,58,203,31.3%,36.7%,32.0%,32.0%,31.3%,16.0%,21.3%,21.3%,22.7%,18.7%
1535,1222899712,T. Hare,Tyler Hare,Hare,Tyler,1B,Wofford College,WOF,730176512,Wofford,BBC,L,R,54,173,21.6%,46.4%,32.0%,32.0%,21.6%,10.4%,22.4%,24.0%,22.4%,20.8%
1535,1108374362,E. Chorba,Eric Chorba,Chorba,Eric,LF,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,L,R,51,193,32.0%,36.0%,32.0%,32.0%,32.0%,16.0%,25.3%,16.0%,29.3%,13.3%
1535,1342170985,C. Nitowitz,Cody Nitowitz,Nitowitz,Cody,LF,University of Portland,PORT,730360320,Portland,BBC,S,R,49,160,30.4%,36.8%,32.8%,32.0%,31.2%,16.8%,24.0%,20.8%,24.0%,14.4%
1540,1143044864,L. Hanson,Luke Hanson,Hanson,Luke,3B,University of Virginia,UVA,5415,Virginia,BBC,R,R,48,153,32.0%,39.3%,28.7%,32.0%,28.7%,18.9%,26.2%,25.4%,12.3%,17.2%
1540,1310834176,M. Mitchell,Mack Mitchell,Mitchell,Mack,2B,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,52,196,32.0%,42.6%,25.4%,32.0%,25.4%,18.0%,23.0%,29.5%,13.1%,16.4%
1542,1212113408,A. Wiggins,Andrew Wiggins,Wiggins,Andrew,RF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,43,134,27.8%,40.2%,32.0%,32.0%,27.8%,18.6%,17.5%,22.7%,25.8%,15.5%
1543,1342166901,S. Reynolds,Sam Reynolds,Reynolds,Sam,CF,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,52,168,31.9%,47.2%,20.8%,31.9%,20.8%,16.7%,22.2%,23.6%,22.2%,15.3%
1544,1310335744,C. Rasmussen,Connor Rasmussen,Rasmussen,Connor,2B,Tulane University,TULN,730354176,Tulane,BBC,L,R,58,214,24.5%,43.6%,31.9%,31.9%,24.5%,12.8%,21.8%,22.9%,26.1%,16.5%
1544,1195553024,A. Benhardt,Alan Benhardt,Benhardt,Alan,1B,Winthrop University,WIN,730294784,Winthrop,BBC,L,L,57,220,27.7%,40.4%,31.9%,31.9%,27.7%,14.4%,21.3%,23.9%,22.9%,17.6%
1544,1971003791,J. Stevenson,Jared Stevenson,Stevenson,Jared,RF,Seattle University,SEA,4504,Seattle,BBC,R,R,52,173,31.9%,41.5%,26.6%,31.9%,26.6%,18.1%,24.5%,24.5%,19.1%,13.8%
1547,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,242,31.9%,38.7%,29.4%,31.9%,29.4%,16.6%,20.2%,28.2%,19.0%,16.0%
1547,1390395142,S. Inoue,Shintaro Inoue,Inoue,Shintaro,2B,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,58,204,22.1%,46.0%,31.9%,31.9%,22.1%,10.4%,19.6%,30.7%,25.2%,14.1%
1549,1025585446,C. Johnstone,Carter Johnstone,Johnstone,Carter,3B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,R,53,215,23.2%,44.9%,31.9%,31.9%,23.2%,13.0%,18.9%,24.9%,24.9%,18.4%
1550,1099860992,C. Taggart,Casen Taggart,Taggart,Casen,1B,University of Washington,WASH,3110,Washington,BBC,L,R,50,172,28.3%,35.5%,36.2%,31.9%,32.6%,16.7%,16.7%,23.2%,22.5%,21.0%
1551,1162522624,J. Lauinger,John Lauinger,Lauinger,John,LF,Oakland University,OAK,5386,Oakland,BBC,R,R,59,221,31.9%,35.0%,33.1%,31.9%,33.1%,18.1%,19.4%,20.6%,23.1%,18.8%
1552,1195454208,J. Nadeau,Justin Nadeau,Nadeau,Justin,CF,University of Florida,FLA,730168320,Florida,BBC,L,R,51,159,29.2%,38.9%,31.9%,31.9%,29.2%,16.8%,15.0%,25.7%,27.4%,15.0%
1552,1310427136,C. Martinez,Carlos Martinez,Martinez,Carlos,RF,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,L,L,51,204,33.6%,34.5%,31.9%,31.9%,33.6%,21.2%,21.2%,15.0%,19.5%,23.0%
1554,1294968064,E. Carmichael,Easton Carmichael,Carmichael,Easton,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,60,243,31.8%,39.3%,28.9%,31.8%,28.9%,14.4%,27.9%,21.4%,19.4%,16.9%
1555,1198413057,V. Sheahan,Vance Sheahan,Sheahan,Vance,SS,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,61,268,31.8%,39.5%,28.7%,31.8%,28.7%,20.2%,22.4%,22.9%,24.7%,9.9%
1556,1297501440,A. Posey,Aaron Posey,Posey,Aaron,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,48,151,31.8%,38.6%,29.5%,31.8%,29.5%,13.6%,23.9%,22.7%,19.3%,20.5%
1556,1242802944,M. Bowman,Max Bowman,Bowman,Max,3B,University of Akron,AKR,540536064,Akron,BBC,R,R,54,202,31.8%,37.7%,30.5%,31.8%,30.5%,14.9%,23.4%,23.4%,21.4%,16.9%
1556,1077730304,J. Niles,Jalen Niles,Niles,Jalen,SS,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,54,158,31.8%,34.1%,34.1%,31.8%,34.1%,15.9%,29.5%,11.4%,22.7%,20.5%
1556,1097554432,C. Marcellus,Chris Marcellus,Marcellus,Chris,C,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,48,164,25.0%,38.6%,36.4%,31.8%,29.5%,9.1%,25.0%,18.2%,22.7%,25.0%
1556,1178085632,F. Ingersoll,Fisher Ingersoll,Ingersoll,Fisher,SS,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,41,131,18.2%,43.9%,37.9%,31.8%,24.2%,12.1%,12.1%,27.3%,24.2%,24.2%
1556,1218907422,J. Hanley,Jake Hanley,Hanley,Jake,1B,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,56,219,25.6%,42.6%,31.8%,31.8%,25.6%,12.5%,20.5%,21.6%,30.1%,15.3%
1556,1253268027,B. Primrose,Blake Primrose,Primrose,Blake,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,42,143,31.8%,48.5%,19.7%,31.8%,19.7%,15.2%,22.7%,30.3%,19.7%,12.1%
1563,1299385600,M. Colella,Matt Colella,Colella,Matt,SS,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,49,179,31.8%,38.7%,29.5%,31.8%,29.5%,14.5%,24.9%,24.3%,22.5%,13.9%
1564,1053576927,K. Agosto,Kelvin Agosto,Agosto,Kelvin,LF,Alabama State University,ALST,4765,Alabama State,BBC,R,R,58,223,31.8%,46.4%,21.9%,31.8%,21.9%,14.6%,26.5%,27.8%,20.5%,10.6%
1565,1092978688,Z. Kelly,Zane Kelly,Kelly,Zane,RF,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,56,200,27.1%,41.1%,31.8%,31.8%,27.1%,16.3%,16.3%,24.8%,20.2%,22.5%
1566,1310533888,K. Kepley,Kane Kepley,Kepley,Kane,CF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,61,234,26.6%,41.6%,31.8%,31.8%,26.6%,12.1%,24.3%,25.2%,18.2%,20.1%
1566,1099738624,A. Briseno,Armando Briseno,Briseno,Armando,SS,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,42,154,31.8%,38.3%,29.9%,31.8%,29.9%,16.8%,20.6%,22.4%,28.0%,12.1%
1568,1565337963,A. Taclas,Aidan Taclas,Taclas,Aidan,RF,Manhattan College,MAN,730363648,Manhattan,BBC,L,R,47,184,30.6%,37.6%,31.8%,31.8%,30.6%,20.0%,20.0%,20.0%,25.9%,14.1%
1569,1263049984,B. Hughes,Bryce Hughes,Hughes,Bryce,SS,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,54,204,31.7%,39.7%,28.6%,31.7%,28.6%,20.6%,27.0%,22.2%,14.3%,15.9%
1570,1281476864,A. Redahan,Aidan Redahan,Redahan,Aidan,1B,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,R,48,201,32.7%,35.6%,31.7%,31.7%,32.7%,18.3%,19.2%,18.3%,28.8%,15.4%
1571,1293479424,T. Thompson-Allen,Terrick Thompson-Allen,Thompson-Allen,Terrick,CF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,54,184,26.8%,38.2%,35.0%,31.7%,30.1%,13.0%,22.8%,20.3%,26.0%,17.9%
1571,1224669696,N. Brooks,Noah Brooks,Brooks,Noah,1B,Siena College,SIE,730382592,Siena,BBC,R,R,45,161,31.7%,46.3%,22.0%,31.7%,22.0%,24.4%,19.5%,26.8%,22.0%,7.3%
1571,1074613504,J. De la Cruz,Juan De la Cruz,De la Cruz,Juan,2B,Stetson University,STET,730261504,Stetson,BBC,R,R,53,175,31.7%,45.5%,22.8%,31.7%,22.8%,13.0%,35.8%,17.9%,20.3%,13.0%
1574,1187057152,C. Kashimoto,Cody Kashimoto,Kashimoto,Cody,2B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,S,R,62,203,30.1%,41.5%,28.4%,31.7%,26.8%,15.8%,23.5%,25.1%,23.0%,12.6%
1575,1145239296,R. Lipoma,Reese Lipoma,Lipoma,Reese,CF,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,55,219,31.7%,41.6%,26.7%,31.7%,26.7%,17.8%,24.8%,25.7%,21.8%,9.9%
1576,1238221056,T. Ferroggiaro,Thomas Ferroggiaro,Ferroggiaro,Thomas,3B,Santa Clara University,SCU,730297600,Santa Clara,BBC,S,R,39,153,35.0%,35.0%,30.0%,31.7%,33.3%,20.0%,24.2%,18.3%,23.3%,14.2%
1577,1753456456,J. Swift,Julian Swift,Swift,Julian,3B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,44,174,31.6%,40.8%,27.6%,31.6%,27.6%,19.4%,22.4%,26.5%,24.5%,7.1%
1578,1318612224,E. Brown,Evan Brown,Brown,Evan,3B,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,51,186,31.6%,50.3%,18.1%,31.6%,18.1%,12.9%,31.0%,29.7%,14.8%,11.6%
1578,1061039381,J. Souders,Jake Souders,Souders,Jake,RF,Samford University,SAM,730386432,Samford,BBC,R,R,57,225,31.6%,39.4%,29.0%,31.6%,29.0%,14.2%,27.7%,20.6%,20.6%,16.8%
1580,1187810560,J. Ybarra,Jeter Ybarra,Ybarra,Jeter,1B,University of Michigan,MICH,2290,Michigan,BBC,L,R,56,199,24.7%,43.7%,31.6%,31.6%,24.7%,11.5%,22.4%,23.0%,24.7%,18.4%
1581,1301049600,C. Calabrese,Coleman Calabrese,Calabrese,Coleman,1B,James Madison University,JMU,730340096,James Madison,BBC,R,R,55,203,31.6%,44.4%,24.0%,31.6%,24.0%,15.8%,22.2%,31.6%,16.4%,14.0%
1581,1200305408,R. Farber,Ryne Farber,Farber,Ryne,SS,Texas State University,TXST,5420,Texas State,BBC,S,R,58,221,27.4%,44.7%,27.9%,31.6%,23.7%,15.3%,24.7%,23.2%,19.5%,17.4%
1581,1113390592,E. Wood,Enrique Wood,Wood,Enrique,3B,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,49,174,31.6%,39.5%,28.9%,31.6%,28.9%,10.5%,31.6%,22.4%,21.1%,14.5%
1581,1310742272,B. Kuriger,Brayden Kuriger,Kuriger,Brayden,CF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,50,183,31.6%,34.2%,34.2%,31.6%,34.2%,12.3%,25.4%,17.5%,27.2%,17.5%
1581,1563728805,A. Kelsey,Alex Kelsey,Kelsey,Alex,CF,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,L,51,197,28.4%,40.0%,31.6%,31.6%,28.4%,17.9%,16.8%,25.3%,21.1%,18.9%
1581,1686792825,K. Duran,Kevin Duran,Duran,Kevin,2B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,38,136,31.6%,33.3%,35.1%,31.6%,35.1%,17.5%,17.5%,19.3%,33.3%,12.3%
1581,1758367269,T. Lichtenberger,Tyler Lichtenberger,Lichtenberger,Tyler,SS,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,53,204,25.7%,42.7%,31.6%,31.6%,25.7%,12.9%,19.9%,23.4%,31.0%,12.9%
1588,1303793152,A. Ulloa,Alex Ulloa,Ulloa,Alex,SS,Florida International University,FIU,4468,Florida International,BBC,R,R,58,235,31.5%,41.1%,27.4%,31.5%,27.4%,17.9%,23.8%,20.8%,20.2%,17.3%
1589,1142418688,A. Dearing,Austin Dearing,Dearing,Austin,LF,Florida International University,FIU,4468,Florida International,BBC,L,R,52,189,26.9%,41.5%,31.5%,31.5%,26.9%,18.5%,16.9%,25.4%,19.2%,20.0%
1590,1100524800,C. Johnson,Camden Johnson,Johnson,Camden,3B,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,56,232,28.3%,40.2%,31.5%,31.5%,28.3%,16.8%,19.0%,25.5%,20.7%,17.9%
1590,1192592640,C. Harthan,Cam Harthan,Harthan,Cam,CF,Marshall University,MRSH,730333696,Marshall,BBC,L,L,56,207,22.8%,45.7%,31.5%,31.5%,22.8%,12.0%,19.6%,27.2%,27.2%,14.1%
1592,1330772992,D. Joyce,Dylan Joyce,Joyce,Dylan,1B,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,50,188,31.5%,33.9%,34.6%,31.5%,34.6%,17.3%,23.6%,19.7%,22.8%,16.5%
1593,1152866048,T. Garrish,Tripp Garrish,Garrish,Tripp,RF,Air Force Academy,AFA,730205440,Air Force,BBC,L,L,54,187,22.2%,46.3%,31.5%,31.5%,22.2%,12.0%,24.1%,20.4%,27.8%,15.7%
1594,1434805078,N. Dicarlo,Nick Dicarlo,Dicarlo,Nick,CF,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,L,51,161,28.1%,39.3%,32.6%,31.5%,29.2%,16.9%,18.0%,23.6%,27.0%,14.6%
1594,1708586628,T. Yukumoto,Ty Yukumoto,Yukumoto,Ty,SS,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,51,196,33.7%,34.8%,31.5%,31.5%,33.7%,21.3%,19.7%,18.5%,27.0%,13.5%
1596,1166939136,A. Atkinson,Alec Atkinson,Atkinson,Alec,1B,Yale University,YALE,730334464,Yale,BBC,R,R,39,141,31.5%,31.5%,37.1%,31.5%,37.1%,16.9%,25.0%,12.9%,23.4%,21.8%
1597,1172325120,B. Richartz,Brigs Richartz,Richartz,Brigs,LF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,49,184,35.2%,33.3%,31.4%,31.4%,35.2%,20.1%,22.6%,23.9%,17.6%,15.7%
1598,1304314330,P. Goodness,Paulie Goodness,Goodness,Paulie,CF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,43,146,31.4%,45.7%,22.9%,31.4%,22.9%,8.6%,25.7%,40.0%,17.1%,8.6%
1599,1093158912,H. Cooke,Henry Cooke,Cooke,Henry,C,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,52,156,31.4%,47.9%,20.7%,31.4%,20.7%,21.5%,19.8%,25.6%,20.7%,12.4%
1599,1673066641,R. Pitts Jr.,Robert Pitts Jr.,Pitts Jr.,Robert,CF,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,51,209,31.4%,38.8%,29.8%,31.4%,29.8%,15.7%,25.6%,21.5%,18.2%,19.0%
1599,1671286171,J. Long,Jake Long,Long,Jake,LF,University of Utah,UTAH,730328320,Utah,BBC,L,R,45,168,24.8%,43.8%,31.4%,31.4%,24.8%,10.7%,21.5%,25.6%,21.5%,20.7%
1602,1307084288,A. Magpoc,Adam Magpoc,Magpoc,Adam,LF,Boston College,BC,227,Boston College,BBC,S,R,55,185,24.1%,40.1%,35.8%,31.4%,28.5%,10.9%,20.4%,21.9%,28.5%,18.2%
1603,1099810304,W. Peifer,Wyatt Peifer,Peifer,Wyatt,3B,James Madison University,JMU,730340096,James Madison,BBC,S,R,55,199,30.8%,38.5%,30.8%,31.4%,30.2%,16.6%,22.5%,23.7%,24.9%,12.4%
1604,1058192003,C. Schrack,Carson Schrack,Schrack,Carson,2B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,44,139,28.8%,44.1%,27.1%,31.4%,24.6%,11.9%,29.7%,27.1%,14.4%,16.9%
1605,1596377367,B. Wyche,Bruce Wyche,Wyche,Bruce,RF,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,51,189,31.3%,47.0%,21.7%,31.3%,21.7%,13.3%,30.1%,22.9%,18.1%,15.7%
1606,1324325632,J. Donohoe,Jesse Donohoe,Donohoe,Jesse,3B,Georgia State University,GAST,730239744,Georgia State,BBC,L,R,56,209,25.6%,43.1%,31.3%,31.3%,25.6%,14.4%,20.0%,26.9%,23.8%,15.0%
1606,1325168384,J. Gonzalez,Jayson Gonzalez,Gonzalez,Jayson,SS,Iona College,IONA,730242048,Iona,BBC,R,R,39,162,31.3%,37.5%,31.3%,31.3%,31.3%,12.5%,25.0%,21.9%,25.0%,15.6%
1608,1142656000,L. Ismalli,Lucas Ismalli,Ismalli,Lucas,1B,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,47,166,31.2%,37.6%,31.2%,31.2%,31.2%,17.7%,26.2%,22.7%,14.9%,18.4%
1609,1580046678,J. Gomez,Jonathan Gomez,Gomez,Jonathan,SS,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,53,189,31.1%,50.8%,18.0%,31.1%,18.0%,14.8%,31.1%,26.2%,16.4%,11.5%
1610,1100575744,C. Chee-Aloy,Cameron Chee-Aloy,Chee-Aloy,Cameron,RF,University of Illinois,ILL,730163456,Illinois,BBC,R,R,52,189,31.1%,41.7%,27.2%,31.1%,27.2%,14.6%,25.8%,25.2%,19.2%,15.2%
1611,1278156800,C. Wildman,Caden Wildman,Wildman,Caden,RF,Cornell University,COR,730298624,Cornell,BBC,R,R,31,117,31.1%,51.1%,17.8%,31.1%,17.8%,17.8%,21.1%,35.6%,15.6%,10.0%
1611,1131535616,M. Chapman,Manoah Chapman,Chapman,Manoah,2B,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,52,189,31.1%,33.3%,35.6%,31.1%,35.6%,17.8%,15.6%,22.2%,26.7%,17.8%
1611,1190604296,J. Wachs,Jason Wachs,Wachs,Jason,RF,Tulane University,TULN,730354176,Tulane,BBC,L,R,51,167,25.2%,43.7%,31.1%,31.1%,25.2%,12.6%,20.7%,25.9%,21.5%,19.3%
1614,1167266816,S. Penney,Scott Penney,Penney,Scott,2B,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,56,195,25.0%,43.9%,31.1%,31.1%,25.0%,12.2%,20.7%,25.6%,27.4%,14.0%
1615,1294956544,K. Dickerson,Korbyn Dickerson,Dickerson,Korbyn,CF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,56,243,31.1%,43.5%,25.4%,31.1%,25.4%,18.1%,22.8%,24.4%,23.8%,10.9%
1615,1161481670,T. Kirk,Taylor Kirk,Kirk,Taylor,2B,Fordham University,FOR,730324992,Fordham,BBC,R,R,57,228,31.1%,44.0%,24.9%,31.1%,24.9%,14.0%,30.6%,23.8%,17.6%,14.0%
1617,1183062016,D. Bryce,Bryce Dawson,Bryce,Dawson,3B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,58,235,31.1%,43.5%,25.4%,31.1%,25.4%,14.1%,26.6%,24.3%,23.2%,11.9%
1618,1297676033,C. Hain,Carter Hain,Hain,Carter,1B,Oakland University,OAK,5386,Oakland,BBC,R,R,60,230,31.1%,36.4%,32.6%,31.1%,32.6%,15.2%,22.7%,22.7%,24.2%,15.2%
1619,1142128384,C. Tufano,Cristino Tufano,Tufano,Cristino,SS,George Washington University,GW,730249216,George Washington,BBC,R,R,53,190,31.1%,44.7%,24.2%,31.1%,24.2%,16.8%,19.9%,26.7%,21.7%,14.9%
1620,1259825664,M. Dattalo,Michael Dattalo,Dattalo,Michael,3B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,59,223,31.1%,36.3%,32.6%,31.1%,32.6%,16.3%,26.3%,20.5%,20.0%,16.8%
1620,1237027328,T. Martinez,Tony Martinez,Martinez,Tony,1B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,52,215,27.4%,41.6%,31.1%,31.1%,27.4%,15.8%,19.5%,22.6%,30.0%,12.1%
1622,1275097856,T. Sanders,Troy Sanders,Sanders,Troy,SS,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,50,180,31.0%,42.8%,26.2%,31.0%,26.2%,14.5%,24.8%,22.8%,24.1%,13.8%
1622,1176373760,T. Bickers,Tyler Bickers,Bickers,Tyler,2B,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,58,225,31.0%,44.1%,24.8%,31.0%,24.8%,16.6%,24.8%,22.1%,24.1%,12.4%
1622,1302717816,L. Hairston,Landon Hairston,Hairston,Landon,RF,Arizona State University,ASU,5035,Arizona State,BBC,L,L,53,196,27.0%,42.0%,31.0%,31.0%,27.0%,10.3%,24.7%,25.3%,24.1%,15.5%
1625,1131893504,C. Kenny,Craig Kenny,Kenny,Craig,C,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,47,160,31.0%,45.0%,24.0%,31.0%,24.0%,12.0%,41.0%,16.0%,19.0%,12.0%
1625,1821462699,J. Lausch,Jack Lausch,Lausch,Jack,CF,Northwestern University,NW,730247680,Northwestern,BBC,L,R,44,150,30.0%,39.0%,31.0%,31.0%,30.0%,14.0%,24.0%,22.0%,22.0%,18.0%
1627,1769279232,B. Terrell,Bub Terrell,Terrell,Bub,LF,Auburn University,AUB,5466,Auburn,BBC,L,L,56,204,30.3%,38.7%,31.0%,31.0%,30.3%,18.7%,21.3%,20.0%,25.2%,14.8%
1628,1415553116,L. Scilley,Landon Scilley,Scilley,Landon,3B,Liberty University,LIB,730156288,Liberty,BBC,R,R,56,212,30.9%,38.1%,30.9%,30.9%,30.9%,12.9%,29.5%,22.3%,20.1%,15.1%
1629,1266377728,C. Brown,Chris Brown,Brown,Chris,3B,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,48,173,30.9%,33.8%,35.3%,30.9%,35.3%,13.2%,25.0%,16.2%,25.0%,20.6%
1629,1102896384,J. Bullard,Jakob Bullard,Bullard,Jake,1B,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,44,148,30.9%,30.9%,38.2%,30.9%,38.2%,19.1%,17.6%,17.6%,26.5%,19.1%
1631,1080823296,K. McDaniel,Kyle McDaniel,McDaniel,Kyle,2B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,R,55,210,31.9%,37.2%,30.9%,30.9%,31.9%,16.0%,22.3%,22.3%,22.3%,17.0%
1632,1297504512,J. Waller,Jackson Waller,Waller,Jackson,CF,University of Nevada,NEV,4784,Nevada,BBC,R,R,57,239,30.8%,37.4%,31.8%,30.8%,31.8%,18.2%,21.0%,23.8%,16.8%,20.1%
1633,1127735296,K. Watanabe,Kody Watanabe,Watanabe,Kody,2B,University of San Francisco,SF,730365696,San Francisco,BBC,L,R,46,158,26.7%,42.5%,30.8%,30.8%,26.7%,15.8%,19.2%,27.5%,16.7%,20.8%
1634,1232652032,M. Lareau,Michael Lareau,Lareau,Michael,CF,Belmont University,BEL,730190336,Belmont,BBC,L,L,53,164,27.4%,41.9%,30.8%,30.8%,27.4%,12.8%,17.9%,26.5%,24.8%,17.9%
1634,1287362304,K. Amundson,Kaden Amundson,Amundson,Kaden,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,48,135,30.8%,43.6%,25.6%,30.8%,25.6%,16.2%,24.8%,22.2%,25.6%,11.1%
1634,1126689024,N. Gamez,Nathan Gamez,Gamez,Nathan,3B,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,R,48,156,30.8%,38.5%,30.8%,30.8%,30.8%,15.4%,26.9%,23.1%,23.1%,11.5%
1634,1245081088,J. Trout,Jackson Trout,Trout,Jackson,RF,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,50,206,30.8%,37.8%,31.4%,30.8%,31.4%,17.3%,26.9%,21.2%,17.3%,17.3%
1634,1342170438,C. Johnson,Cole Johnson,Johnson,Cole,1B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,58,223,30.8%,44.0%,25.3%,30.8%,25.3%,12.1%,31.9%,23.6%,17.6%,14.8%
1639,1207820544,L. Hill,Luke Hill,Hill,Luke,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,63,244,30.7%,43.4%,25.9%,30.7%,25.9%,14.6%,26.8%,24.4%,22.4%,11.7%
1640,1086008064,L. Boedicker,Lex Boedicker,Boedicker,Lex,1B,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,49,181,30.1%,39.2%,30.7%,30.7%,30.1%,13.7%,24.2%,22.9%,25.5%,13.7%
1641,1310313472,J. carpenter,Jesiah Carpenter,carpenter,Jesiah,CF,UMBC,UMBC,730210304,UMBC,BBC,R,R,46,173,30.7%,47.5%,21.8%,30.7%,21.8%,11.9%,28.7%,26.7%,19.8%,12.9%
1642,1314888960,G. Harrelson,Gage Harrelson,Harrelson,Gage,RF,Florida State University,FSU,101,Florida State,BBC,L,L,58,236,36.9%,32.4%,30.7%,30.7%,36.9%,22.2%,24.4%,17.0%,22.2%,14.2%
1642,1263747328,B. Kleiman,Brendan Kleiman,Kleiman,Brendan,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,45,166,30.7%,42.0%,27.3%,30.7%,27.3%,12.5%,33.0%,20.5%,19.3%,14.8%
1642,1099161088,G. Sotomayor,Griffen Sotomayor,Sotomayor,Griffen,1B,Fresno State,FRES,730384384,Fresno State,BBC,R,R,52,206,30.7%,36.4%,33.0%,30.7%,33.0%,17.6%,18.2%,25.6%,23.9%,14.8%
1645,1100812800,P. Daniels,Phillips Daniels,Daniels,Phillips,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,57,182,30.6%,29.9%,39.6%,30.6%,39.6%,14.2%,26.1%,15.7%,23.9%,20.1%
1646,1294963968,D. Faurot,Drew Faurot,Faurot,Drew,2B,Florida State University,FSU,101,Florida State,BBC,S,R,58,218,30.0%,40.6%,29.4%,30.6%,28.8%,18.2%,18.8%,28.2%,21.2%,13.5%
1646,1949844257,K. Moseni,Keon Moseni,Moseni,Keon,3B,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,R,48,165,25.9%,41.2%,32.9%,30.6%,28.2%,10.6%,20.0%,28.2%,18.8%,22.4%
