Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,HLeft%,HCtr%,HRight%,HPull%,HOppFld%,HFarLft%,HLftCtr%,HDeadCtr%,HRtCtr%,HFarRt%
49,1126571008,J. Rodriguez,Jorge Rodriguez,Rodriguez,Jorge,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,48,167,52.5%,32.2%,15.3%,52.5%,15.3%,18.6%,47.5%,10.2%,18.6%,5.1%
49,1207825152,C. Jennings,Collin Jennings,Jennings,Collin,RF,University of Illinois,ILL,730163456,Illinois,BBC,L,R,48,161,14.4%,33.1%,52.5%,52.5%,14.4%,7.6%,10.2%,19.5%,31.4%,31.4%
51,1263439360,R. Burnett,Robbie Burnett,Burnett,Robbie,RF,University of Georgia,UGA,226,Georgia,BBC,L,R,56,192,22.3%,25.2%,52.5%,52.5%,22.3%,7.9%,18.0%,16.5%,30.2%,27.3%
51,1112227629,A. Cano,Angel Cano,Cano,Angel,1B,Little Rock,UALR,730217472,Little Rock,BBC,R,R,45,174,52.5%,27.3%,20.1%,52.5%,20.1%,28.1%,28.1%,18.7%,15.1%,10.1%
53,1162109952,C. Newman,Carter Newman,Newman,Carter,SS,Longwood University,LONG,730219264,Longwood,BBC,R,R,41,141,52.5%,32.5%,15.0%,52.5%,15.0%,32.5%,28.7%,20.0%,10.0%,8.8%
54,1274237696,C. Andrews,Chris Andrews,Andrews,Chris,LF,Monmouth University,MONM,4164,Monmouth,BBC,R,R,52,180,52.5%,30.3%,17.2%,52.5%,17.2%,24.6%,36.9%,17.2%,13.1%,8.2%
55,1274260224,C. Jung,Clay Jung,Jung,Clay,RF,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,R,51,147,9.5%,38.1%,52.4%,52.4%,9.5%,4.8%,12.7%,19.0%,34.9%,28.6%
55,1712724103,C. Husser,Collin Husser,Husser,Collin,RF,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,43,151,52.4%,31.0%,16.7%,52.4%,16.7%,33.3%,23.8%,22.6%,10.7%,9.5%
57,1278204928,D. Pacella,Daniel Pacella,Pacella,Daniel,LF,Illinois State University,ILST,730258944,Illinois State,BBC,L,L,56,231,16.1%,31.6%,52.3%,52.3%,16.1%,9.7%,10.3%,17.4%,27.1%,35.5%
58,1297607680,T. Phelps,Tre Phelps,Phelps,Tre,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,50,201,52.2%,26.1%,21.7%,52.2%,21.7%,31.2%,25.5%,14.0%,17.2%,12.1%
59,1135882752,C. Carson,Christopher Carson,Carson,Christopher,CF,Stony Brook University,STON,730249984,Stony Brook,BBC,L,L,47,148,18.5%,29.3%,52.2%,52.2%,18.5%,12.0%,10.9%,20.7%,29.3%,27.2%
60,1831205385,J. Hudson,Justin Hudson,Hudson,Justin,RF,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,53,185,52.1%,36.2%,11.7%,52.1%,11.7%,42.6%,20.2%,19.1%,8.5%,9.6%
61,1258110720,H. Povey,Harrison Povey,Povey,Harrison,CF,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,59,239,13.8%,34.1%,52.1%,52.1%,13.8%,8.4%,10.2%,21.0%,26.9%,33.5%
62,1251692544,B. Evans,Brayden Evans,Evans,Brayden,LF,Lamar University,LAM,730162432,Lamar,BBC,L,L,56,235,14.2%,33.7%,52.1%,52.1%,14.2%,5.9%,14.2%,18.9%,24.9%,36.1%
63,1142522368,C. Call,Chase Call,Call,Chase,RF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,52,184,51.9%,27.1%,21.1%,51.9%,21.1%,26.3%,33.1%,18.8%,11.3%,10.5%
64,1325151488,N. Milk,Nate Milk,Milk,Nate,RF,Niagara University,NIAG,730156544,Niagara,BBC,R,R,46,173,51.8%,33.9%,14.3%,51.8%,14.3%,37.5%,21.4%,23.2%,12.5%,5.4%
65,1251442944,G. Baldwin,Gavin Baldwin,Baldwin,Gavin,1B,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,52,204,51.8%,33.3%,14.9%,51.8%,14.9%,34.2%,26.3%,21.1%,12.3%,6.1%
66,1099182338,J. LaFleur,John LaFleur,LaFleur,John,LF,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,44,161,13.8%,34.5%,51.7%,51.7%,13.8%,8.6%,11.2%,17.2%,31.9%,31.0%
67,1297338112,T. Smith,Tanner Smith,Smith,Tanner,C,University of Miami,MIA,236,Miami,BBC,R,R,55,166,51.7%,29.7%,18.6%,51.7%,18.6%,29.7%,31.4%,17.8%,12.7%,8.5%
68,1304683776,J. Beverly,Jack Beverly,Beverly,Jack,3B,University of Massachusetts,MASS,5451,UMass,BBC,R,R,47,166,51.5%,33.0%,15.5%,51.5%,15.5%,30.9%,30.9%,17.5%,13.4%,7.2%
69,1374148127,T. Denet,Tim Denet,Denet,Tim,3B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,44,157,51.5%,27.3%,21.2%,51.5%,21.2%,30.3%,21.2%,24.2%,21.2%,3.0%
70,1192515328,A. Divittorio,Anthony Divittorio,Divittorio,Anthony,LF,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,46,139,14.3%,34.3%,51.4%,51.4%,14.3%,8.6%,8.6%,20.0%,37.1%,25.7%
71,1262664192,K. Milewski,Kevin Milewsky,Milewski,Kevin,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,52,188,51.3%,31.9%,16.8%,51.3%,16.8%,31.0%,29.2%,21.2%,10.6%,8.0%
72,1300003584,C. Garner,Carson Garner,Garner,Carson,3B,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,225,51.2%,29.8%,19.0%,51.2%,19.0%,30.6%,25.6%,17.4%,16.5%,9.9%
