Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
1219,1179407616,E. Snider,Eston Snider,Snider,Eston,CF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,257,879,46.5%,27.8%,24.8%,47.4%,39.7%,60.3%,25.6%,25.5%,48.9%,38.1%,61.9%
1220,1162579200,J. Livingston,Josh Livingston,Livingston,Josh,2B,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,56,258,1047,46.5%,26.5%,30.4%,43.1%,40.7%,59.3%,24.6%,23.1%,52.3%,36.2%,63.8%
1221,1297589248,I. Blazier,Ian Blazier,Blazier,Ian,3B,Saint Louis University,SLU,2291,St. Louis,BBC,L,R,48,175,641,46.5%,30.2%,33.9%,35.8%,46.3%,53.7%,21.9%,25.0%,53.1%,34.1%,65.9%
1222,1248459776,K. Durnin,Kam Durnin,Durnin,Kam,SS,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,56,249,948,46.5%,27.9%,29.1%,43.0%,39.3%,60.7%,24.0%,22.7%,53.3%,33.9%,66.1%
1222,1866053969,H. Jatczak,Hayden Jatczak,Jatczak,Hayden,3B,Kent State University,KENT,730315008,Kent State,BBC,R,R,56,269,1086,46.5%,27.8%,28.2%,44.1%,40.1%,59.9%,31.9%,21.4%,46.6%,42.2%,57.8%
1224,1333122048,K. Jimenez,Kenneth Jimenez,Jimenez,Kenneth,C,University of Houston,HOU,3030,Houston,BBC,R,R,43,167,703,46.5%,26.1%,27.9%,46.1%,39.2%,60.8%,31.1%,24.1%,44.8%,42.7%,57.3%
1225,1246725888,E. Pelc,Eddy Pelc,Pelc,Eddy,CF,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,L,58,268,1106,46.5%,25.1%,31.2%,43.7%,40.2%,59.8%,25.3%,23.4%,51.3%,35.6%,64.4%
1226,1132856543,M. Rollison,Matthew Rollison,Rollison,Matthew,3B,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,51,189,589,46.5%,27.8%,26.8%,45.3%,41.3%,58.7%,28.9%,21.1%,50.1%,36.2%,63.8%
1227,1263466240,S. Warfield,Spencer Warfield,Warfield,Spencer,CF,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,48,180,745,46.5%,29.7%,28.1%,42.2%,42.0%,58.0%,23.3%,24.6%,52.0%,34.6%,65.4%
1228,1342167149,J. Ferguson,Jake Ferguson,Ferguson,Jake,SS,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,40,170,653,46.5%,27.4%,29.4%,43.1%,40.8%,59.2%,20.1%,26.2%,53.6%,32.8%,67.2%
1229,1245115136,D. Johnson,Dylan Johnson,Johnson,Dylan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,59,257,987,46.5%,27.3%,29.9%,42.8%,40.3%,59.7%,25.9%,24.5%,49.6%,37.4%,62.6%
1229,1336562432,N. Senese,Nico Senese,Senese,Nico,3B,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,59,269,998,46.5%,26.5%,27.3%,46.2%,39.9%,60.1%,29.8%,24.5%,45.6%,41.5%,58.5%
1231,1327587072,C. Rush,Christian Rush,Rush,Christian,RF,College of William & Mary,WM,730232064,William & Mary,BBC,R,L,56,255,996,46.5%,28.7%,26.6%,44.7%,42.8%,57.2%,26.9%,20.8%,52.2%,36.9%,63.1%
1232,1305110272,G. Cooper,George Cooper,Cooper,George,2B,Harvard University,HARV,5450,Harvard,BBC,R,R,42,187,566,46.5%,27.6%,26.0%,46.4%,40.6%,59.4%,23.5%,26.0%,50.5%,35.3%,64.7%
