Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing#,Miss#,Strike#,InPlay#,Foul#,InZone#,Chase#,CallStrk#
1721,1143043841,T. Lipsey,Trey Lipsey,Lipsey,Trey,RF,The Ohio State University,OSU,4144,Ohio State,BBC,L,R,50,242,952,321,52,522,146,123,435,74,201
1721,1207467008,B. Stanley,Brett Stanley,Stanley,Brett,LF,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,53,261,917,384,57,568,185,142,435,79,184
1721,1635128394,D. Rogers,Daniel Rogers,Rogers,Daniel,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,54,218,897,321,62,522,135,124,435,63,201
1721,1278316989,J. Sorenson,Jaxon Sorenson,Sorenson,Jaxon,1B,Liberty University,LIB,730156288,Liberty,BBC,L,R,56,254,1045,415,143,611,141,131,435,108,196
1730,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,60,308,1147,452,122,640,159,171,436,135,188
1730,1287355904,M. Mihalakis,Maddox Mihalakis,Mihalakis,Maddox,3B,University of Arizona,ARIZ,232,Arizona,BBC,L,R,63,275,1006,483,116,621,189,178,436,148,138
1730,1333052160,G. Freeman,Gus Freeman,Freeman,Gus,1B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,282,1037,441,70,598,183,188,436,95,157
1730,1342167549,K. Gibson,Kyle Gibson,Gibson,Kyle,3B,Illinois State University,ILST,730258944,Illinois State,BBC,L,R,56,279,1065,459,68,634,215,176,436,102,175
1734,1237035776,B. Blandford,Bobby Blandford,Blandford,Bobby,RF,Fresno State,FRES,730384384,Fresno State,BBC,L,L,60,272,1044,497,115,653,178,204,437,169,156
1734,1162570752,L. Braunschweig,Logan Braunschweig,Braunschweig,Logan,CF,UAB,UAB,730345984,UAB,BBC,L,R,53,248,1009,360,47,567,171,142,437,106,207
1734,1085403136,R. Kennell,Ryan Kennell,Kennell,Ryan,SS,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,52,241,940,354,39,585,184,131,437,88,231
1734,1310834176,M. Mitchell,Mack Mitchell,Mitchell,Mack,2B,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,52,240,948,385,104,580,144,137,437,70,195
1734,1207750656,G. Schulz,Gavin Schulz,Schulz,Gavin,3B,Tulane University,TULN,730354176,Tulane,BBC,R,R,58,259,982,399,70,572,182,147,437,95,173
1734,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,59,282,1119,444,115,592,159,170,437,95,148
1740,1233348096,G. Berkley,Garrison Berkley,Berkley,Garrison,CF,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,55,252,914,399,67,573,182,150,438,94,174
1740,1263439360,R. Burnett,Robbie Burnett,Burnett,Robbie,RF,University of Georgia,UGA,226,Georgia,BBC,L,R,56,256,1034,421,114,585,141,166,438,123,164
1740,1093141248,T. Rhoades,Ty Rhoades,Rhoades,Ty,3B,Little Rock,UALR,730217472,Little Rock,BBC,L,R,60,269,979,486,101,626,189,196,438,133,140
1740,1202698496,B. Lohry,Bradke Lohry,Lohry,Bradke,SS,University of South Florida,USF,2292,South Florida,BBC,R,R,55,238,959,373,74,569,150,149,438,102,196
1740,1141044992,P. Link,Peter Link,Link,Peter,LF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,48,221,845,336,88,498,127,121,438,46,162
1740,1145240064,T. Salvaggio,TJ Salvaggio,Salvaggio,TJ,SS,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,54,257,923,474,103,594,190,181,438,133,120
1740,1231043840,T. Yaghoubi,Tank Yaghoubi,Yaghoubi,Tank,CF,Elon University,ELON,730252544,Elon,BBC,L,L,56,233,900,377,37,544,176,164,438,94,167
