Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
1565,1260756992,D. Bargo,Dalton Bargo,Bargo,Dalton,LF,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,62,236,951,43.6%,9.7%,4.9%,17.7%,8.1%,15.0%,0.9%,0.0%,0.0%,53.3%,41.7%,25.8%
1566,1162594560,M. Williams,Malcolm Williams,Williams,Malcolm,2B,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,46,169,615,43.6%,11.6%,4.9%,24.3%,4.9%,10.3%,0.4%,0.0%,13.2%,55.2%,39.9%,29.2%
1567,1306922752,M. OConor,Mike O'Conor,OConor,Mike,3B,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,42,192,695,43.6%,3.2%,4.3%,31.2%,7.2%,10.1%,0.4%,0.0%,20.0%,46.8%,48.8%,38.4%
1568,1184274176,K. Garis,Keegan Garis,Garis,Keegan,LF,Indiana State University,INST,730350080,Indiana State,BBC,L,R,49,216,809,43.6%,9.7%,3.7%,13.4%,8.6%,19.7%,1.2%,0.1%,5.1%,53.3%,43.1%,22.2%
1569,1342167995,M. Wolfe,Matt Wolfe,Wolfe,Matt,SS,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,50,199,847,43.6%,10.4%,6.3%,22.1%,9.2%,8.3%,0.1%,0.0%,2.7%,54.0%,39.7%,31.3%
1570,1224615998,A. Beltre,AJ Beltre,Beltre,AJ,3B,University of San Diego,USD,5320,San Diego,BBC,R,R,44,180,669,43.6%,1.9%,4.3%,34.9%,4.8%,9.1%,0.7%,0.4%,0.1%,45.5%,50.1%,40.3%
1571,1242499584,O. Carapellotti,Owen Carapellotti,Carapellotti,Owen,C,Georgetown University,GTWN,2330,Georgetown,BBC,L,R,51,229,732,43.6%,5.9%,3.4%,19.3%,8.2%,19.1%,0.5%,0.0%,47.0%,49.5%,47.2%,27.6%
1572,1310814464,N. Alderfer,Nick Alderfer,Alderfer,Nick,3B,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,53,227,852,43.5%,8.7%,3.4%,25.7%,10.2%,8.3%,0.1%,0.0%,12.6%,52.3%,44.4%,35.9%
1572,1695405670,C. Willis,CJ Willis,Willis,CJ,RF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,53,257,920,43.5%,4.8%,10.3%,32.3%,2.6%,6.1%,0.0%,0.3%,66.3%,48.4%,41.3%,35.2%
1574,1142659072,J. Harris,James Harris,Harris,James,1B,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,47,196,813,43.5%,5.3%,4.6%,30.3%,8.5%,6.6%,0.1%,1.0%,5.5%,48.8%,46.6%,39.8%
1575,1279343616,T. Albright,Tyler Albright,Albright,Tyler,LF,Duke University,DUKE,730336256,Duke,BBC,R,L,62,286,1119,43.5%,6.3%,7.1%,23.8%,5.8%,13.1%,0.4%,0.0%,0.1%,49.7%,43.2%,29.7%
1576,1483997883,E. Plyler,Ethan Plyler,Plyler,Ethan,SS,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,57,258,911,43.5%,1.3%,5.1%,30.4%,11.3%,8.5%,0.0%,0.0%,6.8%,44.8%,50.2%,41.7%
1577,1093160704,A. Hill,Aden Hill,Hill,Aden,RF,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,55,249,967,43.4%,7.8%,4.1%,20.4%,9.5%,13.5%,0.7%,0.7%,6.2%,51.3%,44.7%,30.5%
1578,1081479936,N. Dumesnil,Nicholas Dumesnil,Dumesnil,Nicholas,CF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,57,278,1064,43.4%,2.1%,2.5%,18.4%,14.7%,17.4%,1.0%,0.5%,2.5%,45.6%,51.9%,33.6%
1579,1310326272,J. Little,Jack Little,Little,Jack,1B,Baylor University,BAY,3033,Baylor,BBC,R,R,46,187,742,43.4%,2.8%,8.0%,28.3%,7.8%,8.9%,0.4%,0.4%,0.0%,46.2%,45.8%,36.5%
1580,1297581568,A. Gilio,Ashtin Gilio,Gilio,Ashtin,CF,Georgetown University,GTWN,2330,Georgetown,BBC,S,R,51,198,679,43.4%,7.9%,3.1%,17.5%,8.2%,19.4%,0.6%,0.0%,47.7%,51.3%,45.6%,25.6%
1581,1092992512,R. Kucherak,Ryan Kucherak,Kucherak,Ryan,SS,Northwestern University,NW,730247680,Northwestern,BBC,R,R,52,224,850,43.4%,6.7%,3.3%,29.4%,7.0%,8.3%,0.0%,1.9%,3.1%,50.1%,46.7%,38.4%
1582,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,62,271,1012,43.4%,10.4%,4.8%,25.4%,7.7%,8.0%,0.1%,0.1%,1.6%,53.8%,41.4%,33.2%
1582,1330771712,R. Cholowsky,Roch Cholowsky,Cholowsky,Roch,SS,UCLA,UCLA,5048,UCLA,BBC,R,R,66,324,1113,43.4%,7.0%,4.6%,22.4%,7.4%,13.5%,0.4%,1.2%,2.6%,50.4%,44.9%,31.0%
1584,1173523200,J. Spinosa,JC Spinosa,Spinosa,JC,SS,Canisius College,CAN,730218752,Canisius,BBC,R,R,45,203,641,43.4%,7.0%,4.9%,28.0%,6.3%,10.5%,0.0%,0.0%,77.7%,50.3%,44.8%,34.3%
1585,1204946944,W. Vierling,Will Vierling,Vierling,Will,C,Murray State University,MURR,730188032,Murray State,BBC,L,R,60,277,1038,43.3%,6.5%,6.3%,20.9%,8.6%,13.2%,1.2%,0.0%,26.8%,49.8%,43.9%,29.5%
1586,1237037056,R. Christiansen,Ryan Christiansen,Christiansen,Ryan,RF,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,57,249,1014,43.3%,2.2%,2.3%,16.3%,11.4%,24.1%,0.3%,0.0%,10.4%,45.5%,52.1%,27.7%
1587,1559255931,D. Meche,Davis Meche,Meche,Davis,3B,McNeese State University,MCNS,730285056,McNeese State,BBC,L,R,43,149,556,43.3%,15.5%,1.6%,11.1%,9.3%,18.1%,1.0%,0.0%,9.5%,58.8%,39.6%,20.5%
1588,1148937216,V. Mauro,Vincent Mauro,Mauro,Vincent,3B,Niagara University,NIAG,730156544,Niagara,BBC,R,R,46,197,606,43.3%,8.3%,4.4%,23.9%,8.3%,11.7%,0.0%,0.0%,70.3%,51.7%,43.9%,32.2%
1589,1297498880,J. Orr,Jacob Orr,Orr,Jacob,LF,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,52,229,764,43.3%,5.3%,6.9%,25.9%,8.0%,9.8%,0.0%,0.7%,3.9%,48.6%,44.4%,34.6%
1590,1176553216,L. Waters,Luke Waters,Waters,Luke,LF,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,49,225,819,43.3%,5.9%,4.2%,35.0%,3.6%,6.0%,2.0%,0.0%,4.2%,49.2%,46.6%,38.6%
1591,1130373888,J. Craig,Joey Craig,Craig,Joey,RF,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,49,191,741,43.3%,3.9%,2.9%,34.3%,5.3%,9.6%,0.6%,0.2%,10.3%,47.2%,49.9%,39.7%
1592,1702076794,P. Whitehead,Payton Whitehead,Whitehead,Payton,3B,University of Maine,ME,730275840,Maine,BBC,R,R,44,183,689,43.3%,7.1%,4.2%,28.2%,4.0%,13.0%,0.2%,0.0%,30.6%,50.4%,45.4%,32.2%
1593,1155640832,N. Humphreys,Nathan Humphreys,Humphreys,Nathan,CF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,59,278,1061,43.3%,10.6%,2.9%,15.2%,9.7%,18.2%,0.1%,0.0%,0.1%,53.9%,43.2%,24.9%
1594,1310333184,J. Krieg,Jacob Krieg,Krieg,Jacob,1B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,59,242,991,43.3%,3.1%,4.5%,29.9%,5.4%,13.5%,0.3%,0.0%,5.5%,46.4%,49.1%,35.4%
1595,1303497984,C. Granatell,Charlie Granatell,Granatell,Charlie,LF,Elon University,ELON,730252544,Elon,BBC,R,L,55,240,933,43.2%,12.6%,5.5%,24.3%,5.3%,8.4%,0.4%,0.1%,0.9%,55.9%,38.6%,29.7%
1596,1201246464,L. Maxwell,Logan Maxwell,Maxwell,Logan,RF,University of Arkansas,ARK,3375,Arkansas,BBC,L,L,51,220,886,43.2%,2.1%,5.5%,17.2%,9.1%,21.0%,1.9%,0.0%,0.8%,45.3%,49.3%,26.3%
1597,1136410112,Z. Toglia,Zach Toglia,Toglia,Zach,3B,University of Portland,PORT,730360320,Portland,BBC,R,R,51,228,880,43.2%,3.6%,4.4%,31.6%,7.6%,9.1%,0.1%,0.3%,17.8%,46.8%,48.8%,39.5%
1598,1207513600,B. Durbin,Beau Durbin,Durbin,Beau,2B,Bradley University,BRAD,730253312,Bradley,BBC,L,R,47,208,721,43.2%,12.3%,4.3%,15.2%,6.0%,16.8%,1.2%,0.8%,16.8%,55.5%,40.2%,22.2%
1599,1297514496,J. Rinehart,Jace Rinehart,Rinehart,Jace,LF,West Virginia University,WVU,5327,West Virginia,BBC,R,R,57,221,793,43.2%,7.6%,8.3%,24.7%,7.4%,8.2%,0.3%,0.4%,4.2%,50.8%,40.9%,32.5%
1600,1195475968,M. Malony,Maddox Malony,Malony,Maddox,SS,University of Oregon,ORE,4807,Oregon,BBC,R,R,56,246,894,43.2%,7.6%,7.4%,21.8%,6.4%,12.9%,0.6%,0.1%,2.0%,50.8%,41.8%,28.3%
1601,1297344769,P. Kling,Paxton Kling,Kling,Paxton,CF,Penn State University,PSU,5326,Penn State,BBC,R,R,56,269,1091,43.1%,7.6%,5.5%,23.2%,8.4%,11.6%,0.2%,0.4%,0.7%,50.7%,43.8%,31.9%
1602,1213027329,E. Willoughby,Ethan Willoughby,Willoughby,Ethan,3B,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,50,212,767,43.1%,7.2%,1.4%,23.0%,13.5%,11.1%,0.7%,0.0%,7.2%,50.3%,48.3%,36.5%
1603,1108462592,K. Cross,Kerrington Cross,Cross,Kerrington,3B,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,56,273,1140,43.1%,9.5%,7.4%,21.2%,5.7%,12.4%,0.7%,0.0%,0.8%,52.6%,40.0%,26.9%
1604,1245915136,T. Minick,Tyler Minick,Minick,Tyler,3B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,54,252,908,43.1%,7.3%,4.9%,23.5%,5.2%,15.4%,0.7%,0.0%,0.1%,50.4%,44.8%,28.7%
1605,1276857856,A. Salgado,AJ Salgado,Salgado,AJ,RF,UCLA,UCLA,5048,UCLA,BBC,L,R,64,282,1089,43.1%,8.1%,3.2%,21.4%,9.4%,13.7%,0.7%,0.4%,0.0%,51.2%,45.6%,31.2%
1606,1533930152,C. Daniel,Caleb Daniel,Daniel,Caleb,LF,Georgia Tech,GT,100,Georgia Tech,BBC,L,R,55,237,993,43.1%,16.2%,4.9%,15.8%,4.9%,14.0%,1.0%,0.0%,0.0%,59.3%,35.8%,20.7%
1607,1278171392,J. Purify,Jarren Purify,Purify,Jarren,2B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,57,264,997,43.1%,9.5%,5.5%,27.0%,4.5%,9.4%,0.7%,0.2%,2.0%,52.6%,41.9%,31.7%
1608,1273283840,D. Fabian,Deric Fabian,Fabian,Deric,SS,Auburn University,AUB,5466,Auburn,BBC,R,R,59,236,893,43.1%,13.8%,4.7%,25.4%,4.8%,7.7%,0.6%,0.0%,2.0%,56.9%,38.4%,30.2%
1609,1136711424,S. Busch,Sam Busch,Busch,Sam,1B,Michigan State University,MSU,1551,Michigan State,BBC,L,L,54,227,914,43.1%,10.0%,2.7%,16.9%,8.0%,17.6%,0.9%,0.2%,2.8%,53.1%,44.2%,25.7%
1610,1100775680,C. Cannarella,Cam Cannarella,Cannarella,Cam,CF,Clemson University,CLEM,730358784,Clemson,BBC,L,R,61,292,1189,43.1%,12.0%,4.5%,22.8%,5.7%,11.3%,0.7%,0.0%,1.3%,55.1%,40.4%,28.5%
1611,1310404864,A. Lopez,Adrian Lopez,Lopez,Adrian,LF,University of Southern California,USC,5047,USC,BBC,R,R,58,251,946,43.0%,5.2%,4.0%,24.0%,9.2%,12.5%,0.2%,1.7%,0.5%,48.2%,47.7%,35.0%
1612,1084685312,J. Melendez,Jayden Melendez,Melendez,Jayden,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,54,237,963,43.0%,6.1%,6.1%,25.2%,8.2%,10.8%,0.4%,0.1%,0.1%,49.2%,44.7%,33.5%
1613,1089026304,N. Jordan,Nicho Jordan,Jordan,Nicho,CF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,L,L,53,239,939,43.0%,3.4%,3.5%,30.9%,7.4%,11.3%,0.5%,0.0%,36.6%,46.4%,50.1%,38.3%
1614,1281390848,J. Zimbardo,Jared Zimbardo,Zimbardo,Jared,CF,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,42,192,779,43.0%,9.9%,5.5%,22.1%,6.2%,12.6%,0.6%,0.1%,0.0%,52.9%,41.6%,28.4%
1615,1210145536,T. Rank,Treyton Rank,Rank,Treyton,1B,Rice University,RICE,2352,Rice,BBC,R,R,53,198,793,43.0%,9.8%,5.7%,27.5%,4.9%,9.0%,0.1%,0.0%,0.0%,52.8%,41.5%,32.4%
1616,1239761408,T. Kole,Trevor Kole,Kole,Trevor,3B,University of Washington,WASH,3110,Washington,BBC,R,R,55,219,865,43.0%,6.4%,3.6%,28.0%,7.0%,12.0%,0.0%,0.0%,7.3%,49.4%,47.0%,35.0%
1617,1287363072,R. Moore,Reese Moore,Moore,Reese,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,56,241,935,43.0%,6.3%,4.9%,19.4%,9.3%,16.9%,0.0%,0.0%,0.0%,49.3%,45.8%,28.9%
1618,1233282048,J. Steidl,Josh Steidl,Steidl,Josh,1B,Jacksonville University,JAC,730335488,Jacksonville,BBC,L,R,54,240,970,43.0%,4.9%,2.0%,24.7%,5.9%,18.2%,1.3%,0.0%,22.7%,47.9%,50.1%,30.6%
1619,1130289408,R. Fenn,Ryan Fenn,Fenn,Ryan,2B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,58,273,776,43.0%,7.9%,3.2%,21.9%,8.4%,13.0%,1.0%,1.5%,0.1%,50.8%,45.9%,31.9%
1620,1310843392,R. Velazquez,Raymond Velazquez,Velazquez,Raymond,3B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,50,215,844,43.0%,7.4%,3.2%,30.9%,7.5%,7.4%,0.3%,0.0%,11.7%,50.3%,46.4%,38.8%
1621,1110710016,J. Tyer,Jackson Tyer,Tyer,Jackson,CF,University of Delaware,DEL,730203136,Delaware,BBC,R,R,49,200,773,42.9%,9.8%,5.7%,24.6%,7.3%,8.7%,1.0%,0.0%,4.8%,52.7%,41.6%,31.9%
1622,1598492570,J. Riera,Jesus Riera,Riera,Jesus,SS,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,53,213,626,42.9%,12.7%,3.9%,21.5%,5.9%,12.7%,0.5%,0.0%,67.3%,55.6%,40.5%,27.3%
1623,1517265527,T. Cox,Tyler Cox,Cox,Tyler,SS,University of Houston,HOU,3030,Houston,BBC,R,R,55,189,735,42.9%,15.5%,5.7%,21.9%,6.1%,7.1%,0.8%,0.0%,2.3%,58.4%,35.9%,28.0%
1624,1306903808,L. West,Landon West,West,Landon,C,Rice University,RICE,2352,Rice,BBC,R,R,55,213,802,42.9%,9.2%,8.0%,24.2%,6.0%,9.6%,0.1%,0.0%,0.0%,52.1%,39.9%,30.2%
1625,1311028736,J. Schattle,Jagger Schattle,Schattle,Jagger,1B,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,L,46,178,683,42.9%,6.3%,2.2%,23.9%,8.4%,15.7%,0.6%,0.0%,32.1%,49.1%,48.7%,32.3%
1626,1882429176,J. Beebe,Jared Beebe,Beebe,Jared,1B,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,53,263,888,42.9%,10.9%,7.1%,25.4%,5.8%,6.3%,0.6%,1.0%,12.3%,53.8%,39.2%,32.2%
1627,1279684864,W. French,Wil French,French,Wil,1B,Arkansas State University,ARST,730290176,Arkansas State,BBC,S,R,54,251,997,42.9%,13.7%,3.0%,12.4%,8.6%,19.4%,0.0%,0.0%,2.2%,56.6%,40.4%,21.0%
1628,1263439360,R. Burnett,Robbie Burnett,Burnett,Robbie,RF,University of Georgia,UGA,226,Georgia,BBC,L,R,56,256,1034,42.9%,10.1%,6.6%,18.8%,6.7%,13.8%,1.2%,0.0%,0.3%,53.0%,40.4%,25.5%
1629,1258112000,M. Sargent,Myles Sargent,Sargent,Myles,2B,University of Maine,ME,730275840,Maine,BBC,R,R,47,188,624,42.8%,7.2%,3.8%,30.5%,2.9%,12.3%,0.0%,0.4%,28.5%,50.0%,46.2%,33.9%
1630,1257366784,S. DeCarlo,Sam DeCarlo,DeCarlo,Sam,SS,University of Washington,WASH,3110,Washington,BBC,R,R,57,253,969,42.8%,6.6%,3.4%,30.4%,7.2%,9.5%,0.0%,0.0%,5.8%,49.4%,47.2%,37.7%
1631,1207773440,G. Jay,Grant Jay,Jay,Grant,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,59,277,1051,42.8%,7.7%,6.1%,19.2%,9.9%,14.1%,0.2%,0.0%,1.0%,50.5%,43.5%,29.1%
1632,1727649062,T. Marthilijohni,Ty Marthilijohni,Marthilijohni,Ty,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,45,173,620,42.8%,7.6%,5.4%,26.9%,8.5%,8.8%,0.0%,0.0%,43.1%,50.4%,44.2%,35.4%
1633,1671286171,J. Long,Jake Long,Long,Jake,LF,University of Utah,UTAH,730328320,Utah,BBC,L,R,45,193,714,42.8%,8.2%,7.8%,22.4%,7.8%,10.4%,0.2%,0.5%,9.9%,51.0%,41.2%,30.6%
1634,1149176320,A. Kanellis,Andrew Kanellis,Kanellis,Andrew,RF,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,259,1033,42.8%,5.5%,2.5%,29.2%,8.0%,10.4%,0.8%,0.7%,8.5%,48.3%,49.2%,38.0%
1635,1310330368,C. Kerce,Carson Kerce,Kerce,Carson,3B,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,60,244,951,42.7%,14.3%,6.7%,19.6%,6.4%,9.8%,0.4%,0.0%,0.1%,57.1%,36.2%,26.0%
1636,1267572224,C. Hanson,Carter Hanson,Hanson,Carter,RF,University of Massachusetts,MASS,5451,UMass,BBC,L,L,48,217,811,42.7%,7.1%,1.8%,31.2%,8.9%,8.0%,0.3%,0.0%,58.4%,49.9%,48.4%,40.1%
1637,1243869440,N. Wilson,Nolan Wilson,Wilson,Nolan,C,Marshall University,MRSH,730333696,Marshall,BBC,R,R,52,201,659,42.7%,7.9%,6.3%,29.9%,4.7%,7.0%,1.5%,0.0%,6.2%,50.6%,43.0%,34.6%
1638,1127172864,S. Alexander,Sebastian Alexander,Alexander,Sebastian,LF,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,60,271,1021,42.7%,9.5%,3.2%,25.6%,8.1%,8.7%,1.3%,0.9%,0.5%,52.3%,44.5%,34.5%
1639,1890491822,J. Campbell,Jay Campbell,Campbell,Jay,3B,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,55,232,630,42.7%,11.4%,2.7%,25.9%,11.4%,5.9%,0.0%,0.0%,70.6%,54.1%,43.2%,37.3%
1640,1279326208,T. Doucette,Ty Doucette,Doucette,Ty,1B,Rutgers University,RUTG,730229248,Rutgers,BBC,L,R,57,276,959,42.7%,4.6%,3.3%,19.8%,7.5%,21.2%,0.4%,0.5%,0.8%,47.3%,49.4%,27.8%
1641,1084498176,C. Miller,Chris Miller,Miller,Chris,LF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,34,126,497,42.7%,4.4%,3.6%,33.4%,6.9%,9.0%,0.0%,0.0%,21.7%,47.0%,49.4%,40.4%
1642,1297338112,T. Smith,Tanner Smith,Smith,Tanner,C,University of Miami,MIA,236,Miami,BBC,R,R,55,209,828,42.7%,12.0%,5.7%,22.3%,7.0%,9.9%,0.4%,0.0%,0.4%,54.7%,39.6%,29.3%
1643,1323828224,A. DeMartino,Alec DeMartino,DeMartino,Alec,RF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,57,248,996,42.7%,9.8%,5.0%,22.9%,7.9%,8.4%,0.2%,3.2%,2.8%,52.5%,42.6%,34.0%
1644,1341082951,T. Bates,Taj Bates,Bates,Taj,3B,Southern University,SOU,4767,Southern,BBC,R,R,44,209,804,42.6%,3.0%,4.2%,30.0%,6.3%,13.8%,0.0%,0.0%,58.6%,45.6%,50.2%,36.3%
1645,1152912384,E. Hedges,Ethan Hedges,Hedges,Ethan,TWP,University of Southern California,USC,5047,USC,BBC,R,R,60,288,1132,42.6%,5.5%,4.3%,27.2%,7.6%,11.3%,0.0%,1.4%,0.5%,48.2%,47.5%,36.2%
1646,1310789632,G. Turley,Gavin Turley,Turley,Gavin,LF,Oregon State University,ORST,3111,Oregon State,BBC,R,R,65,307,1175,42.6%,5.3%,2.7%,27.0%,5.9%,15.9%,0.3%,0.3%,5.8%,48.0%,49.3%,33.2%
1647,1097665536,C. Mitchelle,Christian Mitchelle,Mitchelle,Christian,TWP,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,53,223,773,42.6%,8.7%,6.1%,24.8%,6.1%,10.8%,0.3%,0.5%,0.8%,51.4%,42.5%,31.4%
1648,1173751041,T. Quinn,Tyler Quinn,Quinn,Tyler,1B,University of Utah,UTAH,730328320,Utah,BBC,R,R,50,230,762,42.6%,9.2%,4.8%,23.3%,7.4%,11.2%,0.4%,1.2%,9.7%,51.7%,43.5%,31.8%
1649,1097548032,A. Townsend,Arderrius Townsend,Townsend,Arderrius,RF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,46,198,660,42.6%,2.9%,4.3%,33.7%,7.4%,8.9%,0.3%,0.0%,47.0%,45.4%,50.3%,41.1%
1650,1179407872,B. Barton,Blake Barton,Barton,Blake,LF,Belmont University,BEL,730190336,Belmont,BBC,R,R,60,261,958,42.5%,7.4%,3.0%,29.6%,9.6%,7.1%,0.0%,0.8%,4.1%,49.9%,47.0%,39.9%
1651,1309420032,E. Mendoza,Ethan Mendoza,Mendoza,Ethan,2B,University of Texas,TEX,245,Texas,BBC,R,R,56,268,1153,42.5%,16.8%,5.3%,20.7%,5.9%,7.4%,1.0%,0.5%,0.0%,59.3%,35.4%,27.1%
1652,1152940544,J. Willits,Jaxon Willits,Willits,Jaxon,SS,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,S,R,60,270,1161,42.5%,10.8%,5.1%,13.3%,8.6%,18.2%,1.3%,0.1%,0.3%,53.3%,41.6%,22.1%
1653,1667966816,B. Thompson,Brock Thompson,Thompson,Brock,2B,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,49,186,775,42.5%,14.7%,2.6%,19.0%,7.6%,13.6%,0.0%,0.0%,0.1%,57.2%,40.2%,26.6%
1654,1294967552,J. LaViolette,Jace LaViolette,LaViolette,Jace,CF,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,56,262,1163,42.5%,4.7%,5.4%,19.2%,8.6%,17.2%,2.3%,0.0%,1.9%,47.2%,47.4%,27.9%
1655,1259966976,A. Robbins,Aiden Robbins,Robbins,Aiden,RF,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,53,255,953,42.5%,8.3%,5.3%,22.9%,9.4%,11.7%,0.0%,0.0%,4.2%,50.7%,44.0%,32.3%
1656,1152952832,D. Zirwas,Devan Zirwas,Zirwas,Devan,1B,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,51,243,970,42.5%,9.5%,2.3%,20.6%,4.0%,20.9%,0.0%,0.0%,33.0%,52.0%,45.7%,24.8%
1657,1079752704,L. Ellis,Lee Ellis,Ellis,Lee,SS,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,38,175,663,42.4%,6.9%,7.6%,21.6%,5.9%,15.0%,0.5%,0.2%,0.2%,49.4%,43.1%,27.6%
1658,1777552484,O. Pincince,Owen Pincince,Pincince,Owen,1B,Siena College,SIE,730382592,Siena,BBC,R,R,51,196,644,42.4%,7.9%,12.9%,23.7%,6.5%,6.5%,0.0%,0.0%,78.4%,50.4%,36.7%,30.2%
1659,1152915712,N. Contrades,Nu'u Contrades,Contrades,Nu'u,3B,Arizona State University,ASU,5035,Arizona State,BBC,R,R,47,217,794,42.4%,8.2%,5.8%,25.8%,7.2%,9.3%,0.5%,0.8%,0.0%,50.6%,43.6%,33.8%
1660,1125632993,A. Groeneveld,AJ Groeneveld,Groeneveld,AJ,RF,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,50,190,751,42.4%,8.5%,3.9%,18.4%,7.6%,18.7%,0.5%,0.0%,18.1%,50.9%,45.2%,26.0%
1661,1251292160,R. Hart,River Hart,Hart,River,LF,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,43,170,687,42.4%,8.3%,3.6%,28.5%,6.2%,10.4%,0.0%,0.6%,50.9%,50.7%,45.7%,35.3%
1662,1310395648,M. Niu,Maika Niu,Niu,Maika,SS,Marshall University,MRSH,730333696,Marshall,BBC,R,R,58,271,969,42.4%,5.7%,6.3%,30.2%,6.0%,8.1%,1.2%,0.0%,6.1%,48.1%,45.6%,36.3%
1663,1095700736,C. Worcester,Chris Worcester,Worcester,Chris,2B,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,51,257,926,42.4%,7.4%,5.2%,31.7%,4.2%,8.3%,0.7%,0.0%,27.3%,49.9%,44.9%,35.9%
1664,1174785792,A. Aroz,Anson Aroz,Aroz,Anson,LF,University of Oregon,ORE,4807,Oregon,BBC,S,R,57,257,1000,42.4%,14.8%,3.3%,13.7%,5.9%,19.4%,0.3%,0.2%,2.1%,57.2%,39.5%,19.8%
1665,1197550592,W. Parker,William Parker,Parker,William,P,Army West Point,ARMY,4744,Army,BBC,R,R,41,192,667,42.4%,0.6%,5.1%,34.2%,9.5%,8.2%,0.0%,0.0%,0.9%,43.0%,51.9%,43.7%
1666,1213485312,F. Ferrentino,Frankie Ferrentino,Ferrentino,Frankie,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,48,214,602,42.4%,12.7%,7.0%,21.4%,9.6%,4.4%,0.0%,2.6%,62.0%,55.0%,38.0%,33.6%
1667,1264006656,B. Counsell,Brady Counsell,Counsell,Brady,LF,University of Kansas,KU,730360064,Kansas,BBC,R,R,60,271,1079,42.4%,10.5%,6.6%,21.6%,7.9%,9.9%,0.8%,0.4%,7.2%,52.8%,40.6%,29.9%
1668,1263600384,A. Amato,Andrew Amato,Amato,Andrew,LF,University of Delaware,DEL,730203136,Delaware,BBC,L,R,53,253,1091,42.3%,11.4%,6.2%,16.2%,9.0%,13.9%,0.9%,0.0%,3.0%,53.8%,40.0%,25.1%
1669,1341542656,D. Leinenbach,Drew Leinenbach,Leinenbach,Drew,RF,University of North Florida,UNF,730296832,North Florida,BBC,R,R,52,196,710,42.3%,5.8%,6.5%,28.1%,6.8%,9.7%,0.7%,0.0%,21.8%,48.1%,45.4%,35.0%
