Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,AB,HR,HR%,HR/FB,HRDst,FBDst,HRPull,HRCtr,HROpp
115,1153211136,T. Liolios,Trent Liolios,Liolios,Trent,1B,Northwestern University,NW,730247680,Northwestern,BBC,L,R,51,194,167,16,8.2%,14.8%,373.74,325.3,6,3,7
115,1263647744,J. Thorbahn,Jack Thorbahn,Thorbahn,Jack,1B,Stonehill College,SC,730238464,Stonehill,BBC,L,R,52,240,187,16,6.7%,18.4%,379.01,335.9,6,2,2
115,1335543552,J. Correa,Juan Correa,Correa,Juan,1B,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,48,218,196,16,7.3%,18.2%,400.06,323.4,11,3,2
115,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,298,242,16,5.4%,15.5%,409.81,316.4,6,7,1
115,1113915136,C. Higgs,Conor Higgs,Higgs,Conor,LF,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,58,248,197,16,6.5%,15.2%,398.19,333.7,7,6,3
115,1142659584,C. Paetow,Carson Paetow,Paetow,Carson,RF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,63,286,239,16,5.6%,13.2%,392.29,327.4,11,3,2
115,1207825152,C. Jennings,Collin Jennings,Jennings,Collin,RF,University of Illinois,ILL,730163456,Illinois,BBC,L,R,48,194,161,16,8.2%,15.8%,392.12,339.1,11,2,2
115,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,58,268,209,16,6.0%,15.0%,397.02,314.7,10,1,2
115,1301047808,E. Ott,Ethan Ott,Ott,Ethan,1B,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,48,228,190,16,7.0%,17.4%,423.62,361.6,4,7,4
115,1866053969,H. Jatczak,Hayden Jatczak,Jatczak,Hayden,3B,Kent State University,KENT,730315008,Kent State,BBC,R,R,56,269,213,16,5.9%,12.0%,416.56,327.5,4,2,4
115,1137012284,J. Oriach,Jordy Oriach,Oriach,Jordy,LF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,52,253,214,16,6.3%,15.0%,390.01,335.2,8,3,5
115,1052864533,J. Vanegas,Jesus Vanegas,Vanegas,Jesus,2B,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,60,259,221,16,6.2%,15.1%,425.76,307.5,3,2,0
115,1556185939,A. Hernandez,Alex Hernandez,Hernandez,Alex,TWP,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,59,270,230,16,5.9%,14.5%,385.30,339.7,3,6,7
115,1888313665,K. Lodise,Kyle Lodise,Lodise,Kyle,SS,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,55,266,219,16,6.0%,12.8%,390.93,334.0,9,4,3
