Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
1662,1327586560,D. Holmes,Derek Holmes,Holmes,Derek,2B,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,54,235,21.7%,20.9%,0.8%,5.5%,4.1%,1.4%,0.0%,0.4%,-0.4%,0.4%,1.0%,-0.5%,6.0%,4.7%,1.2%
1663,1259952896,J. Toby,Jared Toby,Toby,Jared,RF,University at Albany,ALBY,730280448,Albany,BBC,R,R,49,203,16.3%,15.8%,0.5%,3.9%,3.5%,0.5%,0.0%,0.3%,-0.3%,1.5%,1.0%,0.5%,5.4%,4.0%,1.4%
1664,1263747328,B. Kleiman,Brendan Kleiman,Kleiman,Brendan,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,45,195,20.0%,16.2%,3.8%,3.6%,2.6%,1.0%,0.0%,0.2%,-0.2%,1.0%,1.0%,0.1%,4.6%,3.2%,1.4%
1665,1109527296,D. Mathews,Duncan Mathews,Mathews,Duncan,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,46,183,21.3%,19.1%,2.2%,2.7%,4.0%,-1.2%,0.0%,0.5%,-0.5%,1.1%,1.0%,0.1%,3.8%,4.1%,-0.3%
1666,1476164141,T. Smith,Tyler Smith,Smith,Tyler,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,52,232,17.7%,15.9%,1.8%,5.6%,4.7%,0.9%,0.9%,0.3%,0.5%,3.9%,1.0%,2.9%,10.3%,5.2%,5.2%
1667,1074613504,J. De la Cruz,Juan De la Cruz,De la Cruz,Juan,2B,Stetson University,STET,730261504,Stetson,BBC,R,R,53,222,18.9%,15.4%,3.5%,2.3%,4.1%,-1.8%,0.5%,0.4%,0.1%,1.8%,1.0%,0.8%,4.5%,4.3%,0.3%
1668,1025681362,N. Martinez,Nathan Martinez,Martinez,Nathan,SS,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,51,230,15.7%,16.1%,-0.4%,3.9%,4.4%,-0.5%,0.4%,0.4%,0.1%,1.3%,1.0%,0.3%,5.7%,4.8%,0.9%
1669,1218556160,J. Radcliffe,Jacoby Radcliffe,Radcliffe,Jacoby,CF,Southern University,SOU,4767,Southern,BBC,L,R,45,179,17.9%,9.2%,8.7%,1.7%,0.8%,0.9%,2.2%,0.1%,2.1%,3.9%,1.0%,2.9%,7.8%,1.4%,6.4%
1670,1322859776,K. Jordan,Kazuya Jordan,Jordan,Kazuya,2B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,53,224,18.3%,14.3%,4.0%,2.7%,3.3%,-0.6%,1.8%,0.3%,1.5%,1.8%,1.0%,0.8%,6.3%,3.6%,2.6%
1671,1092978688,Z. Kelly,Zane Kelly,Kelly,Zane,RF,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,56,228,16.7%,13.2%,3.4%,7.0%,4.0%,3.0%,1.3%,0.4%,0.9%,0.0%,1.0%,-1.0%,8.3%,4.7%,3.6%
1672,1171615232,J. Berg,Jake Berg,Berg,Jake,C,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,R,52,237,15.2%,16.8%,-1.6%,4.2%,4.7%,-0.5%,0.4%,0.5%,-0.1%,2.5%,1.0%,1.6%,7.2%,5.0%,2.2%
1673,1327585536,K. Langley,Kyle Langley,Langley,Kyle,LF,James Madison University,JMU,730340096,James Madison,BBC,L,L,52,215,15.3%,18.8%,-3.5%,4.2%,4.3%,-0.1%,0.5%,0.4%,<0.1%,0.9%,1.0%,-0.0%,5.6%,4.8%,0.8%
1674,1927468263,J. Cardinale,Joe Cardinale,Cardinale,Joe,CF,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,52,206,19.4%,20.9%,-1.5%,1.9%,3.3%,-1.3%,0.5%,0.3%,0.2%,0.5%,1.0%,-0.5%,2.9%,3.9%,-1.0%
1675,1165448448,S. Werchan,Seth Werchan,Werchan,Seth,CF,Virginia Commonwealth University,VCU,730179328,VCU,BBC,L,L,50,207,14.0%,12.9%,1.1%,2.4%,3.2%,-0.8%,0.0%,0.4%,-0.4%,1.4%,1.0%,0.5%,3.9%,3.5%,0.4%
1676,1110710016,J. Tyer,Jackson Tyer,Tyer,Jackson,CF,University of Delaware,DEL,730203136,Delaware,BBC,R,R,49,200,14.0%,12.0%,2.0%,4.5%,4.4%,0.1%,0.5%,0.3%,0.2%,1.0%,0.9%,0.1%,6.0%,4.5%,1.5%
1677,1552347049,C. Prince,Cooper Prince,Prince,Cooper,CF,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,R,50,226,20.4%,21.9%,-1.5%,3.1%,4.3%,-1.2%,2.2%,0.5%,1.7%,1.3%,0.9%,0.4%,6.6%,4.9%,1.7%
1678,1196066304,S. McCloud,Slade McCloud,McCloud,Slade,2B,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,R,56,250,22.4%,15.9%,6.5%,4.8%,5.0%,-0.2%,0.8%,0.5%,0.3%,3.2%,0.9%,2.3%,8.8%,5.7%,3.1%
1679,1139934976,E. Brown,Ely Brown,Brown,Ely,CF,Mercer University,MER,730240512,Mercer,BBC,L,L,60,286,20.6%,18.9%,1.7%,3.1%,3.5%,-0.4%,0.0%,0.4%,-0.4%,1.0%,0.9%,0.1%,4.2%,3.8%,0.4%
1680,1158452736,M. Miceli,Matt Miceli,Miceli,Matt,SS,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,52,200,15.5%,16.3%,-0.8%,3.0%,1.7%,1.3%,0.5%,0.3%,0.2%,0.5%,0.9%,-0.4%,4.0%,2.4%,1.6%
1681,1100789760,B. Wooldridge,Braydon Wooldridge,Wooldridge,Braydon,TWP,UC Davis,UCD,730153984,UC Davis,BBC,L,L,53,221,18.6%,18.1%,0.4%,5.0%,5.0%,<0.1%,0.0%,0.4%,-0.4%,0.9%,0.9%,-0.0%,5.9%,5.4%,0.5%
1682,1156588032,J. Peyton,Jordan Peyton,Peyton,Jordan,SS,Towson University,TOWS,730318336,Towson,BBC,R,R,56,250,18.0%,19.5%,-1.5%,4.0%,4.1%,-0.1%,0.4%,0.3%,0.1%,1.6%,0.9%,0.7%,6.0%,4.5%,1.5%
1683,1878886460,F. Apple,Foster Apple,Apple,Foster,LF,Stetson University,STET,730261504,Stetson,BBC,R,R,59,255,21.6%,17.8%,3.8%,3.9%,5.2%,-1.2%,0.0%,0.5%,-0.5%,0.4%,0.9%,-0.5%,4.3%,5.6%,-1.3%
1684,1136423680,M. Bejarano,Mauri Bejarano,Bejarano,Mauri,2B,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,S,R,50,187,17.1%,15.0%,2.1%,1.1%,3.9%,-2.9%,0.5%,0.3%,0.2%,1.1%,0.9%,0.1%,2.7%,4.2%,-1.6%
1685,1314632704,M. Cisco,Mason Cisco,Cisco,Mason,1B,Canisius College,CAN,730218752,Canisius,BBC,L,R,41,182,11.5%,14.4%,-2.9%,4.9%,1.9%,3.0%,0.0%,0.3%,-0.3%,3.3%,0.9%,2.4%,8.2%,2.6%,5.6%
1686,1395883646,D. Smith,Dante Smith,Smith,Dante,RF,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,44,199,19.6%,16.3%,3.3%,4.0%,2.6%,1.4%,1.0%,0.3%,0.7%,0.5%,0.9%,-0.4%,5.5%,3.2%,2.3%
1687,1233641139,F. Peralta,Fabio Peralta,Peralta,Fabio,CF,University of Miami,MIA,236,Miami,BBC,L,L,57,197,17.3%,17.0%,0.2%,2.5%,2.4%,0.1%,0.0%,0.3%,-0.3%,1.0%,0.9%,0.1%,3.6%,3.2%,0.3%
1688,1736924719,M. Delgado,Matthew Delgado,Delgado,Matthew,C,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,53,231,16.9%,16.5%,0.3%,3.9%,5.2%,-1.3%,0.4%,0.4%,0.1%,3.0%,0.9%,2.1%,7.4%,5.3%,2.1%
1689,1268197376,T. Farmer IV,Tommy Farmer,Farmer IV,Tommy,LF,University of Texas,TEX,245,Texas,BBC,R,R,58,213,14.1%,12.0%,2.1%,6.1%,5.2%,0.9%,0.0%,0.3%,-0.3%,0.5%,0.9%,-0.4%,6.6%,5.4%,1.2%
1690,1287362304,K. Amundson,Kaden Amundson,Amundson,Kaden,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,48,169,14.8%,15.8%,-1.0%,2.4%,3.5%,-1.1%,0.6%,0.3%,0.3%,1.8%,0.9%,0.9%,4.7%,3.8%,1.0%
1691,1334094066,R. Ventura,Ranciel Ventura,Ventura,Ranciel,SS,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,50,218,12.4%,18.2%,-5.9%,5.0%,5.0%,0.1%,0.5%,0.4%,<0.1%,0.9%,0.9%,<0.1%,6.4%,5.2%,1.2%
1692,1213265153,B. Craigue,Brooks Craigue,Craigue,Brooks,2B,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,45,205,14.1%,13.0%,1.2%,5.9%,3.4%,2.5%,0.0%,0.2%,-0.2%,1.5%,0.9%,0.6%,7.3%,3.6%,3.7%
1693,1174744576,B. Forrester,Brandon Forrester,Forrester,Brandon,3B,New Mexico State University,NMSU,730302720,New Mexico State,BBC,S,R,53,255,22.0%,20.2%,1.7%,3.5%,3.7%,-0.2%,1.2%,0.3%,0.8%,0.8%,0.9%,-0.1%,5.5%,4.2%,1.3%
1694,1660722588,P. Brzustewicz,Parker Brzustewicz,Brzustewicz,Parker,1B,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,51,227,19.8%,18.9%,0.9%,4.0%,4.2%,-0.3%,0.9%,0.4%,0.5%,0.0%,0.9%,-0.9%,4.8%,4.5%,0.3%
1695,1192515328,A. Divittorio,Anthony Divittorio,Divittorio,Anthony,LF,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,46,198,9.1%,14.7%,-5.6%,3.5%,3.2%,0.4%,1.5%,0.4%,1.1%,1.5%,0.9%,0.6%,6.6%,3.1%,3.4%
1696,1162007552,R. Franden,Ryan Franden,Franden,Ryan,1B,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,40,171,21.6%,19.7%,2.0%,4.7%,4.5%,0.2%,0.6%,0.6%,<0.1%,0.6%,0.9%,-0.3%,5.8%,5.3%,0.5%
1697,1000082309,K. McConachie,Kyle McConachie,McConachie,Kyle,SS,University of Akron,AKR,540536064,Akron,BBC,R,R,47,170,16.5%,13.5%,3.0%,2.4%,3.3%,-1.0%,0.0%,0.2%,-0.2%,0.6%,0.9%,-0.3%,2.9%,3.9%,-1.0%
1698,1145239296,R. Lipoma,Reese Lipoma,Lipoma,Reese,CF,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,55,275,21.1%,20.7%,0.4%,3.6%,4.1%,-0.4%,0.7%,0.3%,0.4%,0.4%,0.9%,-0.5%,4.7%,4.2%,0.5%
1699,1095700736,C. Worcester,Chris Worcester,Worcester,Chris,2B,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,51,257,18.3%,14.3%,4.0%,5.4%,3.1%,2.3%,1.2%,0.3%,0.9%,0.8%,0.9%,-0.1%,7.4%,3.6%,3.8%
1700,1490768402,P. Lucas,Preston Lucas,Lucas,Preston,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,58,243,16.0%,14.3%,1.7%,7.8%,4.7%,3.2%,0.4%,0.5%,-0.1%,2.1%,0.9%,1.2%,10.3%,4.7%,5.5%
1701,1100524800,C. Johnson,Camden Johnson,Johnson,Camden,3B,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,56,273,20.1%,19.9%,0.3%,6.2%,4.9%,1.3%,0.4%,0.5%,-0.2%,0.7%,0.9%,-0.2%,7.3%,5.4%,1.9%
1702,1481789585,J. Dutton,JJ Dutton,Dutton,JJ,RF,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,52,235,22.1%,20.9%,1.2%,4.7%,3.9%,0.8%,1.7%,0.3%,1.4%,1.3%,0.9%,0.4%,7.7%,4.5%,3.2%
1703,1058192003,C. Schrack,Carson Schrack,Schrack,Carson,2B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,44,181,13.3%,20.5%,-7.3%,3.9%,3.9%,-0.0%,0.6%,0.4%,0.1%,1.7%,0.9%,0.8%,6.1%,4.0%,2.1%
1704,1992035244,L. Pimentel-Guerrero,Luis Pimentel-Guerrero,Pimentel-Guerrero,Luis,LF,Sacramento State University,SAC,730293760,Sacramento State,BBC,S,R,57,243,20.6%,16.9%,3.7%,5.8%,3.5%,2.3%,0.4%,0.3%,0.1%,1.2%,0.9%,0.4%,7.4%,3.7%,3.7%
1705,1237826816,J. Milto,Joey Milto,Milto,Joey,RF,Bellarmine University,BU,730167552,Bellarmine,BBC,L,R,55,216,10.6%,10.3%,0.3%,4.6%,3.1%,1.5%,1.4%,0.3%,1.0%,2.3%,0.9%,1.4%,8.3%,3.2%,5.1%
1706,1075203328,M. Robertson,Michael Robertson,Robertson,Michael,CF,Liberty University,LIB,730156288,Liberty,BBC,L,R,56,217,10.6%,12.4%,-1.8%,2.3%,3.7%,-1.4%,0.0%,0.4%,-0.4%,0.5%,0.9%,-0.4%,2.8%,4.1%,-1.3%
1707,1143114496,C. Stanfield,Chris Stanfield,Stanfield,Chris,CF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,67,255,17.3%,15.2%,2.0%,5.9%,5.3%,0.6%,0.8%,0.4%,0.4%,0.4%,0.9%,-0.5%,7.1%,5.3%,1.8%
1708,1178187776,K. Duncan,Kylan Duncan,Duncan,Kylan,2B,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,39,172,26.7%,21.9%,4.8%,4.1%,2.9%,1.2%,0.0%,0.3%,-0.3%,0.6%,0.9%,-0.3%,4.7%,3.6%,1.0%
1709,1001010929,T. Schmidt,Tate Schmidt,Schmidt,Tate,2B,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,R,50,207,14.5%,15.1%,-0.6%,4.3%,2.6%,1.8%,0.0%,0.3%,-0.3%,1.0%,0.9%,0.1%,5.3%,3.2%,2.1%
1710,1264275456,A. Urlaub,Alex Urlaub,Urlaub,Alex,1B,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,51,209,15.3%,15.3%,-0.0%,3.8%,4.0%,-0.1%,0.0%,0.3%,-0.3%,1.9%,0.8%,1.1%,5.7%,4.3%,1.5%
1711,1330724096,T. Takats,TJ Takats,Takats,TJ,CF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,L,L,40,194,14.9%,20.3%,-5.3%,3.1%,5.9%,-2.8%,0.0%,0.8%,-0.8%,2.6%,0.8%,1.7%,5.7%,5.8%,-0.2%
1712,1137355264,T. Neuer,Trenton Neuer,Neuer,Trenton,LF,Ohio University,OHIO,730298368,Ohio,BBC,R,R,45,180,18.3%,12.2%,6.1%,3.9%,3.6%,0.2%,0.0%,0.4%,-0.4%,0.6%,0.8%,-0.3%,4.4%,3.9%,0.6%
1713,1369787182,G. Arnold,Garrett Arnold,Arnold,Garrett,C,Ball State University,BALL,730195456,Ball State,BBC,R,R,49,182,21.4%,16.8%,4.6%,6.0%,5.4%,0.6%,0.0%,0.5%,-0.5%,0.0%,0.8%,-0.8%,6.0%,5.9%,0.2%
1714,1218587213,M. Stancliff,Matt Stancliff,Stancliff,Matt,2B,McNeese State University,MCNS,730285056,McNeese State,BBC,L,R,45,190,15.8%,15.9%,-0.1%,3.7%,4.1%,-0.4%,0.5%,0.4%,0.1%,1.1%,0.8%,0.2%,5.3%,4.3%,1.0%
1715,1297546752,D. Ross,DeAmez Ross,Ross,Deamez,CF,University of Central Florida,UCF,730256640,Central Florida,BBC,L,L,55,273,23.8%,23.1%,0.7%,5.5%,4.2%,1.3%,0.7%,0.4%,0.3%,0.7%,0.8%,-0.1%,7.0%,4.7%,2.3%
1716,1310350080,K. Harrison,KaiKea Harrison,Harrison,KaiKea,SS,Tulane University,TULN,730354176,Tulane,BBC,L,R,56,217,18.0%,18.7%,-0.8%,4.6%,3.8%,0.8%,0.5%,0.5%,-0.0%,0.5%,0.8%,-0.4%,5.5%,4.3%,1.2%
1717,1235324160,L. Rodriguez,Lewis Rodriguez,Rodriguez,Lewis,CF,Marist College,MRST,730374656,Marist,BBC,R,R,49,229,21.0%,14.5%,6.5%,2.2%,1.6%,0.6%,0.4%,0.2%,0.2%,1.3%,0.8%,0.5%,3.9%,2.1%,1.8%
1718,1084213760,C. Tollett,Cason Tollett,Tollett,Cason,1B,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,45,181,19.9%,18.8%,1.1%,1.1%,3.4%,-2.3%,0.0%,0.4%,-0.4%,1.1%,0.8%,0.3%,2.2%,4.2%,-2.0%
1719,1255284736,T. Kehoe,Tyler Kehoe,Kehoe,Tyler,RF,Radford University,RAD,730267392,Radford,BBC,L,L,50,219,14.6%,16.2%,-1.6%,3.2%,2.6%,0.6%,0.5%,0.3%,0.1%,2.3%,0.8%,1.5%,5.9%,3.4%,2.6%
1720,1282371943,J. Katsaboulas,Jonah Katsaboulas,Katsaboulas,Jonah,3B,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,53,227,19.4%,20.7%,-1.3%,4.8%,5.7%,-0.9%,0.0%,0.4%,-0.4%,0.0%,0.8%,-0.8%,4.8%,6.0%,-1.2%
1721,1311218432,B. Jones,Brendan Jones,Jones,Brendan,2B,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,49,200,11.5%,16.0%,-4.5%,4.0%,3.3%,0.7%,0.5%,0.4%,0.1%,1.5%,0.8%,0.7%,6.0%,3.6%,2.4%
1722,1263412992,J. Hankins,Josh Hankins,Hankins,Josh,3B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,52,239,17.6%,18.1%,-0.5%,3.8%,4.2%,-0.5%,0.0%,0.3%,-0.3%,0.4%,0.8%,-0.4%,4.2%,4.7%,-0.5%
1723,1581848523,G. Lakins,Gunner Lakins,Lakins,Gunner,RF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,38,151,11.3%,3.3%,8.0%,5.3%,3.3%,2.0%,0.7%,0.7%,-0.0%,4.6%,0.8%,3.8%,10.6%,4.1%,6.5%
1724,1245095168,M. Millan,Mauricio Millan,Millan,Mauricio,C,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,42,189,19.6%,16.6%,2.9%,2.6%,4.4%,-1.8%,0.5%,0.4%,0.2%,0.0%,0.8%,-0.8%,3.2%,4.7%,-1.6%
1725,1222900224,N. Lincoln,Nathan Lincoln,Lincoln,Nathan,LF,Marist College,MRST,730374656,Marist,BBC,R,R,51,233,18.0%,18.0%,<0.1%,2.6%,3.2%,-0.6%,0.4%,0.3%,0.1%,0.9%,0.8%,<0.1%,3.9%,3.5%,0.3%
1726,1307076624,J. Knox,Johnny Knox,Knox,Johnny,TWP,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,55,252,16.3%,18.3%,-2.0%,6.3%,6.4%,-0.1%,0.8%,0.4%,0.4%,2.4%,0.8%,1.6%,9.5%,6.5%,3.0%
1727,1657988572,L. Lowe,Logan Lowe,Lowe,Logan,SS,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,50,226,19.9%,16.1%,3.8%,3.1%,3.4%,-0.3%,0.4%,0.5%,-0.0%,0.4%,0.8%,-0.4%,4.0%,4.1%,-0.1%
1728,1330699776,J. Layman,James Layman,Layman,James,3B,Wofford College,WOF,730176512,Wofford,BBC,L,R,49,205,21.5%,14.5%,7.0%,5.4%,4.4%,0.9%,1.0%,0.5%,0.5%,0.5%,0.8%,-0.3%,6.8%,4.4%,2.4%
1729,1165732096,S. Parks,Sam Parks,Parks,Sam,CF,Stonehill College,SC,730238464,Stonehill,BBC,L,L,52,259,15.1%,13.6%,1.5%,2.3%,2.1%,0.2%,1.2%,0.2%,0.9%,1.5%,0.8%,0.7%,5.0%,2.2%,2.8%
1730,1310320640,B. Blaser,Bryce Blaser,Blaser,Bryce,LF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,R,53,228,17.1%,17.6%,-0.5%,5.7%,4.7%,1.0%,0.0%,0.5%,-0.5%,0.9%,0.8%,0.1%,6.6%,5.0%,1.6%
1731,1142128384,C. Tufano,Cristino Tufano,Tufano,Cristino,SS,George Washington University,GW,730249216,George Washington,BBC,R,R,53,230,17.0%,17.7%,-0.7%,1.7%,3.6%,-1.8%,0.0%,0.4%,-0.4%,0.4%,0.8%,-0.4%,2.2%,3.9%,-1.8%
1732,1201266944,L. Scales,Luke Scales,Scales,Luke,3B,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,54,234,17.1%,18.2%,-1.1%,5.1%,4.0%,1.1%,0.4%,0.2%,0.2%,0.9%,0.8%,<0.1%,6.4%,4.4%,2.0%
1733,1325899776,T. Emerich,Thomas Emerich,Emerich,Thomas,1B,Indiana State University,INST,730350080,Indiana State,BBC,R,R,46,189,15.3%,17.2%,-1.8%,6.9%,5.4%,1.5%,0.0%,0.3%,-0.3%,1.1%,0.8%,0.3%,7.9%,5.6%,2.3%
1734,1645639936,W. Helms,Wesley Helms,Helms,Wesley,1B,UAB,UAB,730345984,UAB,BBC,R,R,46,192,21.4%,23.4%,-2.1%,1.0%,3.8%,-2.7%,1.0%,0.3%,0.7%,1.0%,0.8%,0.2%,3.1%,4.3%,-1.2%
1735,1153058304,H. Sobecki,Hayden Sobecki,Sobecki,Hayden,1B,Yale University,YALE,730334464,Yale,BBC,R,R,39,157,15.3%,16.1%,-0.8%,6.4%,4.7%,1.7%,0.0%,0.4%,-0.4%,0.0%,0.8%,-0.8%,6.4%,4.8%,1.6%
1736,1216253696,J. Kelly,Jordan Kelly,Kelly,Jordan,RF,Princeton University,PRIN,730198784,Princeton,BBC,L,R,41,143,9.1%,10.6%,-1.5%,3.5%,3.4%,0.1%,0.0%,0.5%,-0.5%,0.0%,0.8%,-0.8%,3.5%,4.0%,-0.5%
1737,1967587596,M. Perazzo,Michael Perazzo,Perazzo,Michael,SS,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,56,204,20.6%,18.0%,2.6%,3.9%,3.6%,0.3%,0.0%,0.4%,-0.4%,1.0%,0.8%,0.2%,4.9%,4.0%,0.9%
1738,1222899968,M. Ali,Marco Ali,Ali,Marco,2B,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,53,233,15.9%,17.9%,-2.0%,2.6%,4.3%,-1.7%,0.4%,0.4%,<0.1%,0.9%,0.8%,0.1%,3.9%,4.7%,-0.8%
1739,1777552484,O. Pincince,Owen Pincince,Pincince,Owen,1B,Siena College,SIE,730382592,Siena,BBC,R,R,51,196,16.8%,14.7%,2.2%,5.1%,5.1%,-0.0%,0.5%,0.2%,0.3%,1.5%,0.8%,0.7%,7.1%,5.0%,2.2%
1740,1304823808,N. Tucker,Nolan Tucker,Tucker,Nolan,2B,Xavier University,XAV,5464,Xavier,BBC,L,R,51,205,21.0%,20.3%,0.7%,4.9%,4.8%,0.1%,1.0%,0.4%,0.6%,1.5%,0.8%,0.7%,7.3%,5.0%,2.4%
1741,1279541248,B. Martin,Brayden Martin,Martin,Brayden,2B,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,56,279,21.5%,18.9%,2.6%,1.8%,3.0%,-1.2%,0.0%,0.3%,-0.3%,0.7%,0.8%,-0.1%,2.5%,3.1%,-0.6%
1742,1410657329,K. Thompson,Kyeler Thompson,Thompson,Kyeler,CF,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,49,229,16.6%,16.0%,0.5%,3.1%,4.5%,-1.5%,0.9%,0.3%,0.5%,0.9%,0.8%,0.1%,4.8%,4.7%,0.1%
1743,1325548544,C. Loyal,Cooper Loyal,Loyal,Cooper,SS,University at Albany,ALBY,730280448,Albany,BBC,R,R,53,223,14.8%,17.6%,-2.8%,4.0%,3.8%,0.2%,0.4%,0.4%,0.1%,0.9%,0.8%,0.1%,5.4%,4.3%,1.1%
1744,1243930112,J. Fithian,Jalen Fithian,Fithian,Jalen,CF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,53,255,17.6%,21.0%,-3.4%,6.3%,6.0%,0.3%,0.4%,0.6%,-0.2%,1.2%,0.8%,0.4%,7.8%,6.3%,1.5%
1745,1162535680,J. Tucker,Jackson Tucker,Tucker,Jackson,CF,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,53,271,19.2%,18.5%,0.7%,4.4%,3.8%,0.6%,0.0%,0.3%,-0.3%,0.4%,0.8%,-0.4%,4.8%,4.1%,0.7%
1746,1187057152,C. Kashimoto,Cody Kashimoto,Kashimoto,Cody,2B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,S,R,62,276,17.4%,16.1%,1.3%,1.8%,2.8%,-1.0%,0.0%,0.2%,-0.2%,1.4%,0.8%,0.7%,3.3%,2.8%,0.5%
1747,1297581824,B. Sanchez,Branden Sanchez,Sanchez,Brandon,SS,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,46,192,16.7%,20.8%,-4.2%,6.3%,3.7%,2.6%,0.5%,0.4%,0.2%,0.0%,0.8%,-0.8%,6.8%,3.9%,2.8%
1748,1320034048,E. Bottone,Evan Bottone,Bottone,Evan,CF,University of Akron,AKR,540536064,Akron,BBC,L,R,52,249,21.3%,22.1%,-0.8%,4.4%,4.6%,-0.1%,0.4%,0.5%,-0.1%,0.8%,0.8%,<0.1%,5.6%,5.0%,0.6%
1749,1207486976,L. Odden,Luke Odden,Odden,Luke,2B,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,S,R,58,225,13.8%,14.9%,-1.2%,4.0%,4.2%,-0.2%,0.4%,0.4%,<0.1%,0.4%,0.8%,-0.3%,4.9%,4.1%,0.8%
1750,1236950016,H. Mitchell,Henry Mitchell,Mitchell,Henry,SS,U.S. Naval Academy,NAVY,508,Navy,BBC,S,R,50,187,9.6%,11.6%,-2.0%,4.3%,4.3%,-0.0%,1.6%,0.4%,1.3%,0.5%,0.8%,-0.2%,6.4%,4.2%,2.2%
1751,1104654848,J. Sokolove,JT Sokolove,Sokolove,JT,CF,Michigan State University,MSU,1551,Michigan State,BBC,R,R,53,238,15.5%,14.9%,0.6%,3.4%,3.5%,-0.1%,0.0%,0.4%,-0.4%,0.8%,0.8%,0.1%,4.2%,3.6%,0.6%
1752,1216708689,K. Campbell,Keaton Campbell,Campbell,Keaton,3B,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,58,245,22.0%,18.5%,3.5%,1.6%,3.2%,-1.6%,0.0%,0.3%,-0.3%,0.8%,0.8%,0.1%,2.4%,3.8%,-1.4%
1753,1099379456,B. Kettering,Brooks Kettering,Kettering,Brooks,2B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,54,267,13.9%,13.2%,0.6%,3.4%,3.8%,-0.5%,0.7%,0.5%,0.3%,0.0%,0.8%,-0.8%,4.1%,3.8%,0.3%
1754,1173758464,T. Rutledge,Trey Rutledge,Rutledge,Trey,CF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,41,182,21.4%,17.1%,4.3%,3.8%,2.4%,1.5%,1.6%,0.3%,1.3%,0.5%,0.8%,-0.2%,6.0%,2.4%,3.6%
