Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
53,1990583503,N. Savoie,Nate Savoie,Savoie,Nate,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,53,232,11.2%,14.6%,-3.4%,6.0%,5.6%,0.4%,0.4%,0.5%,-0.1%,8.6%,6.8%,1.8%,15.1%,11.4%,3.7%
54,1265468416,J. Bach,Jordan Bach,Bach,Jordan,CF,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,56,279,12.9%,9.2%,3.7%,6.8%,3.4%,3.4%,0.7%,0.5%,0.2%,3.9%,6.8%,-2.9%,11.5%,8.4%,3.0%
55,1254273792,T. Hansen,Trevor Hansen,Hansen,Trevor,3B,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,47,195,12.3%,12.3%,-0.0%,5.6%,5.6%,-0.0%,0.5%,0.5%,-0.0%,3.6%,6.8%,-3.2%,9.7%,11.9%,-2.2%
56,1278204928,D. Pacella,Daniel Pacella,Pacella,Daniel,LF,Illinois State University,ILST,730258944,Illinois State,BBC,L,L,56,268,15.3%,15.4%,-0.1%,7.1%,6.9%,0.2%,0.7%,0.9%,-0.2%,7.5%,6.8%,0.7%,15.3%,12.6%,2.7%
57,1306922752,M. OConor,Mike O'Conor,OConor,Mike,3B,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,42,192,16.1%,16.6%,-0.5%,5.2%,6.8%,-1.6%,1.6%,0.7%,0.9%,5.2%,6.8%,-1.6%,12.0%,12.4%,-0.4%
58,1207881216,B. Zeigler-Namoa,Ben Zeigler-Namoa,Zeigler-Namoa,Ben,1B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,56,259,18.5%,13.3%,5.3%,6.6%,4.8%,1.8%,0.0%,0.6%,-0.6%,2.7%,6.7%,-4.0%,9.3%,10.1%,-0.8%
59,1253443072,K. Frett,Kishon Frett,Frett,Kishon,LF,Florida International University,FIU,4468,Florida International,BBC,R,R,57,269,12.3%,8.8%,3.4%,3.0%,5.2%,-2.2%,1.1%,0.7%,0.4%,7.4%,6.7%,0.7%,11.5%,10.1%,1.4%
60,1661336148,D. Toigo,Dean Toigo,Toigo,Dean,RF,UNLV,UNLV,730161664,UNLV,BBC,L,R,54,255,20.4%,14.9%,5.5%,5.1%,4.6%,0.5%,0.0%,0.7%,-0.7%,7.1%,6.7%,0.4%,12.2%,10.4%,1.8%
61,1089871104,J. Nati,Jimmy Nati,Nati,Jimmy,2B,Stanford University,STAN,730251264,Stanford,BBC,R,R,52,229,15.7%,14.2%,1.6%,3.9%,5.0%,-1.1%,0.0%,0.5%,-0.5%,7.0%,6.7%,0.3%,10.9%,10.8%,0.2%
62,1885561482,S. Yamaguchi,Sean Yamaguchi,Yamaguchi,Sean,3B,University of Nevada,NEV,4784,Nevada,BBC,R,R,51,242,19.0%,19.6%,-0.6%,5.0%,4.8%,0.1%,0.4%,0.6%,-0.1%,5.4%,6.7%,-1.3%,10.7%,11.1%,-0.3%
