Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,GB/FB,Ground%,Fly%,Line%,Popup%,Bunt%,Ground#,Fly#,Line#,Popup#,Bunt#
82,1162511360,C. Krauss,Chayton Krauss,Krauss,Chayton,1B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,58,226,0.39,28.2%,41.2%,27.1%,3.4%,0.0%,50,73,48,6,0
83,1167172608,T. Townsend,Tommy Townsend,Townsend,Tommy,LF,Butler University,BUT,730283520,Butler,BBC,L,L,44,140,0.39,28.3%,44.4%,20.2%,7.1%,2.0%,28,44,20,7,2
84,1100780800,J. Kuczik,JP Kuczik,Kuczik,JP,C,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,48,161,0.39,28.3%,38.2%,19.7%,13.8%,1.3%,43,58,30,21,2
84,1093153024,J. Bello,Jack Bello,Bello,Jack,TWP,Butler University,BUT,730283520,Butler,BBC,R,L,50,194,0.39,28.3%,33.6%,31.6%,6.6%,0.0%,43,51,48,10,0
86,1218467328,A. Biediger,Aaron Biediger,Biediger,Aaron,1B,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,44,151,0.40,28.3%,32.7%,28.3%,10.6%,2.7%,32,37,32,12,3
87,1297506048,C. Spencer,Chase Spencer,Spencer,Chase,CF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,45,163,0.40,28.5%,40.8%,25.4%,5.4%,2.3%,37,53,33,7,3
88,1310843392,R. Velazquez,Raymond Velazquez,Velazquez,Raymond,3B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,50,172,0.40,28.5%,35.4%,25.7%,10.4%,4.2%,41,51,37,15,6
89,1304696832,T. Nunnally,Tait Nunnally,Nunnally,Tait,RF,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,L,55,187,0.40,28.5%,28.5%,26.5%,16.6%,1.3%,43,43,40,25,2
90,1176216576,J. Lebron,Justin Lebron,Lebron,Justin,SS,University of Alabama,ALA,730206976,Alabama,BBC,R,R,59,231,0.40,28.6%,35.1%,25.0%,11.3%,0.6%,48,59,42,19,1
90,1294966272,A. Silva,Anthony Silva,Silva,Anthony,SS,Texas Christian University,TCU,5045,TCU,BBC,R,R,58,213,0.40,28.6%,35.4%,28.6%,7.4%,0.0%,50,62,50,13,0
90,1084417280,A. Kean,Alex Kean,Kean,Alex,1B,Morehead State University,MORE,730158080,Morehead State,BBC,L,R,51,194,0.40,28.6%,37.3%,28.6%,5.6%,0.0%,36,47,36,7,0
90,1304692992,M. Knight,Max Knight,Knight,Max,TWP,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,54,178,0.40,28.6%,40.5%,22.2%,8.7%,0.0%,36,51,28,11,0
90,1096460032,J. Peltier,JP Peltier,Peltier,JP,LF,Wright State University,WRST,5390,Wright State,BBC,R,R,60,234,0.40,28.6%,39.4%,19.4%,12.6%,2.3%,50,69,34,22,4
90,1268336640,B. Cannon,Bryce Cannon,Cannon,Bryce,1B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,L,55,220,0.40,28.6%,38.9%,24.6%,8.0%,0.6%,50,68,43,14,1
90,1542417101,H. Ray,Hunter Ray,Ray,Hunter,RF,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,L,R,40,113,0.40,28.6%,41.6%,20.8%,9.1%,0.0%,22,32,16,7,0
97,1310536704,L. Nomura,Luke Nomura,Nomura,Luke,SS,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,58,245,0.40,28.6%,37.2%,22.6%,11.6%,0.5%,57,74,45,23,1
98,1258110720,H. Povey,Harrison Povey,Povey,Harrison,CF,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,59,239,0.40,28.6%,37.3%,17.3%,16.8%,0.5%,53,69,32,31,1
99,1301451776,E. Sullivan,Evin Sullivan,Sullivan,Evin,C,Binghamton University,BING,730155776,Binghamton,BBC,R,R,54,202,0.40,28.7%,31.6%,28.1%,11.7%,0.0%,49,54,48,20,0
100,1260855040,L. Masiuk,Luke Masiuk,Masiuk,Luke,RF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,53,196,0.40,28.7%,32.9%,22.4%,16.1%,0.0%,41,47,32,23,0
101,1204865536,D. Baker,Dillon Baker,Baker,Dillon,SS,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,54,227,0.40,28.7%,38.3%,19.1%,13.8%,0.0%,54,72,36,26,0
102,1297344769,P. Kling,Paxton Kling,Kling,Paxton,CF,Penn State University,PSU,5326,Penn State,BBC,R,R,56,212,0.40,28.7%,35.1%,30.5%,5.7%,0.6%,50,61,53,10,1
