Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
1717,1172379330,E. Fender,Ethan Fender,Fender,Ethan,1B,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,53,213,717,7.51,112.4%,-0.87,-1.51,15,8
1718,1237027328,T. Martinez,Tony Martinez,Martinez,Tony,1B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,52,248,831,7.53,111.5%,-0.97,-0.48,8,3
1719,1558675664,A. Rodriguez,Adrian Rodriguez,Rodriguez,Adrian,3B,University of Texas,TEX,245,Texas,BBC,S,B,49,212,830,7.53,105.1%,-0.97,-0.32,9,6
1720,1297506048,C. Spencer,Chase Spencer,Spencer,Chase,CF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,45,195,809,7.54,107.1%,-0.89,-1.35,11,4
1721,1342167035,B. Stang,Bobby Stang,Stang,Bobby,C,University of Dayton,DAY,730194688,Dayton,BBC,R,R,48,199,775,7.55,110.0%,-0.94,-0.87,12,2
1722,1310924800,S. Gates,Sam Gates,Gates,Sam,RF,George Washington University,GW,730249216,George Washington,BBC,L,R,50,231,903,7.57,105.5%,-0.97,-1.53,20,10
1723,1166183680,R. Ortiz,Ray Ortiz,Ortiz,Ray,SS,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,52,246,889,7.57,117.4%,-0.92,-0.42,6,2
1724,1758585081,J. Dauer,Jack Dauer,Dauer,Jack,3B,Yale University,YALE,730334464,Yale,BBC,R,R,45,199,698,7.58,108.7%,-0.89,-0.32,8,1
1725,1354195973,M. Lipsey,Marshall Lipsey,Lipsey,Marshall,CF,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,R,57,262,983,7.59,117.5%,-0.98,-1.67,8,2
1726,1513009429,C. Smith,Casey Smith,Smith,Casey,2B,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,L,L,47,184,635,7.59,139.1%,-0.98,-1.90,5,0
1727,1391696428,G. Gandy,Gus Gandy,Gandy,Gus,SS,Samford University,SAM,730386432,Samford,BBC,R,R,54,220,759,7.66,105.9%,-0.91,-1.10,8,6
1728,1573312151,R. Watson,Rex Watson,Watson,Rex,RF,University of San Diego,USD,5320,San Diego,BBC,L,L,54,234,890,7.67,107.7%,-0.99,-0.56,8,4
1729,1184451840,D. Wiley,David Wiley,Wiley,David,RF,Wofford College,WOF,730176512,Wofford,BBC,R,R,57,253,1029,7.68,105.1%,-0.89,0.04,11,8
1730,1689777523,C. Smith,Cayden Smith,Smith,Cayden,TWP,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,51,219,797,7.77,105.7%,-0.94,-0.91,8,9
1731,1093954304,M. Trommer,Michael Trommer,Trommer,Michael,3B,Bucknell University,BUCK,730214144,Bucknell,BBC,L,R,40,178,727,7.78,110.2%,-1.00,-0.95,10,3
1732,1170584576,E. Leon,Eddie Leon,Leon,Eddie,3B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,59,251,929,7.79,108.5%,-0.92,-2.21,13,3
1733,1323379456,S. Miller,Sam Miller,Miller,Sam,SS,Columbia University,CLMB,730319104,Columbia,BBC,R,R,49,241,829,7.81,107.2%,-0.95,-1.15,13,5
1734,1193756928,C. Murray Jr.,Casey Murray Jr.,Murray Jr.,Casey,CF,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,274,1017,7.85,104.4%,-0.95,-0.73,13,10
1735,1342169509,W. Stanley,Wyatt Stanley,Stanley,Wyatt,1B,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,50,193,816,7.87,105.5%,-1.01,-1.01,10,7
1736,1310816256,T. Oster,T.J. Oster,Oster,T.J.,2B,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,54,209,810,7.87,111.1%,-0.92,-0.94,12,7
1737,1310590976,W. Barron,Walker Barron,Barron,Walker,C,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,62,242,882,7.87,105.2%,-0.94,-1.26,11,6
1738,1624172059,D. Kenealy,Damion Kenealy,Kenealy,Damion,1B,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,49,215,735,7.88,109.3%,-0.93,-1.83,8,3
1739,1240776448,P. Herrera,Patrick Herrera,Herrera,Patrick,3B,University of Kentucky,UK,5362,Kentucky,BBC,R,R,52,215,815,7.88,105.7%,-0.92,-0.25,6,7
1740,1279285504,L. Walton,Luke Walton,Walton,Luke,LF,University of Toledo,TOL,5388,Toledo,BBC,L,L,61,266,1044,7.90,107.6%,-1.01,-1.27,12,3
1741,1297493248,D. Thompson,Dalen Thompson,Thompson,Dalen,CF,Campbell University,CAMP,730187776,Campbell,BBC,R,R,51,231,839,7.90,107.0%,-0.92,-1.20,8,3
1742,1192263870,C. Chaplain,Cooper Chaplain,Chaplain,Cooper,2B,Little Rock,UALR,730217472,Little Rock,BBC,L,R,61,272,944,7.90,118.3%,-1.02,-1.04,4,0
1743,1100324865,A. Horvath,Andrew Horvath,Horvath,Andrew,C,University of Akron,AKR,540536064,Akron,BBC,R,R,53,236,819,7.92,106.8%,-0.94,-0.18,15,6
1744,1161481670,T. Kirk,Taylor Kirk,Kirk,Taylor,2B,Fordham University,FOR,730324992,Fordham,BBC,R,R,57,270,961,7.92,104.6%,-0.95,-0.56,19,14
1745,1192504064,B. Bevis,Blake Bevis,Bevis,Blake,1B,Ball State University,BALL,730195456,Ball State,BBC,R,R,57,252,915,7.92,123.9%,-0.93,-1.04,3,1
1746,1098311936,C. Morabito,Chris Morabito,Morabito,Chris,LF,Bucknell University,BUCK,730214144,Bucknell,BBC,L,R,44,181,716,7.93,107.1%,-1.02,-1.49,10,2
1747,1301049600,C. Calabrese,Coleman Calabrese,Calabrese,Coleman,1B,James Madison University,JMU,730340096,James Madison,BBC,R,R,55,236,797,7.96,106.5%,-0.93,-1.11,9,4
1748,1152865280,J. Mettam,Jared Mettam,Mettam,Jared,SS,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,54,233,806,7.99,109.3%,-0.92,-1.36,10,2
1749,1132720384,D. Hamilton,Davis Hamilton,Hamilton,Davis,3B,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,54,245,868,8.06,108.5%,-1.04,-1.01,5,3
1750,1093308160,A. Garza,Alejandro Garza,Garza,Alejandro,3B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,295,1015,8.08,104.8%,-0.94,-0.60,18,8
1751,1248737024,I. Webb,Isaac Webb,Webb,Isaac,CF,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,51,231,796,8.10,124.6%,-0.97,-1.17,6,0
1752,1088072448,J. Hogart,Jonathan Hogart,Hogart,Jonathan,CF,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,312,1228,8.11,109.1%,-0.99,-0.95,4,1
1753,1188416000,S. Smith,Sean Smith,Smith,Sean,LF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,47,203,768,8.12,107.4%,-0.96,-0.95,17,5
1754,1108626176,H. Zipay,Henry Zipay,Zipay,Henry,3B,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,L,R,48,225,797,8.13,110.7%,-1.05,-0.41,9,4
1755,1342169316,H. Zenor,Henry Zenor,Zenor,Henry,LF,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,58,281,1070,8.18,105.1%,-1.05,-0.90,15,5
1756,1481789585,J. Dutton,JJ Dutton,Dutton,JJ,RF,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,52,235,842,8.18,108.6%,-0.99,-1.75,9,3
1757,1447316056,C. Greene,Cameron Greene,Greene,Cameron,SS,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,L,R,52,203,788,8.19,133.0%,-1.06,-1.75,8,1
1758,1238969088,C. Bloomer,Chase Bloomer,Bloomer,Chase,SS,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,53,249,843,8.20,109.9%,-0.98,-1.49,10,7
1759,1071999889,M. Ross,Max Ross,Ross,Max,RF,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,R,42,167,658,8.25,108.7%,-1.06,-0.82,11,2
1760,1243478272,D. Mercer,Dustin Mercer,Mercer,Dustin,RF,Murray State University,MURR,730188032,Murray State,BBC,L,L,60,303,1141,8.28,110.3%,-1.07,-0.26,11,4
1761,1625310371,M. McGwire,Max McGwire,McGwire,Max,RF,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,52,216,741,8.30,113.0%,-0.98,-1.38,8,3
1762,1189127680,S. Meier,Steven Meier,Meier,Steven,CF,Troy University,TROY,730378496,Troy,BBC,L,L,57,275,1013,8.33,104.9%,-1.07,-0.16,14,5
1763,1882429176,J. Beebe,Jared Beebe,Beebe,Jared,1B,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,53,263,888,8.34,108.0%,-0.96,-1.10,12,8
1764,1948744121,L. Johnson,Landen Johnson,Johnson,Landen,1B,High Point University,HP,730321152,High Point,BBC,L,L,57,272,1039,8.38,105.3%,-1.08,-0.57,10,6
1765,1178123008,J. Rubin,Justin Rubin,Rubin,Justin,SS,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,54,228,807,8.39,107.3%,-0.98,-1.06,7,6
1766,1695405670,C. Willis,CJ Willis,Willis,CJ,RF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,53,257,920,8.43,117.4%,-0.99,-0.88,7,0
1767,1278316989,J. Sorenson,Jaxon Sorenson,Sorenson,Jaxon,1B,Liberty University,LIB,730156288,Liberty,BBC,L,R,56,254,1045,8.45,105.0%,-1.09,-1.19,16,12
1768,1880556273,B. Edgmon,Blake Edgmon,Edgmon,Blake,3B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,52,216,840,8.49,106.4%,-1.01,-0.84,17,13
1769,1342167003,K. Panganiban,Kyle Panganiban,Panganiban,Kyle,3B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,49,230,812,8.52,107.7%,-1.01,-1.68,9,5
1770,1944131337,W. Waters,Wylie Waters,Waters,Wylie,1B,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,52,214,773,8.54,109.5%,-0.99,-1.28,8,1
1771,1101076736,R. Moroney,Reece Moroney,Moroney,Reece,SS,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,58,287,1194,8.54,104.2%,-1.02,-0.37,13,11
1772,1318612224,E. Brown,Evan Brown,Brown,Evan,3B,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,51,209,711,8.54,109.4%,-1.01,-1.57,13,7
1773,1204037632,C. Pena,Carlos Pena,Pena,Carlos,1B,Indiana State University,INST,730350080,Indiana State,BBC,L,R,55,252,926,8.55,106.5%,-1.10,-0.12,10,4
1774,1117733120,E. Genther,Eric Genther,Genther,Eric,RF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,60,300,1093,8.57,105.6%,-1.10,-1.94,16,9
1775,1083995904,J. Davis,Jakobi Davis,Davis,Jakobi,CF,Cornell University,COR,730298624,Cornell,BBC,L,L,34,148,616,8.58,108.1%,-1.11,-0.30,16,8
1776,1368575942,R. Moody,Reese Moody,Moody,Reese,2B,James Madison University,JMU,730340096,James Madison,BBC,R,R,51,186,672,8.61,107.3%,-1.03,-0.74,11,4
1777,1662602223,J. Ince,Jeffrey Ince,Ince,Jeffrey,2B,Samford University,SAM,730386432,Samford,BBC,S,R,56,274,1029,8.62,106.8%,-1.07,-1.05,17,7
1778,1142418688,A. Dearing,Austin Dearing,Dearing,Austin,LF,Florida International University,FIU,4468,Florida International,BBC,L,R,52,217,823,8.63,109.2%,-1.11,-1.40,12,5
1779,1203265280,P. Engskov,Patrick Engskov,Engskov,Patrick,SS,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,53,228,858,8.64,106.3%,-1.01,-0.59,9,7
1780,1075959040,A. Smith,Austin Smith,Smith,Austin,TWP,University of San Diego,USD,5320,San Diego,BBC,L,L,54,249,797,8.65,107.6%,-1.11,-1.52,15,9
1781,1239326464,E. Brown,Ethan Brown,Brown,Ethan,1B,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,35,155,592,8.67,115.4%,-1.06,-1.26,4,1
1782,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,45,195,823,8.68,107.5%,-1.03,-0.72,15,4
1783,1155638016,E. Saldivar,Eddie Saldivar,Saldivar,Eddie,2B,Fresno State,FRES,730384384,Fresno State,BBC,L,R,58,283,926,8.69,107.2%,-1.12,-2.20,10,7
1784,1857228116,J. Ward,James Ward,Ward,James,3B,Radford University,RAD,730267392,Radford,BBC,R,R,56,260,934,8.69,107.1%,-1.00,-0.97,10,6
1785,1418555165,R. Beheler,Reese Beheler,Beheler,Reese,1B,Lamar University,LAM,730162432,Lamar,BBC,L,R,48,210,780,8.74,108.7%,-1.12,-1.17,11,6
1786,1087834880,Z. Spinn,Zane Spinn,Spinn,Zane,SS,Lamar University,LAM,730162432,Lamar,BBC,L,R,57,259,939,8.76,107.2%,-1.13,-1.68,12,5
1787,1280636850,A. Singer,AJ Singer,Singer,AJ,2B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,64,287,1106,8.77,104.3%,-1.08,-0.81,19,14
1788,1159606016,J. Neff,Jason Neff,Neff,Jason,C,Villanova University,VILL,730278400,Villanova,BBC,R,R,49,217,824,8.77,107.5%,-1.04,-0.46,16,6
1789,1293885714,M. Tanaka,Makani Tanaka,Tanaka,Makani,CF,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,L,R,59,267,1008,8.79,108.5%,-1.13,-1.23,16,15
1790,1253443072,K. Frett,Kishon Frett,Frett,Kishon,LF,Florida International University,FIU,4468,Florida International,BBC,R,R,57,269,1043,8.80,106.2%,-1.04,-2.76,17,7
1791,1990583503,N. Savoie,Nate Savoie,Savoie,Nate,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,53,232,870,8.82,108.1%,-1.07,-1.72,8,5
1792,1287367168,R. Weingartner,Ryan Weingartner,Weingartner,Ryan,SS,Penn State University,PSU,5326,Penn State,BBC,R,R,56,276,1053,8.82,105.7%,-1.06,-1.35,16,10
1793,1627915882,B. Regala,Braden Regala,Regala,Braden,CF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,L,54,228,865,8.90,106.3%,-1.14,-1.00,21,11
1794,1730471649,A. Schnarrs,Ayden Schnarrs,Schnarrs,Ayden,3B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,48,198,770,8.94,105.5%,-1.05,-1.37,20,12
1795,1162594560,M. Williams,Malcolm Williams,Williams,Malcolm,2B,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,46,169,615,8.94,112.9%,-1.09,-1.55,9,2
1796,1297504512,J. Waller,Jackson Waller,Waller,Jackson,CF,University of Nevada,NEV,4784,Nevada,BBC,R,R,57,258,802,8.97,108.9%,-1.08,-1.26,11,7
1797,1310817024,C. Jackson,Core Jackson,Jackson,Core,SS,University of Utah,UTAH,730328320,Utah,BBC,L,R,48,238,861,9.04,108.5%,-1.16,-1.98,7,3
1798,1998981725,K. Smith,Kaden Smith,Smith,Kaden,LF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,50,241,885,9.04,108.0%,-1.13,-0.88,23,13
1799,1428244453,J. Mislan,Jack Mislan,Mislan,Jack,LF,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,45,188,698,9.08,111.5%,-1.08,-1.20,15,8
1800,1204942080,J. Poist,Jack Poist,Poist,Jack,LF,University of Akron,AKR,540536064,Akron,BBC,L,R,50,235,887,9.10,109.0%,-1.17,-0.71,9,4
1801,1336600320,A. Potestio,Anthony Potestio,Potestio,Anthony,SS,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,40,203,808,9.13,106.8%,-1.18,-1.92,11,4
1802,1279331072,L. Vidourek,Landyn Vidourek,Vidourek,Landyn,RF,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,R,52,243,1048,9.15,104.2%,-1.18,-2.18,13,11
1803,1085384960,J. Pokrovsky,Jarrett Pokrovsky,Pokrovsky,Jarrett,RF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,41,188,704,9.22,110.2%,-1.10,-1.14,7,0
1804,1269401344,J. Dilley,Jacob Dilley,Dilley,Jacob,C,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,42,181,685,9.23,108.3%,-1.10,-0.96,12,9
1805,1927468263,J. Cardinale,Joe Cardinale,Cardinale,Joe,CF,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,52,206,751,9.23,108.4%,-1.09,-1.94,7,5
1806,1758367269,T. Lichtenberger,Tyler Lichtenberger,Lichtenberger,Tyler,SS,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,53,234,833,9.26,107.7%,-1.19,-1.81,15,3
1807,1621316682,J. Pagano,Joey Pagano,Pagano,Joey,LF,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,R,46,199,756,9.27,113.7%,-1.19,-0.95,10,3
1808,1259726848,J. Nunez,Julian Nunez,Nunez,Julian,3B,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,53,224,817,9.28,108.1%,-1.11,-1.15,11,5
1809,1137369344,J. Luetzow,Johnny Luetzow,Luetzow,Johnny,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,43,174,642,9.28,109.7%,-1.10,-0.30,7,4
1810,1342169263,P. Gillen,Patrick Gillen,Gillen,Patrick,3B,UNC Asheville,UNCA,1570,UNC Asheville,BBC,L,R,44,173,582,9.30,123.4%,-1.20,-2.03,10,1
1811,1107073280,B. Jacklin,Blake Jacklin,Jacklin,Blake,RF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,R,48,227,923,9.30,105.4%,-1.20,-1.82,13,4
1812,1344799621,S. Christiansen,Sam Christiansen,Christiansen,Sam,RF,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,L,55,231,979,9.33,106.8%,-1.20,-0.42,17,6
1813,1149176320,A. Kanellis,Andrew Kanellis,Kanellis,Andrew,RF,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,259,1033,9.39,106.6%,-1.11,-1.79,8,8
1814,1342169592,J. Skowronski,Josh Skowronski,Skowronski,Josh,LF,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,56,218,880,9.40,108.8%,-1.21,-1.64,5,1
1815,1191396864,T. Googins,Tommy Googins,Googins,Tommy,SS,Princeton University,PRIN,730198784,Princeton,BBC,R,R,40,155,567,9.41,110.1%,-1.14,-1.70,6,3
1816,1150471424,K. Dossa,Kaiden Dossa,Dossa,Kaiden,CF,Yale University,YALE,730334464,Yale,BBC,R,R,45,214,791,9.43,108.8%,-1.14,-0.60,7,6
1817,1576528848,C. Hegwood,Colton Hegwood,Hegwood,Colton,RF,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,R,59,235,901,9.46,107.1%,-1.22,-2.34,13,9
1818,1310781952,K. Freeman,Kaleb Freeman,Freeman,Kaleb,2B,Georgia State University,GAST,730239744,Georgia State,BBC,S,R,56,276,1176,9.46,104.3%,-1.20,-1.86,29,15
1819,1182038272,O. Hull,Owen Hull,Hull,Owen,RF,George Mason University,GMU,730265088,George Mason,BBC,L,R,61,298,1074,9.57,108.0%,-1.23,-0.91,12,7
1820,1214275584,J. Nelson,James Nelson,Nelson,James,RF,Longwood University,LONG,730219264,Longwood,BBC,L,L,50,226,802,9.58,110.4%,-1.23,-1.78,10,5
1821,1635128394,D. Rogers,Daniel Rogers,Rogers,Daniel,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,54,218,897,9.62,105.4%,-1.24,-1.65,11,7
1822,1279295744,G. Greger,Gavin Greger,Greger,Gavin,CF,Bryant University,BRY,730266880,Bryant,BBC,L,L,52,232,766,9.62,115.2%,-1.24,-1.64,14,4
1823,1342167149,J. Ferguson,Jake Ferguson,Ferguson,Jake,SS,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,40,170,653,9.70,114.6%,-1.16,-1.27,11,5
1824,1314586953,S. McCulloch,Sean McCulloch,McCulloch,Sean,LF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,55,275,1070,9.72,117.3%,-1.25,-1.15,9,1
1825,1892466609,C. Crowley,Colin Crowley,Crowley,Colin,3B,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,55,215,830,9.74,107.0%,-1.25,-1.29,14,7
1826,1123951360,K. McIntosh,Kyler McIntosh,McIntosh,Kyler,TWP,Alabama State University,ALST,4765,Alabama State,BBC,R,R,58,253,768,9.74,119.8%,-1.16,-1.36,8,1
1827,1342170960,C. Diaz,Chris Diaz,Diaz,Chris,RF,Marist College,MRST,730374656,Marist,BBC,L,L,50,198,772,9.76,128.5%,-1.26,-1.04,8,0
1828,1093141248,T. Rhoades,Ty Rhoades,Rhoades,Ty,3B,Little Rock,UALR,730217472,Little Rock,BBC,L,R,60,269,979,9.81,121.2%,-1.26,-1.56,9,1
1829,1712724103,C. Husser,Collin Husser,Husser,Collin,RF,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,43,170,694,9.82,111.1%,-1.18,-2.00,10,5
1830,1287384576,J. Smith,Jayden Smith,Smith,Jayden,CF,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,53,256,851,9.83,111.4%,-1.18,0.25,11,5
1831,1342169604,H. Warren,Hunter Warren,Warren,Hunter,2B,Wright State University,WRST,5390,Wright State,BBC,R,R,61,299,1040,9.85,107.5%,-1.20,-0.60,17,7
1832,1182004481,B. Nace,Breckin Nace,Nace,Breckin,TWP,Radford University,RAD,730267392,Radford,BBC,L,L,51,232,902,9.86,107.1%,-1.27,-1.48,17,6
1833,1262664192,K. Milewski,Kevin Milewsky,Milewski,Kevin,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,52,233,923,9.88,112.0%,-1.16,-0.57,11,5
1834,1830600232,B. Linker,Brody Linker,Linker,Brody,SS,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,47,169,647,9.89,110.5%,-1.17,-1.59,14,4
1835,1370565674,C. Beck,Carter Beck,Beck,Carter,CF,Indiana State University,INST,730350080,Indiana State,BBC,L,R,55,264,923,9.90,107.4%,-1.28,-1.74,8,3
1836,1280568832,J. Gustafson,Jaden Gustafson,Gustafson,Jaden,LF,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,54,208,811,9.90,108.0%,-1.27,-1.21,10,1
1837,1550044575,R. Skjonsby,Ryan Skjonsby,Skjonsby,Ryan,1B,Washington State University,WSU,4505,Washington State,BBC,L,R,51,219,904,9.96,112.4%,-1.28,-1.05,7,2
1838,1172422144,J. Thompson,Jackson Thompson,Thompson,Jackson,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,48,178,750,9.96,106.6%,-1.26,-0.80,13,5
1839,1198577152,K. Kropf,Koby Kropf,Kropf,Koby,RF,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,49,234,873,9.98,111.1%,-1.19,-2.03,13,8
1840,1093146112,C. Mizell,Coleman Mizell,Mizell,Coleman,LF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,48,192,794,10.01,107.1%,-1.29,-1.90,14,3
1841,1312343296,A. Shibley,Alan Shibley,Shibley,Alan,RF,Texas State University,TXST,5420,Texas State,BBC,L,R,44,180,738,10.06,107.1%,-1.30,-2.51,13,7
1842,1272581376,C. Schuchart,Chris Schuchart,Schuchart,Chris,1B,Davidson College,DAV,730363136,Davidson,BBC,R,R,50,204,722,10.09,111.1%,-1.22,-1.62,13,5
1843,1162228480,B. Slanker,Ben Slanker,Slanker,Ben,RF,Ohio University,OHIO,730298368,Ohio,BBC,L,R,50,239,994,10.11,124.1%,-1.30,-1.42,12,4
1844,1303497984,C. Granatell,Charlie Granatell,Granatell,Charlie,LF,Elon University,ELON,730252544,Elon,BBC,R,L,55,240,933,10.13,104.6%,-1.21,-0.34,10,2
1845,1287073536,A. Zorn,Adin Zorn,Zorn,Adin,LF,University of Dayton,DAY,730194688,Dayton,BBC,R,R,58,259,871,10.14,112.4%,-1.21,-0.96,7,2
1846,1074012160,T. Rice,Trent Rice,Rice,Trent,CF,Oakland University,OAK,5386,Oakland,BBC,R,R,55,223,856,10.14,106.7%,-1.25,-0.33,13,8
1847,1167328256,M. Dieguez,Matthew Dieguez,Dieguez,Matthew,1B,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,252,891,10.16,109.7%,-1.22,-0.17,19,7
1848,1279297280,C. Scanlon,Christian Scanlon,Scanlon,Christian,RF,Merrimack College,MRMK,730295552,Merrimack,BBC,L,L,49,205,807,10.19,141.1%,-1.31,-1.74,8,0
1849,1334280704,B. North,Ben North,North,Ben,SS,Creighton University,CREI,730243840,Creighton,BBC,R,R,59,278,1061,10.22,106.5%,-1.20,-2.00,14,6
1850,1085399040,L. Meola,Lorenzo Meola,Meola,Lorenzo,SS,Stetson University,STET,730261504,Stetson,BBC,R,R,56,256,983,10.25,107.0%,-1.23,-1.70,11,8
1851,1291203328,C. McChesney,Crew McChesney,McChesney,Crew,CF,Brigham Young University,BYU,730257152,BYU,BBC,L,R,52,242,927,10.29,108.2%,-1.33,-0.63,12,5
1852,1178187520,A. Dewberry,Amman Dewberry,Dewberry,Amman,RF,Presbyterian College,PRE,730184192,Presbyterian,BBC,L,L,51,196,663,10.29,118.5%,-1.32,-1.61,10,2
1853,1220509440,A. Saunier,Alexander Saunier,Saunier,Alexander,CF,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,46,193,686,10.29,116.1%,-1.32,-2.15,9,3
1854,1310950144,S. Scanlon,Sean Scanlon,Scanlon,Sean,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,58,265,1128,10.30,109.6%,-1.33,-1.65,10,6
1855,1342166796,C. Saul,Charlie Saul,Saul,Charlie,RF,Bryant University,BRY,730266880,Bryant,BBC,R,R,49,192,689,10.30,114.6%,-1.23,-1.41,10,3
1856,1260432896,B. Duroff,Brian Duroff,Duroff,Brian,LF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,51,206,713,10.32,112.5%,-1.22,-1.30,8,3
1857,1204892672,B. Kim,Ben Kim,Kim,Ben,LF,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,R,52,184,503,10.35,142.0%,-1.32,-1.27,8,0
1858,1185610752,Z. Peters,Zach Peters,Peters,Zach,RF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,54,226,872,10.38,109.4%,-1.23,-1.33,16,9
1859,1202725120,L. Knight,Lawson Knight,Knight,Lawson,CF,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,50,177,689,10.38,115.6%,-1.24,-0.98,5,1
1860,1279356928,C. Cahill,Cole Cahill,Cahill,Cole,1B,University of Toledo,TOL,5388,Toledo,BBC,L,L,60,250,886,10.45,111.4%,-1.35,-1.22,11,4
1861,1153713664,B. Vondohlen,Brett Vondohlen,Vondohlen,Brett,1B,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,237,817,10.45,114.2%,-1.27,-1.05,11,5
1862,1661336148,D. Toigo,Dean Toigo,Toigo,Dean,RF,UNLV,UNLV,730161664,UNLV,BBC,L,R,54,255,931,10.52,109.8%,-1.35,-1.15,12,6
