Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/PA,MxPPA,CompLoc%,NonCompLoc%
539,1084399872,D. Parker Jr.,Darnell Parker Jr.,Parker Jr.,Darnell,SS,Campbell University,CAMP,730187776,Campbell,BBC,R,R,54,255,885,55.1%,30.1%,69.9%,63.5%,33.0%,36.9%,44.1%,35.7%,18.3%,16.6%,3.47,10,75.1%,24.9%
540,1303416064,R. Rogers,Raffaele Rogers,Rogers,Raffaele,3B,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,46,194,754,36.1%,24.6%,75.4%,56.6%,40.1%,35.3%,44.1%,20.7%,32.2%,8.9%,3.89,9,75.3%,24.7%
541,1427963561,B. Castelli,Ben Castelli,Castelli,Ben,2B,California Baptist University,CBU,5091,California Baptist,BBC,L,R,56,242,922,43.7%,28.0%,72.0%,59.9%,36.7%,35.2%,44.1%,24.6%,28.7%,12.3%,3.81,9,77.1%,22.9%
542,1110077952,W. Zapp,Walker Zapp,Zapp,Walker,C,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,51,231,845,42.4%,24.3%,75.7%,57.4%,43.3%,32.4%,44.1%,19.5%,26.1%,10.3%,3.66,8,72.9%,27.1%
543,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,62,271,1012,45.0%,22.2%,77.8%,58.5%,44.8%,33.0%,44.1%,22.0%,24.5%,10.0%,3.73,12,79.8%,20.2%
544,1074064384,B. Rounds,Ben Rounds,Rounds,Ben,LF,Duke University,DUKE,730336256,Duke,BBC,L,R,58,262,1054,39.1%,30.1%,69.9%,56.0%,37.1%,32.8%,44.1%,17.8%,27.7%,11.8%,4.02,10,79.1%,20.9%
545,1107073280,B. Jacklin,Blake Jacklin,Jacklin,Blake,RF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,R,48,227,923,38.0%,13.7%,86.3%,58.1%,47.6%,38.7%,44.1%,18.8%,32.3%,5.2%,4.07,13,79.9%,20.1%
546,1336577280,C. Hacopian,Christopher Hacopian,Hacopian,Christopher,SS,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,52,249,918,37.1%,15.0%,85.0%,54.5%,51.9%,33.1%,44.1%,17.5%,27.6%,5.6%,3.69,8,75.6%,24.4%
547,1263439360,R. Burnett,Robbie Burnett,Burnett,Robbie,RF,University of Georgia,UGA,226,Georgia,BBC,L,R,56,256,1034,40.7%,27.1%,72.9%,56.6%,33.5%,39.4%,44.1%,22.2%,26.8%,11.0%,4.04,10,78.1%,21.9%
548,1135898880,K. Lewis,Kade Lewis,Lewis,Kade,3B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,R,60,282,1088,41.4%,22.0%,78.0%,57.9%,41.3%,36.7%,44.1%,22.6%,28.2%,9.1%,3.86,9,77.1%,22.9%
549,1172422144,J. Thompson,Jackson Thompson,Thompson,Jackson,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,48,178,750,32.1%,17.8%,82.2%,55.2%,46.9%,35.3%,44.1%,14.7%,34.0%,5.7%,4.21,9,79.7%,20.3%
550,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,48,205,858,39.3%,30.6%,69.4%,56.5%,35.0%,34.4%,44.1%,20.6%,28.4%,12.0%,4.19,8,76.1%,23.9%
551,1310534656,J. Koonin,Jake Koonin,Koonin,Jake,2B,Princeton University,PRIN,730198784,Princeton,BBC,R,R,43,200,745,46.8%,28.9%,71.1%,61.3%,34.4%,36.7%,44.1%,26.7%,27.1%,13.6%,3.73,10,74.9%,25.1%
552,1310862337,C. Brunson,Chase Brunson,Brunson,Chase,CF,Texas Christian University,TCU,5045,TCU,BBC,R,R,58,258,966,43.1%,18.3%,81.7%,61.9%,46.2%,35.6%,44.1%,25.3%,33.1%,7.9%,3.74,11,79.4%,20.6%
553,1334280704,B. North,Ben North,North,Ben,SS,Creighton University,CREI,730243840,Creighton,BBC,R,R,59,278,1061,42.3%,24.7%,75.3%,60.5%,39.6%,35.6%,44.1%,22.1%,31.5%,10.5%,3.82,12,77.7%,22.3%
554,1153058048,J. Pierantoni,Jeff Pierantoni,Pierantoni,Jeff,SS,Yale University,YALE,730334464,Yale,BBC,L,R,45,188,648,46.9%,14.1%,85.9%,61.7%,46.7%,39.1%,44.1%,27.4%,27.9%,6.6%,3.45,9,77.1%,22.9%
555,1263499009,N. Leehey,Nick Leehey,Leehey,Nick,2B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,43,175,649,41.3%,21.6%,78.4%,62.3%,44.0%,34.3%,44.1%,23.9%,35.4%,8.9%,3.71,10,77.0%,23.0%
556,1679882311,L. Alberti,Lucas Alberti,Alberti,Lucas,LF,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,291,1073,35.7%,22.7%,77.3%,56.8%,49.9%,27.4%,44.1%,17.9%,32.5%,8.1%,3.69,8,76.6%,23.4%
557,1283569920,C. McMurray,Cooper McMurray,McMurray,Cooper,1B,Auburn University,AUB,5466,Auburn,BBC,L,L,61,281,1152,43.1%,26.6%,73.4%,60.5%,34.3%,39.1%,44.1%,27.4%,29.9%,11.5%,4.10,11,79.4%,20.6%
558,1141524480,T. Schreck,Thomas Schreck,Schreck,Thomas,SS,Army West Point,ARMY,4744,Army,BBC,R,R,50,201,723,41.2%,20.5%,79.5%,59.5%,44.0%,35.6%,44.1%,25.8%,31.1%,8.4%,3.60,10,74.0%,26.0%
559,1153410304,R. Zuckerman,Ryan Zuckerman,Zuckerman,Ryan,3B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,55,255,999,44.6%,39.2%,60.8%,61.2%,30.7%,30.0%,44.2%,26.4%,29.8%,17.5%,3.92,9,77.0%,23.0%
560,1143051776,B. Boser,Bobby Boser,Boser,Bobby,3B,University of Florida,FLA,730168320,Florida,BBC,R,R,61,287,1063,47.0%,29.6%,70.4%,62.1%,34.2%,36.2%,44.2%,28.4%,28.4%,13.9%,3.70,9,77.1%,22.9%
561,1184439808,E. Lambros,Elijah Lambros,Lambros,Elijah,CF,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,55,236,858,38.2%,21.3%,78.7%,57.6%,46.3%,32.3%,44.2%,20.3%,31.3%,8.2%,3.64,9,76.3%,23.7%
562,1303532033,J. Ragsdale,Josiah Ragsdale,Ragsdale,Josiah,CF,Boston College,BC,227,Boston College,BBC,L,L,56,250,942,41.0%,18.9%,81.1%,57.6%,41.2%,39.9%,44.2%,20.9%,28.2%,7.7%,3.77,9,77.6%,22.4%
563,1072858790,J. Jelic,Jason Jelic,Jelic,Jason,C,Xavier University,XAV,5464,Xavier,BBC,L,R,57,222,937,44.1%,35.6%,64.4%,59.3%,27.1%,37.3%,44.2%,23.6%,27.2%,15.7%,4.22,11,77.4%,22.6%
564,1238031872,J. Lambdin,Jake Lambdin,Lambdin,Jake,SS,Xavier University,XAV,5464,Xavier,BBC,R,R,59,276,1105,42.6%,24.8%,75.2%,60.8%,37.4%,37.8%,44.2%,27.2%,31.7%,10.6%,4.00,10,78.1%,21.9%
565,1264072192,M. Echazarreta,Miggy Echazarreta,Echazarreta,Miggy,RF,High Point University,HP,730321152,High Point,BBC,L,R,53,254,1109,27.8%,13.3%,86.7%,51.9%,48.4%,38.3%,44.2%,10.9%,33.2%,3.7%,4.37,10,78.7%,21.3%
565,1624172059,D. Kenealy,Damion Kenealy,Kenealy,Damion,1B,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,49,215,735,48.7%,20.1%,79.9%,64.6%,45.5%,34.4%,44.2%,30.3%,30.9%,9.8%,3.42,8,76.7%,23.3%
565,1422693397,M. Marin,Manny Marin,Marin,Manny,3B,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,58,177,604,52.8%,22.3%,77.7%,68.0%,38.6%,39.2%,44.2%,37.8%,32.0%,11.8%,3.41,11,76.2%,23.8%
568,1211548416,J. Schroeder,Jacob Schroeder,Schroeder,Jacob,C,University of Illinois,ILL,730163456,Illinois,BBC,R,R,43,163,628,43.8%,30.2%,69.8%,59.9%,34.5%,35.3%,44.2%,23.2%,28.6%,13.2%,3.85,10,78.5%,21.5%
569,1162503168,J. Tobias,Jacob Tobias,Tobias,Jacob,1B,Arizona State University,ASU,5035,Arizona State,BBC,L,R,60,276,1017,42.5%,18.1%,81.9%,58.4%,48.6%,33.3%,44.2%,22.6%,27.7%,7.7%,3.68,9,77.8%,22.2%
570,1328897569,T. Kiel II,Terrence Kiel II,Kiel II,Terrence,RF,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,55,233,851,40.0%,24.4%,75.6%,59.3%,45.3%,30.3%,44.2%,21.0%,32.3%,9.8%,3.65,10,80.1%,19.9%
571,1224615998,A. Beltre,AJ Beltre,Beltre,AJ,3B,University of San Diego,USD,5320,San Diego,BBC,R,R,44,180,669,42.6%,18.6%,81.4%,62.2%,45.6%,35.8%,44.2%,30.5%,34.1%,7.9%,3.72,9,73.6%,26.4%
572,1294956544,K. Dickerson,Korbyn Dickerson,Dickerson,Korbyn,CF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,56,271,980,46.9%,23.9%,76.1%,60.8%,42.0%,34.1%,44.2%,27.0%,26.2%,11.2%,3.62,9,77.5%,22.5%
573,1207913472,C. Hoiland,Cam Hoiland,Hoiland,Cam,RF,Cal Poly,CP,5487,Cal Poly,BBC,L,L,54,178,633,48.5%,27.7%,72.3%,63.8%,42.7%,29.6%,44.2%,29.0%,29.8%,13.4%,3.56,8,78.2%,21.8%
573,1233812992,D. Kordic,Dylan Kordic,Kordic,Dylan,RF,Cal Poly,CP,5487,Cal Poly,BBC,L,R,58,239,905,45.0%,25.3%,74.7%,62.5%,39.1%,35.6%,44.2%,27.0%,31.9%,11.4%,3.79,9,79.1%,20.9%
575,1774937559,T. Head,Ty Head,Head,Ty,CF,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,56,243,1018,34.5%,15.1%,84.9%,57.9%,45.6%,39.3%,44.2%,19.1%,35.7%,5.2%,4.19,10,81.0%,19.0%
576,1125632993,A. Groeneveld,AJ Groeneveld,Groeneveld,AJ,RF,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,50,190,751,41.3%,24.2%,75.8%,58.6%,39.0%,36.8%,44.2%,22.1%,29.3%,10.0%,3.95,8,79.6%,20.4%
577,1158010112,S. Biller,Sam Biller,Biller,Sam,LF,University of Connecticut,CONN,5486,Connecticut,BBC,L,L,58,249,921,41.7%,19.5%,80.5%,57.0%,43.5%,37.0%,44.2%,22.6%,26.1%,8.1%,3.70,10,79.0%,21.0%
578,1334269952,C. Hendrickson,Carter Hendrickson,Hendrickson,Carter,LF,Xavier University,XAV,5464,Xavier,BBC,R,L,59,278,1029,41.3%,17.4%,82.6%,56.2%,45.6%,36.9%,44.3%,17.8%,25.3%,7.2%,3.70,10,78.9%,21.1%
579,1743442959,N. Francuzenko,Nich Francuzenko,Francuzenko,Nich,1B,Towson University,TOWS,730318336,Towson,BBC,L,R,44,165,619,38.3%,13.9%,86.1%,56.4%,49.8%,36.3%,44.3%,16.9%,28.8%,5.3%,3.75,9,79.3%,20.7%
580,1908193693,C. Lofton,Cecil Lofton,Lofton,Cecil,1B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,54,246,898,41.0%,22.6%,77.4%,57.0%,47.6%,29.9%,44.3%,20.2%,26.9%,9.2%,3.65,9,69.3%,30.7%
581,1196790784,G. Gallaher,Gavin Gallaher,Gallaher,Gavin,3B,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,61,281,1060,44.4%,21.9%,78.1%,58.8%,42.0%,36.1%,44.3%,21.9%,25.8%,9.7%,3.77,9,76.7%,23.3%
582,1342170039,C. Calvillo,Cameron Calvillo,Calvillo,Cameron,3B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,38,125,438,46.8%,15.6%,84.4%,64.2%,49.3%,35.1%,44.3%,28.8%,32.6%,7.3%,3.50,10,77.1%,22.9%
583,1309426944,C. Wallace,Colby Wallace,Wallace,Colby,RF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,L,47,152,610,38.7%,33.1%,66.9%,57.5%,33.1%,33.9%,44.3%,19.6%,29.8%,12.8%,4.01,9,76.2%,23.8%
584,1762898844,B. Torres,Boston Torres,Torres,Boston,LF,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,53,255,1060,33.6%,15.4%,84.6%,54.3%,46.3%,38.2%,44.3%,15.3%,30.9%,5.2%,4.16,9,76.3%,23.7%
585,1083611136,W. Clark,Wallace Clark,Clark,Wallace,SS,Duke University,DUKE,730336256,Duke,BBC,S,R,60,302,1169,38.2%,14.1%,85.9%,54.6%,43.4%,42.5%,44.3%,17.1%,26.5%,5.4%,3.87,10,78.1%,21.9%
586,1354195973,M. Lipsey,Marshall Lipsey,Lipsey,Marshall,CF,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,R,57,262,983,40.5%,29.4%,70.6%,55.4%,36.9%,33.7%,44.3%,18.7%,25.1%,11.9%,3.75,9,73.9%,26.1%
587,1273211648,E. Lizama,Ethan Lizama,Lizama,Ethan,RF,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,L,60,265,980,54.6%,20.6%,79.4%,65.7%,35.7%,43.7%,44.3%,36.0%,24.3%,11.2%,3.70,10,78.4%,21.6%
588,1123979264,J. Moroknek,Jack Moroknek,Moroknek,Jack,RF,Butler University,BUT,730283520,Butler,BBC,L,R,54,253,934,45.3%,19.4%,80.6%,61.8%,42.8%,37.8%,44.3%,28.5%,30.1%,8.8%,3.69,10,75.1%,24.9%
589,1226688256,J. Jaconski,Joe Jaconski,Jaconski,Joe,2B,Penn State University,PSU,5326,Penn State,BBC,L,R,56,257,1013,41.9%,27.1%,72.9%,59.7%,38.7%,34.2%,44.3%,24.8%,30.7%,11.4%,3.94,9,78.5%,21.5%
590,1573312151,R. Watson,Rex Watson,Watson,Rex,RF,University of San Diego,USD,5320,San Diego,BBC,L,L,54,234,890,48.7%,27.3%,72.7%,62.7%,35.8%,37.0%,44.3%,30.2%,27.4%,13.3%,3.80,10,76.8%,23.2%
591,1172414720,J. Osterhouse,Justin Osterhouse,Osterhouse,Justin,2B,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,52,243,895,45.6%,24.5%,75.5%,58.8%,38.2%,37.3%,44.3%,24.5%,24.2%,11.2%,3.68,9,74.0%,26.0%
592,1238196480,T. Curless,Tristan Curless,Curless,Tristan,TWP,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,L,50,203,817,44.4%,27.8%,72.2%,61.8%,35.8%,36.4%,44.3%,26.2%,31.1%,12.4%,4.02,11,79.1%,20.9%
593,1162384896,G. Fitzwater,Grayson Fitzwater,Fitzwater,Grayson,1B,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,52,253,951,41.9%,19.6%,80.4%,57.2%,44.2%,36.2%,44.3%,24.7%,26.2%,8.2%,3.76,8,76.0%,24.0%
594,1490768402,P. Lucas,Preston Lucas,Lucas,Preston,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,58,243,985,42.4%,18.4%,81.6%,60.6%,38.0%,43.5%,44.3%,21.6%,31.6%,7.8%,4.05,11,77.2%,22.8%
595,1310307840,M. Elko,Michael Elko,Elko,Michael,2B,University of Richmond,RICH,730171904,Richmond,BBC,L,R,45,186,687,39.7%,14.7%,85.3%,57.2%,48.0%,37.4%,44.3%,14.1%,28.0%,5.8%,3.69,10,78.2%,21.8%
596,1432662328,C. Malamazian,Cooper Malamazian,Malamazian,Cooper,3B,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,50,199,741,43.9%,27.1%,72.9%,61.7%,37.8%,35.1%,44.3%,28.2%,31.7%,11.9%,3.72,8,77.3%,22.7%
597,1310332928,R. Helfrick,Ryder Helfrick,Helfrick,Ryder,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,61,236,936,43.9%,30.4%,69.6%,59.3%,35.0%,34.5%,44.3%,21.2%,27.4%,13.4%,3.97,9,78.5%,21.5%
598,1297014272,T. Acker,Ty Acker,Acker,Ty,3B,George Washington University,GW,730249216,George Washington,BBC,L,R,48,204,709,47.5%,23.4%,76.6%,62.7%,41.8%,34.7%,44.3%,29.9%,28.8%,11.1%,3.48,8,78.4%,21.6%
599,1310816256,T. Oster,T.J. Oster,Oster,T.J.,2B,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,54,209,810,49.6%,23.6%,76.4%,63.5%,35.8%,40.5%,44.3%,30.1%,27.5%,11.7%,3.88,11,76.3%,23.7%
600,1221857536,K. Hess,Kyle Hess,Hess,Kyle,2B,Creighton University,CREI,730243840,Creighton,BBC,L,R,52,215,883,30.8%,15.4%,84.6%,53.9%,44.1%,40.4%,44.3%,11.3%,33.3%,4.8%,4.11,9,79.5%,20.5%
601,1812663219,J. Janicki,Jimmy Janicki,Janicki,Jimmy,3B,Troy University,TROY,730378496,Troy,BBC,R,R,54,229,920,38.3%,13.6%,86.4%,61.5%,47.7%,38.6%,44.3%,22.0%,36.8%,5.2%,4.02,12,79.7%,20.3%
602,1297514496,J. Rinehart,Jace Rinehart,Rinehart,Jace,LF,West Virginia University,WVU,5327,West Virginia,BBC,R,R,57,221,793,49.9%,21.2%,78.8%,64.9%,41.7%,37.1%,44.3%,32.9%,28.9%,10.6%,3.59,10,76.7%,23.3%
603,1361665055,E. Espinal,Edian Espinal,Espinal,Edian,2B,University of Central Florida,UCF,730256640,Central Florida,BBC,S,R,51,224,824,41.5%,18.7%,81.3%,60.4%,46.8%,34.5%,44.3%,22.5%,32.4%,7.8%,3.68,8,78.8%,21.2%
604,1239336704,M. Ocko,Madden Ocko,Ocko,Madden,1B,Fordham University,FOR,730324992,Fordham,BBC,R,R,53,225,865,39.7%,19.8%,80.2%,57.8%,43.4%,36.7%,44.4%,18.6%,30.1%,7.9%,3.84,8,72.8%,27.2%
605,1212113408,A. Wiggins,Andrew Wiggins,Wiggins,Andrew,RF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,43,183,780,29.9%,22.7%,77.3%,52.3%,42.1%,35.2%,44.4%,11.8%,32.0%,6.8%,4.26,8,79.4%,20.6%
606,1141495808,K. Snell,Kade Snell,Snell,Kade,LF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,58,261,856,43.3%,11.1%,88.9%,58.4%,53.6%,35.3%,44.4%,19.2%,26.6%,4.8%,3.28,8,79.7%,20.3%
607,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,46,208,798,49.7%,35.5%,64.5%,63.6%,31.0%,33.5%,44.4%,30.2%,25.5%,17.7%,3.84,11,76.4%,23.6%
608,1118859776,M. Spear,Matt Spear,Spear,Matt,C,University of Michigan,MICH,2290,Michigan,BBC,L,R,47,146,619,37.8%,23.1%,76.9%,58.0%,38.0%,38.9%,44.4%,18.5%,32.5%,8.7%,4.24,10,79.9%,20.1%
609,1279684864,W. French,Wil French,French,Wil,1B,Arkansas State University,ARST,730290176,Arkansas State,BBC,S,R,54,251,997,42.0%,13.4%,86.6%,58.1%,44.2%,42.5%,44.4%,20.6%,27.7%,5.6%,3.97,9,78.8%,21.2%
610,1207820032,Z. Ruddell,Zeb Ruddell,Ruddell,Zeb,LF,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,51,210,843,39.1%,22.4%,77.6%,57.5%,39.1%,38.5%,44.4%,19.8%,30.2%,8.8%,4.01,10,76.8%,23.2%
611,1251692544,B. Evans,Brayden Evans,Evans,Brayden,LF,Lamar University,LAM,730162432,Lamar,BBC,L,L,56,275,1028,47.3%,24.3%,75.7%,61.0%,36.8%,38.9%,44.4%,25.8%,25.9%,11.5%,3.74,8,75.4%,24.6%
612,1132591172,J. Walker,Jayden Walker,Walker,Jayden,1B,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,L,L,52,229,820,41.8%,17.5%,82.5%,56.4%,48.4%,34.1%,44.4%,21.5%,23.7%,7.3%,3.58,11,76.0%,24.0%
613,1097597952,C. Carr,Cade Carr,Carr,Cade,C,Samford University,SAM,730386432,Samford,BBC,R,R,56,258,941,45.4%,26.0%,74.0%,61.8%,40.5%,33.5%,44.4%,26.8%,29.4%,11.8%,3.65,10,77.6%,22.4%
614,1142659584,C. Paetow,Carson Paetow,Paetow,Carson,RF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,63,286,1155,41.6%,32.3%,67.7%,58.1%,34.2%,33.5%,44.4%,24.6%,28.3%,13.4%,4.04,10,77.8%,22.2%
615,1336539648,B. Durand,Brandyn Durand,Durand,Brandyn,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,51,219,792,52.5%,34.1%,65.9%,65.5%,33.4%,32.5%,44.4%,33.2%,26.9%,17.9%,3.62,9,76.3%,23.7%
616,1259825664,M. Dattalo,Michael Dattalo,Dattalo,Michael,3B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,59,270,1026,37.7%,13.2%,86.8%,60.4%,49.6%,37.2%,44.4%,22.7%,36.4%,5.0%,3.80,10,79.6%,20.4%
617,1093954304,M. Trommer,Michael Trommer,Trommer,Michael,3B,Bucknell University,BUCK,730214144,Bucknell,BBC,L,R,40,178,727,44.7%,36.0%,64.0%,59.2%,31.4%,32.6%,44.4%,20.9%,26.2%,16.1%,4.08,8,76.9%,23.1%
618,1190621184,D. Dickinson,Daniel Dickinson,Dickinson,Daniel,2B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,305,1265,38.3%,19.0%,81.0%,60.1%,41.2%,39.8%,44.4%,24.3%,35.2%,7.3%,4.15,11,78.2%,21.8%
619,1297547264,T. Kamaka,Titan Kamaka,Kamaka,Titan,2B,Mercer University,MER,730240512,Mercer,BBC,R,R,52,234,884,46.7%,19.6%,80.4%,62.6%,39.7%,40.7%,44.4%,28.7%,29.5%,9.2%,3.78,10,76.3%,23.7%
620,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,52,233,897,42.4%,19.7%,80.3%,56.5%,38.2%,42.1%,44.4%,18.1%,24.6%,8.4%,3.85,10,77.6%,22.4%
621,1323828224,A. DeMartino,Alec DeMartino,DeMartino,Alec,RF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,57,248,996,43.5%,25.6%,74.4%,60.9%,35.1%,39.3%,44.4%,23.3%,30.9%,11.1%,4.02,9,77.2%,22.8%
622,1139944960,R. Niedzwiedz,Ryan Niedzwiedz,Niedzwiedz,Ryan,1B,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,L,R,53,243,964,41.1%,19.4%,80.6%,59.3%,43.9%,36.6%,44.4%,24.6%,31.0%,8.0%,3.97,12,77.6%,22.4%
623,1336580864,C. Cohn,Cooper Cohn,Cohn,Cooper,3B,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,49,184,745,39.9%,24.9%,75.1%,58.4%,36.0%,39.1%,44.4%,22.3%,30.3%,9.9%,4.05,10,74.8%,25.2%
624,1297587968,J. West,Jaxson West,West,Jaxson,C,Florida State University,FSU,101,Florida State,BBC,L,R,46,188,710,38.2%,9.6%,90.4%,56.7%,51.3%,39.1%,44.4%,18.9%,28.6%,3.7%,3.78,10,76.9%,23.1%
624,1310893312,H. Didawick,Harrison Didawick,Didawick,Harrison,LF,University of Virginia,UVA,5415,Virginia,BBC,L,L,44,167,648,45.4%,27.9%,72.1%,59.7%,38.8%,33.3%,44.4%,25.4%,26.3%,12.7%,3.88,8,76.5%,23.5%
624,1255817984,G. Palfrey,Griffin Palfrey,Palfrey,Griffin,TWP,Columbia University,CLMB,730319104,Columbia,BBC,R,R,49,238,850,45.6%,15.7%,84.3%,60.9%,44.8%,39.4%,44.4%,25.2%,28.1%,7.2%,3.57,12,76.7%,23.3%
624,1263164416,A. Haller,Austin Haller,Haller,Austin,2B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,R,50,177,743,37.6%,11.1%,88.9%,57.5%,44.8%,44.1%,44.4%,19.3%,31.9%,4.2%,4.20,11,80.8%,19.2%
624,1093167104,K. Douglas,Kameron Douglas,Douglas,Kameron,TWP,Alabama State University,ALST,4765,Alabama State,BBC,R,R,59,277,1089,37.3%,29.6%,70.4%,59.3%,44.3%,26.1%,44.4%,21.9%,33.0%,11.0%,3.93,9,77.2%,22.8%
624,1273287680,B. Calise,Braden Calise,Calise,Braden,2B,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,49,223,821,38.9%,10.0%,90.0%,60.5%,52.4%,37.6%,44.4%,20.9%,35.5%,3.9%,3.68,10,81.0%,19.0%
624,1226350592,M. Artzberger,Michelle Artzberger,Artzberger,Michelle,1B,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,L,55,225,831,45.6%,16.6%,83.4%,64.3%,45.4%,38.0%,44.4%,29.0%,32.9%,7.6%,3.69,9,80.1%,19.9%
624,1878886460,F. Apple,Foster Apple,Apple,Foster,LF,Stetson University,STET,730261504,Stetson,BBC,R,R,59,255,978,39.6%,23.3%,76.7%,60.3%,47.0%,29.7%,44.4%,23.0%,33.8%,9.2%,3.84,8,75.5%,24.5%
632,1544322135,B. Corn,Brayden Corn,Corn,Brayden,CF,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,57,273,1001,42.6%,21.8%,78.2%,60.9%,42.0%,36.2%,44.5%,21.7%,32.0%,9.3%,3.67,8,76.2%,23.8%
633,1892466609,C. Crowley,Colin Crowley,Crowley,Colin,3B,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,55,215,830,38.3%,17.3%,82.7%,57.5%,43.7%,39.0%,44.5%,18.4%,31.1%,6.6%,3.86,10,76.7%,23.3%
634,1867846711,C. Robertson,Creek Robertson,Robertson,Creek,SS,University of Memphis,MEM,730172160,Memphis,BBC,R,R,54,203,788,49.9%,31.3%,68.7%,65.8%,30.0%,38.7%,44.5%,32.5%,31.3%,15.6%,3.88,11,78.1%,21.9%
635,1594044353,N. Lovarco,Nick Lovarco,Lovarco,Nick,RF,Monmouth University,MONM,4164,Monmouth,BBC,R,R,50,196,695,42.7%,25.9%,74.1%,61.5%,44.1%,30.0%,44.5%,24.7%,32.1%,11.1%,3.55,11,76.0%,24.0%
636,1126855680,B. Cavill,Blake Cavill,Cavill,Blake,1B,Troy University,TROY,730378496,Troy,BBC,L,R,58,280,1216,30.5%,18.9%,81.1%,53.3%,39.6%,41.5%,44.5%,12.7%,32.5%,5.8%,4.34,10,76.3%,23.7%
637,1306877184,K. Miller,Kameron Miller,Miller,Kameron,1B,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,47,217,926,35.7%,26.9%,73.1%,55.2%,34.7%,38.4%,44.5%,16.5%,30.3%,9.6%,4.27,9,76.8%,23.2%
638,1297338112,T. Smith,Tanner Smith,Smith,Tanner,C,University of Miami,MIA,236,Miami,BBC,R,R,55,209,828,44.2%,26.5%,73.5%,59.7%,33.6%,39.9%,44.5%,24.4%,27.7%,11.7%,3.96,11,77.8%,22.2%
