Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,BF,ERA,FIP,xFIP,WHIP,BA,OBP,SLG,OPS,K%,BB%,HR%,BABIP,OutRate,wOBA,LOB%
,1388719567,P. Napolitano,Paul Napolitano,Napolitano,Paul,2B,Stetson University,STET,730261504,Stetson,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1727942641,S. Alvarez,Salvador Alvarez,Alvarez,Salvador,C,Stetson University,STET,730261504,Stetson,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1230255706,H. Carr,Harry Carr,Carr,Harry,SS,Butler University,BUT,730283520,Butler,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1293501081,W. Burgess,Will Burgess,Burgess,Will,1B,Butler University,BUT,730283520,Butler,BBC,L,L,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1655382171,C. Sackett,Connor Sackett,Sackett,Connor,C,Butler University,BUT,730283520,Butler,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1735580182,L. Crock,Logan Crock,Crock,Logan,SS,Butler University,BUT,730283520,Butler,BBC,S,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1939568033,C. Lorch,Carson Lorch,Lorch,Carson,3B,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1342168985,B. Grimmer,Blake Grimmer,Grimmer,Blake,3B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1342168986,S. Lawless,Stone Lawless,Lawless,Stone,C,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1385938678,B. Curry,Bryce Curry,Curry,Bryce,3B,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1422693397,M. Marin,Manny Marin,Marin,Manny,3B,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1502079791,J. Abernathy,Jay Abernathy,Abernathy,Jay,LF,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1852742789,T. Snyder,Trenton Snyder,Snyder,Trenton,LF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1029265660,E. Farina,Ethan Farina,Farina,Ethan,2B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1304314330,P. Goodness,Paulie Goodness,Goodness,Paulie,CF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1315951459,R. Black,Riley Black,Black,Riley,1B,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1342169013,O. Lee,Owen Lee,Lee,Owen,SS,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
