Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,PMenOn,P/PKAtt,PitcherPKAtt,PitcherPK,PitcherPKErr,P1B,P/PK1Att,PK1Att,PK1,PK1Err,P2B,P/PK2Att,PK2Att,PK2,PK2Err,P3B,P/PK3Att,PK3Att,PK3,PK3Err
66,1233795610,R. Cole,Ryan Cole,Cole,Ryan,P,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,621,4.2,149,3,2,421,3.1,138,3,2,293,26.6,11,0,0,128,-,0,0,0
66,1860656661,L. Sanders,Luke Sanders,Sanders,Luke,P,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,352,12.6,28,3,0,217,9.4,23,2,0,168,33.6,5,1,0,110,-,0,0,0
66,1713770973,B. Stone,Brandon Stone,Stone,Brandon,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,462,9.6,48,3,1,334,7.6,44,3,1,222,74.0,3,0,0,107,107.0,1,0,0
66,1029738191,S. Egger,Sheldon Egger,Egger,Sheldon,P,Wofford College,WOF,730176512,Wofford,BBC,L,L,406,7.0,58,3,1,245,5.8,42,3,0,209,13.1,16,0,1,79,-,0,0,0
66,1208074872,R. Young,Reese Young,Young,Reese,P,University of North Alabama,UNA,730266624,North Alabama,BBC,L,L,369,13.2,28,3,0,312,12.0,26,3,0,157,78.5,2,0,0,91,-,0,0,0
66,1887050084,C. Foster,Carson Foster,Foster,Carson,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,169,9.4,18,3,1,116,7.3,16,3,1,99,99.0,1,0,0,39,39.0,1,0,0
66,1736284645,D. Duley,Daniel Duley,Duley,Daniel,P,Oakland University,OAK,5386,Oakland,BBC,L,L,281,11.7,24,3,1,140,7.8,18,3,1,154,25.7,6,0,0,87,-,0,0,0
66,1216799252,H. ODell,Hayden ODell,ODell,Hayden,P,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,402,11.2,36,3,0,281,8.3,34,3,0,189,189.0,1,0,0,101,101.0,1,0,0
160,1292523520,W. Tobin,Will Tobin,Tobin,Will,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,L,L,433,9.4,46,2,0,323,8.5,38,1,0,211,26.4,8,1,0,97,-,0,0,0
160,1216329728,N. Robb,Nicholas Robb,Robb,Nicholas,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,674,9.9,68,2,0,447,7.3,61,2,0,301,50.2,6,0,0,166,166.0,1,0,0
160,1279533312,C. Dygert,Caylon Dygert,Dygert,Caylon,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,670,13.4,50,2,0,442,10.3,43,2,0,291,36.4,8,1,0,170,-,0,0,0
160,1121808128,B. Armstrong,Bryce Armstrong,Armstrong,Bryce,P,Fresno State,FRES,730384384,Fresno State,BBC,L,L,469,18.8,25,2,1,357,15.5,23,2,1,199,99.5,2,0,0,95,-,0,0,0
160,1162026752,Z. Adams,Zane Adams,Adams,Zane,P,University of Alabama,ALA,730206976,Alabama,BBC,L,L,543,10.4,52,2,0,393,7.6,52,2,0,241,-,0,0,0,70,-,0,0,0
160,1269627392,B. Hamilton,Brady Hamilton,Hamilton,Brady,P,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,650,8.7,75,2,0,478,6.9,69,2,0,313,52.2,6,0,0,150,-,0,0,0
160,1246857984,B. Jacobs,Ben Jacobs,Jacobs,Ben,P,Arizona State University,ASU,5035,Arizona State,BBC,L,L,648,9.8,66,2,2,463,8.4,55,2,2,331,30.1,11,0,0,165,-,0,0,0
160,1153707264,E. Lyke,Ethan Lyke,Lyke,Ethan,P,Murray State University,MURR,730188032,Murray State,BBC,L,L,287,9.9,29,2,0,195,7.8,25,2,0,145,72.5,2,0,0,113,56.5,2,0,0
