Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,Inn,FieldOpp,Chances,PO,A,E,ThrowE,FieldE,DropE,FLD%,DP
1,1162314240,C. Dick,Cardel Dick,Dick,Cardel,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,36,243.2,8,232,215,17,0,0,0,0,1.000,1
1,1281359360,T. Palmer,Tyler Palmer,Palmer,Tyler,CF,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,38,300.0,124,69,68,1,0,0,0,0,1.000,1
1,1334301184,B. Vujovich,Ben Vujovich,Vujovich,Ben,RF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,47,386.0,149,98,94,4,0,0,0,0,1.000,1
1,1160909568,S. Montoya,Shaun Montoya,Montoya,Shaun,RF,University of Kentucky,UK,5362,Kentucky,BBC,L,R,46,314.1,118,90,88,2,0,0,0,0,1.000,0
1,1162490624,C. Smith-Johnson,Christian Smith-Johnson,Smith-Johnson,Christian,RF,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,43,298.0,115,68,65,3,0,0,0,0,1.000,1
1,1341542656,D. Leinenbach,Drew Leinenbach,Leinenbach,Drew,RF,University of North Florida,UNF,730296832,North Florida,BBC,R,R,52,412.1,165,101,98,3,0,0,0,0,1.000,2
1,1210139136,B. McKenzie,Brody McKenzie,McKenzie,Brody,CF,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,45,364.0,176,115,113,2,0,0,0,0,1.000,0
1,1152902912,O. Prince,Owen Prince,Prince,Owen,CF,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,53,436.0,206,117,115,2,0,0,0,0,1.000,2
1,1306903552,S. Pugh,Samson Pugh,Pugh,Samson,CF,Texas State University,TXST,5420,Texas State,BBC,R,R,57,479.1,245,171,167,4,0,0,0,0,1.000,0
1,1089026304,N. Jordan,Nicho Jordan,Jordan,Nicho,CF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,L,L,53,449.2,232,167,164,3,0,0,0,0,1.000,4
1,1162591232,I. Walker,Isaiah Walker,Walker,Isaiah,CF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,53,443.1,214,151,151,0,0,0,0,0,1.000,0
1,1136407809,A. Guerrero,AJ Guerrero,Guerrero,AJ,LF,University of Washington,WASH,3110,Washington,BBC,R,R,47,394.2,150,82,82,0,0,0,0,0,1.000,0
1,1182038272,O. Hull,Owen Hull,Hull,Owen,RF,George Mason University,GMU,730265088,George Mason,BBC,L,R,44,377.0,119,117,113,4,0,0,0,0,1.000,4
1,1242803456,I. Pennington,Ian Pennington,Pennington,Ian,RF,University of Akron,AKR,540536064,Akron,BBC,L,R,41,317.2,123,74,70,4,0,0,0,0,1.000,1
1,1280063232,R. Willbanks,Reed Willbanks,Willbanks,Reed,CF,Little Rock,UALR,730217472,Little Rock,BBC,R,R,59,461.1,201,111,109,2,0,0,0,0,1.000,0
1,1196254208,T. Stauss,Ty Stauss,Stauss,Ty,LF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,44,355.1,136,50,50,0,0,0,0,0,1.000,0
1,1116251136,A. Zollo,Anthony Zollo,Zollo,Anthony,LF,Iona College,IONA,730242048,Iona,BBC,R,R,47,406.2,169,83,69,14,0,0,0,0,1.000,1
1,1254915584,M. Pena,Matthew Pena,Pena,Matthew,1B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,L,34,283.1,68,301,280,21,0,0,0,0,1.000,20
1,1297354496,G. Miranda,Gabe Miranda,Miranda,Gabe,1B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,55,477.0,73,393,372,21,0,0,0,0,1.000,35
1,1174781696,B. Penso,Blake Penso,Penso,Blake,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,51,404.2,10,439,403,36,0,0,0,0,1.000,3
